Year,School,Sport,Gender,Scores,Rank
2004,Grinnell,Soccer,Women,8,3
2004,Grinnell,Cross Country,Women,10,1
2004,Grinnell,Tennis,Women,10,1
2004,Grinnell,Basketball,Women,2,9
2004,Grinnell,Swimming,Women,10,1
2004,Grinnell,Indoor Track & Field,Women,6,5
2004,Grinnell,Softball,Women,5.5,5
2004,Grinnell,Outdoor Track & Field,Women,7,4
2004,Grinnell,Total,Women,69,1
2004,Illinois C.,Volleyball,Women,5,6
2004,Illinois C.,Soccer,Women,4,7
2004,Illinois C.,Cross Country,Women,1,10
2004,Illinois C.,Tennis,Women,1,10
2004,Illinois C.,Basketball,Women,6,5
2004,Illinois C.,Indoor Track & Field,Women,5,6
2004,Illinois C.,Softball,Women,8,3
2004,Illinois C.,Outdoor Track & Field,Women,4,7
2004,Illinois C.,Total,Women,44,9
2004,Knox,Volleyball,Women,1.5,9
2004,Knox,Soccer,Women,1,10
2004,Knox,Cross Country,Women,2,9
2004,Knox,Tennis,Women,2,9
2004,Knox,Basketball,Women,1,10
2004,Knox,Swimming,Women,2,9
2004,Knox,Indoor Track & Field,Women,3,8
2004,Knox,Softball,Women,1.5,9
2004,Knox,Outdoor Track & Field,Women,3,8
2004,Knox,Total,Women,28,10
2004,Lake Forest,Volleyball,Women,9,2
2004,Lake Forest,Soccer,Women,10,1
2004,Lake Forest,Cross Country,Women,4,7
2004,Lake Forest,Tennis,Women,4,7
2004,Lake Forest,Basketball,Women,7.5,3
2004,Lake Forest,Swimming,Women,9,2
2004,Lake Forest,Softball,Women,10,1
2004,Lake Forest,Total,Women,58.5,5
2004,Lawerence,Volleyball,Women,3.5,7
2004,Lawerence,Soccer,Women,6,5
2004,Lawerence,Cross Country,Women,9,2
2004,Lawerence,Tennis,Women,9,2
2004,Lawerence,Basketball,Women,7.5,3
2004,Lawerence,Swimming,Women,7,4
2004,Lawerence,Indoor Track & Field,Women,2,9
2004,Lawerence,Softball,Women,7,4
2004,Lawerence,Outdoor Track & Field,Women,2,9
2004,Lawerence,Total,Women,46,8
2004,Monmouth,Volleyball,Women,8,3
2004,Monmouth,Soccer,Women,5,6
2004,Monmouth,Cross Country,Women,3,8
2004,Monmouth,Tennis,Women,3,8
2004,Monmouth,Basketball,Women,3,8
2004,Monmouth,Swimming,Women,3,8
2004,Monmouth,Indoor Track & Field,Women,10,1
2004,Monmouth,Softball,Women,3.5,7
2004,Monmouth,Outdoor Track & Field,Women,10,1
2004,Monmouth,Total,Women,53,7
2004,Ripon,Volleyball,Women,7,4
2004,Ripon,Soccer,Women,2,9
2004,Ripon,Cross Country,Women,8,3
2004,Ripon,Tennis,Women,5,6
2004,Ripon,Basketball,Women,10,1
2004,Ripon,Swimming,Women,4,7
2004,Ripon,Indoor Track & Field,Women,8,3
2004,Ripon,Softball,Women,5.5,5
2004,Ripon,Outdoor Track & Field,Women,8,3
2004,Ripon,Total,Women,63.5,3
2004,St. Norbert,Volleyball,Women,10,1
2004,St. Norbert,Soccer,Women,7,4
2004,St. Norbert,Cross Country,Women,6,5
2004,St. Norbert,Tennis,Women,6,5
2004,St. Norbert,Basketball,Women,9,2
2004,St. Norbert,Swimming,Women,6,5
2004,St. Norbert,Indoor Track & Field,Women,7,4
2004,St. Norbert,Softball,Women,1.5,9
2004,St. Norbert,Outdoor Track & Field,Women,5,6
2004,St. Norbert,Total,Women,65.5,2
2005,Beloit College,Football,Men,3,8
2005,Beloit College,Soccer,Men,7,3
2005,Beloit College,Cross Country,Men,6.5,4
2005,Beloit College,Basketball,Men,2.5,7
2005,Beloit College,Swimming,Men,6,5
2005,Beloit College,Indoor Track & Field,Men,4,7
2005,Beloit College,Tennis,Men,3,8
2005,Beloit College,Baseball,Men,5,5
2005,Beloit College,Outdoor Track & Field,Men,5,6
2005,Beloit College,Total,Men,45.5,6
2005,Carroll University,Football,Men,4,7
2005,Carroll University,Soccer,Men,9,2
2005,Carroll University,Cross Country,Men,2,9
2005,Carroll University,Basketball,Men,7.5,3
2005,Carroll University,Swimming,Men,5,6
2005,Carroll University,Indoor Track & Field,Men,2,9
2005,Carroll University,Tennis,Men,2,9
2005,Carroll University,Baseball,Men,2.5,8
2005,Carroll University,Outdoor Track & Field,Men,2,9
2005,Carroll University,Total,Men,43.5,7
2005,Grinnell College,Football,Men,6.5,4
2005,Grinnell College,Soccer,Men,4,7
2005,Grinnell College,Cross Country,Men,10,1
2005,Grinnell College,Basketball,Men,2.5,7
2005,Grinnell College,Swimming,Men,10,1
2005,Grinnell College,Indoor Track & Field,Men,8,3
2005,Grinnell College,Tennis,Men,10,1
2005,Grinnell College,Baseball,Men,5,5
2005,Grinnell College,Outdoor Track & Field,Men,8,3
2005,Grinnell College,Total,Men,69,3
2005,Illinois College,Football,Men,6.5,4
2005,Illinois College,Soccer,Men,3,8
2005,Illinois College,Cross Country,Men,1,10
2005,Illinois College,Basketball,Men,2.5,7
2005,Illinois College,Indoor Track & Field,Men,7,4
2005,Illinois College,Tennis,Men,1,10
2005,Illinois College,Baseball,Men,7.5,3
2005,Illinois College,Outdoor Track & Field,Men,4,7
2005,Illinois College,Total,Men,35.5,10
2005,Knox College,Football,Men,1.5,9
2005,Knox College,Soccer,Men,2,9
2005,Knox College,Cross Country,Men,3,8
2005,Knox College,Basketball,Men,5,6
2005,Knox College,Swimming,Men,4,7
2005,Knox College,Indoor Track & Field,Men,3,8
2005,Knox College,Tennis,Men,7,4
2005,Knox College,Baseball,Men,2.5,8
2005,Knox College,Outdoor Track & Field,Men,3,8
2005,Knox College,Total,Men,40,8
2005,Lake Forest College,Football,Men,8,3
2005,Lake Forest College,Soccer,Men,7,3
2005,Lake Forest College,Cross Country,Men,4,7
2005,Lake Forest College,Basketball,Men,7.5,3
2005,Lake Forest College,Swimming,Men,8,3
2005,Lake Forest College,Tennis,Men,4,7
2005,Lake Forest College,Total,Men,38.5,9
2005,Lawrence University,Football,Men,1.5,9
2005,Lawrence University,Soccer,Men,7,3
2005,Lawrence University,Cross Country,Men,5,6
2005,Lawrence University,Basketball,Men,10,1
2005,Lawrence University,Swimming,Men,9,2
2005,Lawrence University,Indoor Track & Field,Men,5,6
2005,Lawrence University,Tennis,Men,5,6
2005,Lawrence University,Baseball,Men,5,5
2005,Lawrence University,Outdoor Track & Field,Men,7,4
2005,Lawrence University,Total,Men,64.5,4
2005,Monmouth College,Football,Men,9,2
2005,Monmouth College,Soccer,Men,1,10
2005,Monmouth College,Cross Country,Men,9,2
2005,Monmouth College,Basketball,Men,6,5
2005,Monmouth College,Swimming,Men,7,4
2005,Monmouth College,Indoor Track & Field,Men,10,1
2005,Monmouth College,Tennis,Men,6,5
2005,Monmouth College,Baseball,Men,7.5,3
2005,Monmouth College,Outdoor Track & Field,Men,10,1
2005,Monmouth College,Total,Men,73.5,1
