Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Expenses,Archery Women's Team Expenses,Archery Coed Team Expenses,Archery Total Expenses,Badminton Men's Team Expenses,Badminton Women's Team Expenses,Badminton Coed Team Expenses,Badminton Total Expenses,Baseball Men's Team Expenses,Baseball Women's Team Expenses,Baseball Coed Team Expenses,Baseball Total Expenses,Basketball Men's Team Expenses,Basketball Women's Team Expenses,Basketball Coed Team Expenses,Basketball Total Expenses,Beach Volleyball Men's Team Expenses,Beach Volleyball Women's Team Expenses,Beach Volleyball Coed Team Expenses Expenses,Beach Volleyball Total Expenses,Bowling Men's Team Expenses,Bowling Women's Team Expenses,Bowling Coed Team Expenses,Bowling Total Expenses,All Track Combined Men's Team Expenses,All Track Combined Women's Team Expenses,All Track Combined Coed Team Expenses,All Track Combined Total Expenses,Diving Men's Team Expenses,Diving Women's Team Expenses,Diving Coed Team Expenses,Diving Total Expenses,Equestrian Men's Team Expenses,Equestrian Women's Team Expenses,Equestrian Coed Team Expenses,Equestrian Total Expenses,Fencing Men's Team Expenses,Fencing Women's Team Expenses,Fencing Coed Team Expenses,Fencing Total Expenses,Field Hockey Men's Team Expenses,Field Hockey Women's Team Expenses,Field Hockey Coed Team Expenses,Field Hockey Total Expenses,Football Men's Team Expenses,Football Women's Team Expenses,Football Coed Team Expenses,Football Total Expenses,Golf Men's Team Expenses,Golf Women's Team Expenses,Golf Coed Team Expenses,Golf Total Expenses,Gymnastics Men's Team Expenses,Gymnastics Women's Team Expenses,Gymnastics Coed Team Expenses,Gymnastics Total Expenses,Ice Hockey Men's Team Expenses,Ice Hockey Women's Team Expenses,Ice Hockey Coed Team Expenses,Ice Hockey Total Expenses,Lacrosse Men's Team Expenses,Lacrosse Women's Team Expenses,Lacrosse Coed Team Expenses,Lacrosse Total Expenses,Rifle Men's Team Expenses,Rifle Women's Team Expenses,Rifle Coed Team Expenses,Rifle Total Expenses,Rodeo Men's Team Expenses,Rodeo Women's Team Expenses,Rodeo Coed Team Expenses,Rodeo Total Expenses,Rowing Men's Team Expenses,Rowing Women's Team Expenses,Rowing Coed Team Expenses,Rowing Total Expenses,Sailing Men's Team Expenses,Sailing Women's Team Expenses,Sailing Coed Team Expenses,Sailing Total Expenses,Skiing Men's Team Expenses,Skiing Women's Team Expenses,Skiing Coed Team Expenses,Skiing Total Expenses,Soccer Men's Team Expenses,Soccer Women's Team Expenses,Soccer Coed Team Expenses,Soccer Total Expenses,Softball Men's Team Expenses,Softball Women's Team Expenses,Softball Coed Team Expenses,Softball Total Expenses,Squash Men's Team Expenses,Squash Women's Team Expenses,Squash Coed Team Expenses,Squash Total Expenses,Swimming and Diving Men's Team Expenses,Swimming and Diving Women's Team Expenses,Swimming and Diving Coed Team Expenses,Swimming and Diving Total Expenses,Swimming Men's Team Expenses,Swimming Women's Team Expenses,Swimming Coed Team Expenses,Swimming Total Expenses,Synchronized Swimming Men's Team Expenses,Synchronized Swimming Women's Team Expenses,Synchronized Swimming Coed Team Expenses,Synchronized Swimming Total Expenses,Table Tennis Men's Team Expenses,Table Tennis Women's Team Expenses,Table Tennis Coed Team Expenses,Table Tennis Total Expenses,Team Handball Men's Team Expenses,Team Handball Women's Team Expenses,Team Handball Coed Team Expenses,Team Handball Total Expenses,Tennis Men's Team Expenses,Tennis Women's Team Expenses,Tennis Coed Team Expenses,Tennis Total Expenses,Track and Field Indoor Men's Team Expenses,Track and Field Indoor Women's Team Expenses,Track and Field Indoor Coed Team Expenses,Track and Field Indoor Total Expenses,Track and Field Outdoor Men's Team Expenses,Track and Field Outdoor Women's Team Expenses,Track and Field Outdoor Coed Team Expenses,Track and Field Outdoor Total Expenses,Track and Field X Country Men's Team Expenses,Track and Field X Country Women's Team Expenses,Track and Field X Country Coed Team Expenses,Track and Field X Country Total Expenses,Volleyball Men's Team Expenses,Volleyball Women's Team Expenses,Volleyball Coed Team Expenses,Volleyball Total Expenses,Water Polo Men's Team Expenses,Water Polo Women's Team Expenses,Water Polo Coed Team Expenses,Water Polo Total Expenses,Weight Lifting Men's Team Expenses,Weight Lifting Women's Team Expenses,Weight Lifting Coed Team Expenses,Weight Lifting Total Expenses,Wrestling Men's Team Expenses,Wrestling Women's Team Expenses,Wrestling Coed Team Expenses,Wrestling Total Expenses,Other Sports Men's Team Expenses,Other Sports Women's Team Expenses,Other Sports Coed Team Expenses,Other Sports Total Expenses,Total Men's Team Expenses,Total Women's Team Expenses,Total Coed Team Expenses,Not Allocated by Gender/Sport Expenses,Grand Total Expenses
2013,147341,00172500,Monmouth College,IL,NCAA Division III (with football),,1,NCAA,560,679,1239,,,,,,,,,64937,,,64937,111123,77075,,188198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174136,,,174136,58964,26752,,85716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33155,28566,,61721,,41570,,41570,,,,,,,,,43285,44795,,88080,,,,,,,,,,,,,61992,12120,,74112,32646,28366,,61012,32646,28366,,61012,20469,21114,,41583,,57852,,57852,61872,48562,,110434,,,,,,,,,,,,,695225,415138,,240153,1350516
2014,147341,00172500,Monmouth College,IL,NCAA Division III (with football),,1,NCAA,578,694,1272,,,,,,,,,27599,,,27599,112734,69961,,182695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188367,,,188367,15388,20833,,36221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26118,31267,,57385,,21293,,21293,,,,,52422,38888,,91310,,,,,,,,,,,,,,,,,15524,14773,,30297,52859,48873,,101732,50511,49013,,99524,34753,34753,,69506,,47954,,47954,44325,39926,,84251,,,,,,,,,,,,,620600,417534,,156973,1195107
2015,147341,00172500,Monmouth College,IL,NCAA Division III (with football),,1,NCAA,556,610,1166,,,,,,,,,70630,,,70630,80236,45124,,125360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336999,,,336999,47686,42177,,89863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67957,38127,,106084,,47811,,47811,,,,,47672,47544,,95216,,,,,,,,,,,,,,,,,31334,31334,,62668,40314,39031,,79345,40349,38469,,78818,25792,26378,,52170,,72606,,72606,55581,45662,,101243,,,,,,,,,,,,,844550,474263,,122530,1441343
2016,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,541,583,1124,,,,,,,,,91957,,,91957,91173,77301,,168474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396530,,,396530,64574,52707,,117281,,,,,,,,,96578,96441,,193019,,,,,,,,,,,,,,,,,,,,,59178,70082,,129260,,83483,,83483,,,,,,,,,70509,71833,,142342,,,,,,,,,,,,,51283,40943,,92226,46633,42743,,89376,46633,42743,,89376,38969,46731,,85700,,71452,,71452,50325,47858,,98183,,,,,,,,,,,,,1104342,744317,,216305,2064964
2017,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,499,509,1008,,,,,,,,,97817,,,97817,76938,82615,,159553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297214,,,297214,32066,34829,,66895,,,,,,,,,77988,63649,,141637,,,,,,,,,,,,,,,,,,,,,62414,64736,,127150,,65006,,65006,,,,,,,,,39639,33071,,72710,,,,,,,,,,,,,39387,23570,,62957,40693,32951,,73644,40695,32954,,73649,25858,23966,,49824,,59082,,59082,42942,36499,,79441,,,,,,,,,,,,,873651,552928,,341709,1768288
2018,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,456,440,896,,,,,,,,,94821,,,94821,105075,77414,,182489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309310,,,309310,32256,44164,,76420,,,,,,,,,67544,69071,,136615,,,,,,,,,,,,,,,,,,,,,49541,52058,,101599,,58463,,58463,,,,,,,,,40095,33846,,73941,,,,,,,,,,,,,33963,22070,,56033,52668,48532,,101200,52668,48533,,101201,19024,21462,,40486,,56958,,56958,40291,43387,,83678,,,,,,,,,,,,,897256,575958,,326068,1799282
2019,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,448,449,897,,,,,,,,,61435,,,61435,91463,74255,,165718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313629,,,313629,28810,19898,,48708,,,,,,,,,57102,46424,,103526,,,,,,,,,,,,,,,,,,,,,56401,60115,,116516,,40943,,40943,,,,,,,,,40519,40328,,80847,,,,,,,,,,,,,23191,25754,,48945,48283,56930,,105213,,,,,21229,22157,,43386,,58064,,58064,28895,25656,,54551,,,,,,,,,,,,,770957,470524,,329088,1570569
2020,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,415,432,847,,,,,,,,,69286,,,69286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14901,11970,,26871,,,,,,,,,69603,55987,,125590,,,,,,,,,,,,,,,,,,,,,,,,,,53482,,53482,,,,,,,,,,,,,,,,,,,,,,,,,21769,19441,,41210,,,,,51824,50538,,102362,,,,,,,,,,,,,,,,,,,,,,,,,227383,191418,,590206,1009007
2021,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,365,383,748,,,,,,,,,108799,,,108799,92999,71383,,164382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336660,,,336660,27692,18328,,46020,,,,,,,,,51331,,,51331,,,,,,,,,,,,,,,,,,,,,50828,66154,,116982,,73391,,73391,,,,,,,,,36383,37250,,73633,,,,,,,,,,,,,25207,22225,,47432,47734,47035,,94769,52544,58980,,111524,26364,25943,,52307,,66282,,66282,,,,,,,,,,,,,,,,,856541,486971,,301270,1644782
2022,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,,,,,,,,,122001,,,122001,95517,73212,,168729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373864,,,373864,27073,22052,,49125,,,,,,,,,77800,59746,,137546,,,,,,,,,,,,,,,,,,,,,47601,60398,,107999,,99594,,99594,,,,,,,,,33851,34286,,68137,,,,,,,,,,,,,27089,26732,,53821,44622,44910,,89532,42918,49970,,92888,22902,23079,,45981,,66242,,66242,,,,,,,,,,,,,,,,,915238,560221,,346463,1821922
