Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Expenses,Archery Women's Team Expenses,Archery Coed Team Expenses,Archery Total Expenses,Badminton Men's Team Expenses,Badminton Women's Team Expenses,Badminton Coed Team Expenses,Badminton Total Expenses,Baseball Men's Team Expenses,Baseball Women's Team Expenses,Baseball Coed Team Expenses,Baseball Total Expenses,Basketball Men's Team Expenses,Basketball Women's Team Expenses,Basketball Coed Team Expenses,Basketball Total Expenses,Beach Volleyball Men's Team Expenses,Beach Volleyball Women's Team Expenses,Beach Volleyball Coed Team Expenses Expenses,Beach Volleyball Total Expenses,Bowling Men's Team Expenses,Bowling Women's Team Expenses,Bowling Coed Team Expenses,Bowling Total Expenses,All Track Combined Men's Team Expenses,All Track Combined Women's Team Expenses,All Track Combined Coed Team Expenses,All Track Combined Total Expenses,Diving Men's Team Expenses,Diving Women's Team Expenses,Diving Coed Team Expenses,Diving Total Expenses,Equestrian Men's Team Expenses,Equestrian Women's Team Expenses,Equestrian Coed Team Expenses,Equestrian Total Expenses,Fencing Men's Team Expenses,Fencing Women's Team Expenses,Fencing Coed Team Expenses,Fencing Total Expenses,Field Hockey Men's Team Expenses,Field Hockey Women's Team Expenses,Field Hockey Coed Team Expenses,Field Hockey Total Expenses,Football Men's Team Expenses,Football Women's Team Expenses,Football Coed Team Expenses,Football Total Expenses,Golf Men's Team Expenses,Golf Women's Team Expenses,Golf Coed Team Expenses,Golf Total Expenses,Gymnastics Men's Team Expenses,Gymnastics Women's Team Expenses,Gymnastics Coed Team Expenses,Gymnastics Total Expenses,Ice Hockey Men's Team Expenses,Ice Hockey Women's Team Expenses,Ice Hockey Coed Team Expenses,Ice Hockey Total Expenses,Lacrosse Men's Team Expenses,Lacrosse Women's Team Expenses,Lacrosse Coed Team Expenses,Lacrosse Total Expenses,Rifle Men's Team Expenses,Rifle Women's Team Expenses,Rifle Coed Team Expenses,Rifle Total Expenses,Rodeo Men's Team Expenses,Rodeo Women's Team Expenses,Rodeo Coed Team Expenses,Rodeo Total Expenses,Rowing Men's Team Expenses,Rowing Women's Team Expenses,Rowing Coed Team Expenses,Rowing Total Expenses,Sailing Men's Team Expenses,Sailing Women's Team Expenses,Sailing Coed Team Expenses,Sailing Total Expenses,Skiing Men's Team Expenses,Skiing Women's Team Expenses,Skiing Coed Team Expenses,Skiing Total Expenses,Soccer Men's Team Expenses,Soccer Women's Team Expenses,Soccer Coed Team Expenses,Soccer Total Expenses,Softball Men's Team Expenses,Softball Women's Team Expenses,Softball Coed Team Expenses,Softball Total Expenses,Squash Men's Team Expenses,Squash Women's Team Expenses,Squash Coed Team Expenses,Squash Total Expenses,Swimming and Diving Men's Team Expenses,Swimming and Diving Women's Team Expenses,Swimming and Diving Coed Team Expenses,Swimming and Diving Total Expenses,Swimming Men's Team Expenses,Swimming Women's Team Expenses,Swimming Coed Team Expenses,Swimming Total Expenses,Synchronized Swimming Men's Team Expenses,Synchronized Swimming Women's Team Expenses,Synchronized Swimming Coed Team Expenses,Synchronized Swimming Total Expenses,Table Tennis Men's Team Expenses,Table Tennis Women's Team Expenses,Table Tennis Coed Team Expenses,Table Tennis Total Expenses,Team Handball Men's Team Expenses,Team Handball Women's Team Expenses,Team Handball Coed Team Expenses,Team Handball Total Expenses,Tennis Men's Team Expenses,Tennis Women's Team Expenses,Tennis Coed Team Expenses,Tennis Total Expenses,Track and Field Indoor Men's Team Expenses,Track and Field Indoor Women's Team Expenses,Track and Field Indoor Coed Team Expenses,Track and Field Indoor Total Expenses,Track and Field Outdoor Men's Team Expenses,Track and Field Outdoor Women's Team Expenses,Track and Field Outdoor Coed Team Expenses,Track and Field Outdoor Total Expenses,Track and Field X Country Men's Team Expenses,Track and Field X Country Women's Team Expenses,Track and Field X Country Coed Team Expenses,Track and Field X Country Total Expenses,Volleyball Men's Team Expenses,Volleyball Women's Team Expenses,Volleyball Coed Team Expenses,Volleyball Total Expenses,Water Polo Men's Team Expenses,Water Polo Women's Team Expenses,Water Polo Coed Team Expenses,Water Polo Total Expenses,Weight Lifting Men's Team Expenses,Weight Lifting Women's Team Expenses,Weight Lifting Coed Team Expenses,Weight Lifting Total Expenses,Wrestling Men's Team Expenses,Wrestling Women's Team Expenses,Wrestling Coed Team Expenses,Wrestling Total Expenses,Other Sports Men's Team Expenses,Other Sports Women's Team Expenses,Other Sports Coed Team Expenses,Other Sports Total Expenses,Total Men's Team Expenses,Total Women's Team Expenses,Total Coed Team Expenses,Not Allocated by Gender/Sport Expenses,Grand Total Expenses
2013,238333,00383500,Beloit College,WI,NCAA Division III (with football),,1,NCAA,511,726,1237,,,,,,,,,130712,,,130712,131556,103776,,235332,,,,,,,,,84624,73993,,158617,,,,,,,,,,,,,,,,,293508,,,293508,,,,,,,,,,,,,137390,123576,,260966,,,,,,,,,,,,,,,,,,,,,102798,74895,,177693,,107672,,107672,,,,,,,,,35395,39771,,75166,,,,,,,,,,,,,,14859,,14859,,,,,,,,,,,,,,97505,,97505,,,,,,,,,,,,,,,,,915983,636047,,517684,2069714
2014,238333,00383500,Beloit College,WI,NCAA Division III (with football),,1,NCAA,519,700,1219,,,,,,,,,146966,,,146966,106177,89071,,195248,,,,,,,,,58154,110259,,168413,,,,,,,,,,,,,,,,,267096,,,267096,,,,,,,,,,,,,125489,98207,,223696,,,,,,,,,,,,,,,,,,,,,60563,77416,,137979,,102763,,102763,,,,,,,,,59495,22023,,81518,,,,,,,,,,,,,,14934,,14934,,,,,,,,,,,,,,94861,,94861,,,,,,,,,,,,,,,,,823940,609534,,541789,1975263
2015,238333,00383500,Beloit College,WI,NCAA Division III (with football),,1,NCAA,573,693,1266,,,,,,,,,167009,,,167009,113801,100587,,214388,,,,,,,,,78047,75306,,153353,,,,,,,,,,,,,,,,,296057,,,296057,,,,,,,,,,,,,117702,104227,,221929,,,,,,,,,,,,,,,,,,,,,56956,78571,,135527,,104985,,104985,,,,,,,,,38494,38494,,76988,,,,,,,,,,,,,,17956,,17956,,,,,,,,,,,,,,94458,,94458,,,,,,,,,,,,,,,,,868066,614584,,561235,2043885
2016,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,610,700,1310,,,,,,,,,117900,,,117900,179556,85904,,265460,,,,,,,,,88637,86420,,175057,,,,,,,,,,,,,,,,,316139,,,316139,,,,,,,,,,,,,135278,77852,,213130,,,,,,,,,,,,,,,,,,,,,63810,78450,,142260,,114990,,114990,,,,,,,,,37537,37537,,75074,,,,,,,,,,,,,,15531,,15531,,,,,,,,,,,,,,102991,,102991,,,,,,,,,,,,,,,,,938857,599675,,656331,2194863
2017,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,629,691,1320,,,,,,,,,172033,,,172033,142893,117939,,260832,,,,,,,,,90615,95200,,185815,,,,,,,,,,,,,,,,,313781,,,313781,,,,,,,,,,,,,136302,97888,,234190,,,,,,,,,,,,,,,,,,,,,72440,81818,,154258,,115926,,115926,,,,,,,,,37628,36645,,74273,,,,,,,,,,,,,,15450,,15450,,,,,,,,,,,,,,101005,,101005,,,,,,,,,,,,,,,,,965692,661871,,593614,2221177
2018,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,552,656,1208,,,,,,,,,170492,,,170492,140982,115005,,255987,,,,,,,,,104394,97869,,202263,,,,,,,,,,,,,,,,,303857,,,303857,,,,,,,,,,,,,118161,97961,,216122,,,,,,,,,,,,,,,,,,,,,76228,90037,,166265,,113799,,113799,,,,,,,,,66537,67619,,134156,,,,,,,,,,,,,,15435,,15435,,,,,,,,,,,,,,77056,,77056,,,,,,,,,,,,,,,,,980651,674781,,620574,2276006
2019,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,491,572,1063,,,,,,,,,137633,,,137633,114653,113007,,227660,,,,,,,,,86320,81801,,168121,,,,,,,,,,,,,,,,,342718,,,342718,,,,,,,,,,,,,80704,88724,,169428,,,,,,,,,,,,,,,,,,,,,73541,76286,,149827,,110930,,110930,,,,,,,,,44464,40540,,85004,,,,,,,,,,,,,,11927,,11927,,,,,,,,,,,,,,79832,,79832,,,,,,,,,,,,,,,,,880033,603047,,662016,2145096
2020,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,421,496,917,,,,,,,,,101885,,,101885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66973,,66973,,,,,,,,,,,,,,,,,,,,,,,,,,95795,,95795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69324,69875,,139199,,,,,,,,,,,,,,,,,,,,,,,,,171209,232643,,1205289,1609141
2021,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,458,497,955,,,,,,,,,156248,,,156248,122793,97521,,220314,,,,,,,,,104918,102622,,207540,,,,,,,,,,,,,,,,,349124,,,349124,,,,,,,,,,,,,90132,58866,,148998,,,,,,,,,,,,,,,,,,,,,78575,84460,,163035,,142234,,142234,,,,,,,,,30424,35205,,65629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90967,,90967,,,,,,,,,,,,,,,,,932214,611875,,578893,2122982
2022,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,,,,,,,,,174364,,,174364,120389,90114,,210503,,,,,,,,,106742,105517,,212259,,,,,,,,,,,,,,,,,356717,,,356717,,,,,,,,,,,,,89868,70995,,160863,,,,,,,,,,,,,,,,,,,,,55136,87238,,142374,,142060,,142060,,,,,,,,,14439,19263,,33702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89431,,89431,,,,,,,,,,,,,,,,,917655,604618,,559668,2081941
