Year,Gender,Sport,School,Expense
2006,Men,Soccer,Monmouth IL,60176.0
2006,Men,Tennis,Monmouth IL,24988.0
2006,Women,Basketball,Monmouth IL,46207.0
2006,Women,Golf,Monmouth IL,21381.0
2006,Women,Soccer,Monmouth IL,19659.0
2006,Women,Softball,Monmouth IL,27873.0
2006,Women,Tennis,Monmouth IL,13448.0
2006,Women,Volleyball,Monmouth IL,32499.0
2007,Men,Baseball,Monmouth IL,30326.0
2007,Men,Basketball,Monmouth IL,77032.0
2007,Men,Cross Country,Monmouth IL,14713.0
2007,Men,Football,Monmouth IL,131792.0
2007,Men,Golf,Monmouth IL,21221.0
2007,Men,Soccer,Monmouth IL,61294.0
2007,Men,Swimming and Diving,Monmouth IL,33773.0
2007,Men,Tennis,Monmouth IL,23032.0
2007,Men,Track and Fields,Monmouth IL,39988.0
2007,Women,Basketball,Monmouth IL,32661.0
2007,Women,Cross Country,Monmouth IL,14713.0
2007,Women,Golf,Monmouth IL,14556.0
2007,Women,Soccer,Monmouth IL,20660.0
2007,Women,Softball,Monmouth IL,27392.0
2007,Women,Swimming and Diving,Monmouth IL,33773.0
2007,Women,Tennis,Monmouth IL,10789.0
2007,Women,Track and Fields,Monmouth IL,39988.0
2007,Women,Volleyball,Monmouth IL,29470.0
2008,Men,Baseball,Monmouth IL,50952.0
2008,Men,Basketball,Monmouth IL,90799.0
2008,Men,Cross Country,Monmouth IL,22754.0
2008,Men,Football,Monmouth IL,132831.0
2008,Men,Golf,Monmouth IL,46462.0
2008,Men,Soccer,Monmouth IL,80098.0
2008,Men,Swimming and Diving,Monmouth IL,39612.0
2008,Men,Tennis,Monmouth IL,46108.0
2008,Men,Track and Fields,Monmouth IL,63318.0
2008,Women,Basketball,Monmouth IL,66165.0
2008,Women,Cross Country,Monmouth IL,23888.0
2008,Women,Golf,Monmouth IL,29943.0
2008,Women,Soccer,Monmouth IL,36327.0
2008,Women,Softball,Monmouth IL,33589.0
2008,Women,Swimming and Diving,Monmouth IL,31134.0
2008,Women,Tennis,Monmouth IL,10885.0
2008,Women,Track and Fields,Monmouth IL,57394.0
2008,Women,Volleyball,Monmouth IL,62371.0
2009,Men,Baseball,Monmouth IL,44532.0
2009,Men,Basketball,Monmouth IL,98430.0
2009,Men,Cross Country,Monmouth IL,44853.0
2009,Men,Football,Monmouth IL,197704.0
2009,Men,Golf,Monmouth IL,55489.0
2009,Men,Soccer,Monmouth IL,64479.0
2009,Men,Tennis,Monmouth IL,45970.0
2009,Men,Track and Fields,Monmouth IL,71348.0
2009,Women,Basketball,Monmouth IL,64559.0
2009,Women,Cross Country,Monmouth IL,43377.0
2009,Women,Golf,Monmouth IL,18082.0
2009,Women,Soccer,Monmouth IL,30392.0
2009,Women,Softball,Monmouth IL,27805.0
2009,Women,Tennis,Monmouth IL,16172.0
2009,Women,Track and Fields,Monmouth IL,49980.0
2009,Women,Volleyball,Monmouth IL,58042.0
2010,Men,Baseball,Monmouth IL,55227.0
2010,Men,Basketball,Monmouth IL,96965.0
2010,Men,Cross Country,Monmouth IL,45864.0
2010,Men,Football,Monmouth IL,202967.0
2010,Men,Golf,Monmouth IL,57314.0
2010,Men,Soccer,Monmouth IL,50501.0
2010,Men,Swimming and Diving,Monmouth IL,23861.0
2010,Men,Tennis,Monmouth IL,48348.0
2010,Men,Track and Fields,Monmouth IL,78376.0
2010,Women,Basketball,Monmouth IL,64101.0
2010,Women,Cross Country,Monmouth IL,25799.0
2010,Women,Golf,Monmouth IL,19794.0
2010,Women,Soccer,Monmouth IL,28199.0
2010,Women,Softball,Monmouth IL,28740.0
2010,Women,Swimming and Diving,Monmouth IL,34467.0
2010,Women,Tennis,Monmouth IL,12954.0
2010,Women,Track and Fields,Monmouth IL,51728.0
2010,Women,Volleyball,Monmouth IL,51027.0
2011,Men,Baseball,Monmouth IL,34900.0
2011,Men,Basketball,Monmouth IL,89830.0
2011,Men,Cross Country,Monmouth IL,32128.0
2011,Men,Football,Monmouth IL,162383.0
2011,Men,Golf,Monmouth IL,62479.0
2011,Men,Soccer,Monmouth IL,60549.0
2011,Men,Swimming and Diving,Monmouth IL,23521.0
2011,Men,Tennis,Monmouth IL,54522.0
2011,Men,Track and Fields,Monmouth IL,101381.0
2011,Women,Basketball,Monmouth IL,82965.0
2011,Women,Cross Country,Monmouth IL,30743.0
2011,Women,Golf,Monmouth IL,24322.0
2011,Women,Soccer,Monmouth IL,30721.0
2011,Women,Softball,Monmouth IL,26673.0
2011,Women,Swimming and Diving,Monmouth IL,57122.0
2011,Women,Tennis,Monmouth IL,66727.0
2011,Women,Track and Fields,Monmouth IL,82966.0
2011,Women,Volleyball,Monmouth IL,34591.0
2012,Men,Baseball,Monmouth IL,38738.0
2012,Men,Basketball,Monmouth IL,101625.0
2012,Men,Cross Country,Monmouth IL,29258.0
2012,Men,Football,Monmouth IL,204619.0
2012,Men,Golf,Monmouth IL,57281.0
2012,Men,Soccer,Monmouth IL,32159.0
2012,Men,Swimming and Diving,Monmouth IL,33727.0
2012,Men,Tennis,Monmouth IL,54849.0
2012,Men,Track and Fields,Monmouth IL,57090.0
2012,Women,Basketball,Monmouth IL,57070.0
2012,Women,Cross Country,Monmouth IL,31002.0
2012,Women,Golf,Monmouth IL,16410.0
2012,Women,Soccer,Monmouth IL,26010.0
2012,Women,Softball,Monmouth IL,54413.0
2012,Women,Swimming and Diving,Monmouth IL,57635.0
2012,Women,Tennis,Monmouth IL,12205.0
2012,Women,Track and Fields,Monmouth IL,53296.0
2012,Women,Volleyball,Monmouth IL,47488.0
2013,Men,Baseball,Monmouth IL,64937.0
2013,Men,Basketball,Monmouth IL,111123.0
2013,Men,Cross Country,Monmouth IL,20469.0
2013,Men,Football,Monmouth IL,174136.0
2013,Men,Golf,Monmouth IL,58964.0
2013,Men,Soccer,Monmouth IL,33155.0
2013,Men,Tennis,Monmouth IL,61992.0
2013,Men,Track and Fields,Monmouth IL,65292.0
2013,Women,Basketball,Monmouth IL,77075.0
2013,Women,Cross Country,Monmouth IL,21114.0
2013,Women,Golf,Monmouth IL,26752.0
2013,Women,Soccer,Monmouth IL,28566.0
2013,Women,Softball,Monmouth IL,41570.0
2013,Women,Tennis,Monmouth IL,12120.0
2013,Women,Track and Fields,Monmouth IL,56732.0
2013,Women,Volleyball,Monmouth IL,57852.0
2014,Men,Baseball,Monmouth IL,27599.0
2014,Men,Basketball,Monmouth IL,112734.0
2014,Men,Cross Country,Monmouth IL,34753.0
2014,Men,Football,Monmouth IL,188367.0
2014,Men,Golf,Monmouth IL,15388.0
2014,Men,Soccer,Monmouth IL,26118.0
2014,Men,Swimming and Diving,Monmouth IL,52422.0
2014,Men,Tennis,Monmouth IL,15524.0
2014,Men,Track and Fields,Monmouth IL,103370.0
2014,Women,Basketball,Monmouth IL,69961.0
2014,Women,Cross Country,Monmouth IL,34753.0
2014,Women,Golf,Monmouth IL,20833.0
2014,Women,Soccer,Monmouth IL,31267.0
2014,Women,Softball,Monmouth IL,21293.0
2014,Women,Swimming and Diving,Monmouth IL,38888.0
2014,Women,Tennis,Monmouth IL,14773.0
2014,Women,Track and Fields,Monmouth IL,97886.0
2014,Women,Volleyball,Monmouth IL,47954.0
2015,Men,Baseball,Monmouth IL,70630.0
2015,Men,Basketball,Monmouth IL,80236.0
2015,Men,Cross Country,Monmouth IL,25792.0
2015,Men,Football,Monmouth IL,336999.0
2015,Men,Golf,Monmouth IL,47686.0
2015,Men,Soccer,Monmouth IL,67957.0
2015,Men,Swimming and Diving,Monmouth IL,47672.0
2015,Men,Tennis,Monmouth IL,31334.0
2015,Men,Track and Fields,Monmouth IL,80663.0
2015,Women,Basketball,Monmouth IL,45124.0
2015,Women,Cross Country,Monmouth IL,26378.0
2015,Women,Golf,Monmouth IL,42177.0
2015,Women,Soccer,Monmouth IL,38127.0
2015,Women,Softball,Monmouth IL,47811.0
2015,Women,Swimming and Diving,Monmouth IL,47544.0
2015,Women,Tennis,Monmouth IL,31334.0
2015,Women,Track and Fields,Monmouth IL,77500.0
2015,Women,Volleyball,Monmouth IL,72606.0
2016,Men,Baseball,Monmouth IL,91957.0
2016,Men,Basketball,Monmouth IL,91173.0
2016,Men,Cross Country,Monmouth IL,38969.0
2016,Men,Football,Monmouth IL,396530.0
2016,Men,Golf,Monmouth IL,64574.0
2016,Men,Soccer,Monmouth IL,59178.0
2016,Men,Tennis,Monmouth IL,51283.0
2016,Men,Track and Fields,Monmouth IL,93266.0
2016,Women,Basketball,Monmouth IL,77301.0
2016,Women,Cross Country,Monmouth IL,46731.0
2016,Women,Golf,Monmouth IL,52707.0
2016,Women,Soccer,Monmouth IL,70082.0
2016,Women,Softball,Monmouth IL,83483.0
2016,Women,Tennis,Monmouth IL,40943.0
2016,Women,Track and Fields,Monmouth IL,85486.0
2016,Women,Volleyball,Monmouth IL,71452.0
2017,Men,Baseball,Monmouth IL,97817.0
2017,Men,Basketball,Monmouth IL,76938.0
2017,Men,Cross Country,Monmouth IL,25858.0
2017,Men,Football,Monmouth IL,297214.0
2017,Men,Golf,Monmouth IL,32066.0
2017,Men,Soccer,Monmouth IL,62414.0
2017,Men,Tennis,Monmouth IL,39387.0
2017,Men,Track and Fields,Monmouth IL,81388.0
2017,Women,Basketball,Monmouth IL,82615.0
2017,Women,Cross Country,Monmouth IL,23966.0
2017,Women,Golf,Monmouth IL,34829.0
2017,Women,Soccer,Monmouth IL,64736.0
2017,Women,Softball,Monmouth IL,65006.0
2017,Women,Tennis,Monmouth IL,23570.0
2017,Women,Track and Fields,Monmouth IL,65905.0
2017,Women,Volleyball,Monmouth IL,59082.0
2018,Men,Baseball,Monmouth IL,94821.0
2018,Men,Basketball,Monmouth IL,105075.0
2018,Men,Cross Country,Monmouth IL,19024.0
2018,Men,Football,Monmouth IL,309310.0
2018,Men,Golf,Monmouth IL,32256.0
