Overall,OverallPCT,Conf,ConfPCT,Streak,Home,Away,Neutral,Gender,Sport,Year
19-12,0.613,5-Jul,0.583,L2,3-May,6-May,3-Sep,Men,Baseball,2001
19-Dec,0.387,7-May,0.417,L1,7-Mar,6-Feb,6-Jul,Men,Baseball,2002
17-Nov,0.393,7-May,0.417,W1,5-Jul,0-7,5-Apr,Men,Baseball,2003
15-17,0.469,7-May,0.417,L1,3-Jul,9-Mar,5-May,Men,Baseball,2004
13-20,0.394,7-May,0.417,L3,6-May,7-May,7-Mar,Men,Baseball,2005
16-18,0.471,6-Jun,0.5,L1,5-May,8-May,5-Jun,Men,Baseball,2006
13-19,0.406,9-Mar,0.25,W1,8-Mar,5-Mar,6-Jul,Men,Baseball,2007
16-17,0.485,6-Jun,0.5,L2,4-Jun,7-Apr,6-Jun,Men,Baseball,2008
22-14,0.611,4-Aug,0.667,L4,3-Jul,6-Jul,5-Aug,Men,Baseball,2009
23-16,0.59,Dec-00,1,L1,5-Aug,3-Oct,8-May,Men,Baseball,2010
18-18,0.5,1-Nov,0.917,L1,3-Jun,5-Jul,10-May,Men,Baseball,2011
17-20,0.459,4-Aug,0.667,L1,4-Oct,5-Mar,11-Apr,Men,Baseball,2012
13-21,0.382,8-Aug,0.5,L4,7-Mar,5-Jul,9-Mar,Men,Baseball,2013
21-17,0.553,4-Dec,0.75,L1,3-May,4-Sep,10-Jul,Men,Baseball,2014
18-19,0.486,5-Nov,0.688,L2,4-Sep,7-Jul,8-Feb,Men,Baseball,2015
30-8,0.789,14-2,0.875,L1,1-Sep,3-Dec,4-Sep,Men,Baseball,2016
20-16,0.556,13-7,0.65,L4,6-Jun,3-Aug,7-Jun,Men,Baseball,2017
17-22,0.436,13-6,0.684,L1,6-Apr,5-Aug,11-May,Men,Baseball,2018
14-20,0.412,8-Aug,0.5,W1,3-Mar,10-May,7-Jun,Men,Baseball,2019
3-May,0.625,0-0,0,W1,0-0,0-0,3-May,Men,Baseball,2020
16-8,0.667,16-8,0.667,W10,3-Jul,5-Sep,0-0,Men,Baseball,2021
14-21,0.4,13-Nov,0.458,L2,7-Sep,7-Mar,7-Feb,Men,Baseball,2022
18-21,0.462,14-10,0.583,L2,7-Aug,6-Aug,8-Feb,Men,Baseball,2023
16-23,0.41,14-Sep,0.391,L1,7-Jun,13-Apr,3-Jun,Men,Baseball,2024
0-0,0,0-0,0,,0-0,0-0,0-0,Men,Baseball,2025
3-Apr,0.571,0-0,0,L1,0-0,0-0,3-Apr,Men,Basketball,1900
2-Feb,0.5,0-0,0,L1,0-1,0-0,1-Feb,Men,Basketball,1901
5-Jul,0.583,0-0,0,L2,Jan-00,3-Jan,2-May,Men,Basketball,1902
4-Jul,0.636,0-0,0,L2,2-Jan,0-2,Jun-00,Men,Basketball,1903
3-Aug,0.727,0-0,0,L1,Feb-00,0-1,2-Jun,Men,Basketball,1904
4-Aug,0.667,0-0,0,L1,Jan-00,0-2,2-Jul,Men,Basketball,1905
2-Sep,0.818,0-0,0,W5,Feb-00,Jan-00,2-Jun,Men,Basketball,1906
14-3,0.824,0-0,0,W7,Apr-00,0-1,2-Oct,Men,Basketball,1907
1-Dec,0.923,0-0,0,L1,Mar-00,Mar-00,1-Jun,Men,Basketball,1908
1-Dec,0.923,0-0,0,W8,Mar-00,1-Apr,May-00,Men,Basketball,1909
13-1,0.929,0-0,0,L1,1-Apr,Feb-00,Jul-00,Men,Basketball,1910
4-Sep,0.692,0-0,0,L2,Feb-00,1-Feb,3-May,Men,Basketball,1911
Nov-00,1,0-0,0,W11,Mar-00,Mar-00,May-00,Men,Basketball,1912
1-Oct,0.909,0-0,0,W1,1-Feb,Feb-00,Jun-00,Men,Basketball,1913
4-Oct,0.714,0-0,0,W2,0-1,2-Feb,1-Aug,Men,Basketball,1914
6-Jun,0.5,0-0,0,W1,1-Feb,2-Jan,3-Mar,Men,Basketball,1915
5-Sep,0.643,0-0,0,L1,2-Jan,3-Jan,Jul-00,Men,Basketball,1916
4-Jul,0.636,0-0,0,W3,2-Apr,2-Mar,0-0,Men,Basketball,1917
5-Jun,0.545,3-May,0.625,W1,2-Apr,3-Feb,0-0,Men,Basketball,1918
10-Apr,0.286,9-Jan,0.1,L3,4-Apr,0-6,0-0,Men,Basketball,1919
12-Jun,0.333,12-Feb,0.143,L2,6-Mar,6-Mar,0-0,Men,Basketball,1920
14-May,0.263,14-Feb,0.125,W1,7-Mar,7-Jan,Jan-00,Men,Basketball,1921
13-Mar,0.188,13-Mar,0.188,L4,7-Jan,6-Feb,0-0,Men,Basketball,1922
14-Apr,0.222,12-Apr,0.25,L5,5-Mar,9-Jan,0-0,Men,Basketball,1923
13-Apr,0.235,12-Apr,0.25,L6,5-Mar,8-Jan,0-0,Men,Basketball,1924
14-Jan,0.067,13-Jan,0.071,L6,0-7,7-Jan,0-0,Men,Basketball,1925
15-Feb,0.118,13-Feb,0.133,L8,5-Feb,0-10,0-0,Men,Basketball,1926
13-Jun,0.316,12-Jun,0.333,L2,5-Apr,8-Feb,0-0,Men,Basketball,1927
11-Jun,0.353,0-5,0,L1,4-Apr,7-Feb,0-0,Men,Basketball,1928
9-Jun,0.4,4-Apr,0.5,L1,3-Apr,6-Feb,0-0,Men,Basketball,1929
8-Jul,0.467,5-Mar,0.375,L1,2-May,6-Feb,0-0,Men,Basketball,1930
8-Aug,0.5,3-May,0.625,L2,4-Mar,4-May,0-0,Men,Basketball,1931
11-May,0.312,7-Mar,0.3,W1,4-May,0-7,0-0,Men,Basketball,1932
7-Aug,0.533,5-May,0.5,W1,3-Apr,4-Apr,0-0,Men,Basketball,1933
8-Nov,0.579,5-Jul,0.583,L2,1-Jun,7-May,0-0,Men,Basketball,1934
11-Jul,0.389,8-Apr,0.333,L1,5-Mar,6-Apr,0-0,Men,Basketball,1935
10-Aug,0.444,5-Jul,0.583,W1,4-May,6-Mar,0-0,Men,Basketball,1936
9-Oct,0.526,7-Jul,0.5,L1,3-Jul,6-Mar,0-0,Men,Basketball,1937
14-7,0.667,6-Aug,0.571,L1,3-Jun,4-Jun,Feb-00,Men,Basketball,1938
12-Aug,0.4,5-Jul,0.583,L4,5-Apr,6-Mar,1-Jan,Men,Basketball,1939
6-Nov,0.647,2-Oct,0.833,L2,1-Jul,5-Apr,0-0,Men,Basketball,1940
9-Sep,0.5,6-Jun,0.5,W1,2-Jul,7-Jan,Jan-00,Men,Basketball,1941
11-May,0.312,3-Apr,0.571,L1,6-Apr,5-Jan,0-0,Men,Basketball,1942
10-May,0.333,7-Mar,0.3,L1,4-Jan,6-Apr,0-0,Men,Basketball,1945
12-Aug,0.4,8-May,0.385,W1,3-Aug,0-9,0-0,Men,Basketball,1946
9-Sep,0.5,8-May,0.385,L2,3-May,6-Apr,0-0,Men,Basketball,1947
5-Dec,0.706,4-Sep,0.692,L1,1-Jul,3-Apr,1-Jan,Men,Basketball,1948
7-Nov,0.611,4-Sep,0.692,L1,1-Jun,4-Apr,2-Jan,Men,Basketball,1949
10-Aug,0.444,7-Jun,0.462,L2,3-May,7-Jan,Feb-00,Men,Basketball,1950
13-May,0.278,10-Mar,0.231,W1,8-Feb,5-Mar,0-0,Men,Basketball,1951
8-Oct,0.556,5-Jul,0.583,L2,Aug-00,8-Feb,0-0,Men,Basketball,1952
8-Oct,0.556,4-Aug,0.667,W1,3-Jul,5-Mar,0-0,Men,Basketball,1953
13-8,0.619,6-Jun,0.5,L1,1-Aug,6-Mar,1-Feb,Men,Basketball,1954
9-Nov,0.55,7-Sep,0.562,L1,3-Jul,6-Apr,0-0,Men,Basketball,1955
11-Sep,0.45,8-Aug,0.5,L1,3-Jul,8-Feb,0-0,Men,Basketball,1956
13-Aug,0.381,10-Jun,0.375,L4,4-Jun,8-Jan,1-Jan,Men,Basketball,1957
13-8,0.619,4-Dec,0.75,L2,4-Jul,4-Jun,0-0,Men,Basketball,1958
13-Sep,0.409,10-Aug,0.444,W1,3-Jun,8-Mar,0-2,Men,Basketball,1959
10-Nov,0.524,9-Sep,0.5,W3,2-Sep,8-Feb,0-0,Men,Basketball,1960
18-4,0.818,16-2,0.889,L2,Sep-00,3-Aug,1-Jan,Men,Basketball,1961
8-Dec,0.6,7-Nov,0.611,W2,3-Aug,5-Apr,0-0,Men,Basketball,1962
10-Dec,0.545,9-Sep,0.5,W1,4-May,6-May,Feb-00,Men,Basketball,1963
15-Jul,0.318,13-May,0.278,L4,5-May,9-Feb,0-1,Men,Basketball,1964
19-Mar,0.136,17-Jan,0.056,L9,8-Feb,10-Jan,0-1,Men,Basketball,1965
20-Feb,0.091,16-Feb,0.111,L3,9-Jan,9-Jan,0-2,Men,Basketball,1966
20-Feb,0.091,16-Feb,0.111,L3,9-Feb,0-9,0-2,Men,Basketball,1967
17-May,0.227,15-Mar,0.167,L1,7-Mar,9-Feb,0-1,Men,Basketball,1968
14-Aug,0.364,11-Jul,0.389,L2,5-Jun,9-Jan,Jan-00,Men,Basketball,1969
20-Feb,0.091,16-Feb,0.111,L9,7-Feb,0-12,0-1,Men,Basketball,1970
16-May,0.238,14-Apr,0.222,L4,7-Mar,9-Jan,Jan-00,Men,Basketball,1971
19-Feb,0.095,12-Feb,0.143,L5,6-Feb,0-10,0-3,Men,Basketball,1972
16-Apr,0.2,13-Jan,0.071,L6,7-Jan,0-9,Mar-00,Men,Basketball,1973
14-Aug,0.364,10-Jun,0.375,W1,5-May,7-Feb,2-Jan,Men,Basketball,1974
14-Jun,0.3,10-Jun,0.375,L1,4-May,9-Jan,0-1,Men,Basketball,1975
20-Jan,0.048,0-10,0,W1,8-Jan,0-12,0-0,Men,Basketball,1976
19-Mar,0.136,8-Feb,0.2,L2,10-Jan,8-Feb,0-1,Men,Basketball,1977
18-Apr,0.182,8-Feb,0.2,L2,6-Apr,0-10,0-2,Men,Basketball,1978
