Year,Gender,Sport,School,Expense,Accumulative Growth,Yearly Change
2011,Men,Tennis,Grinnell,66576.0,2.051395821778517,0.06964862389743096
2012,Men,Tennis,Grinnell,63911.0,1.9692795957355025,-0.040029440038452296
2013,Men,Tennis,Grinnell,67375.0,2.076015283170025,0.05420037239285882
2014,Men,Tennis,Grinnell,80877.0,2.492050286559438,0.20040074211502784
2015,Men,Tennis,Grinnell,78698.0,2.424909102113761,-0.026942146716619063
2016,Men,Tennis,Grinnell,68291.0,2.1042398471682997,-0.1322397011359882
2017,Men,Tennis,Grinnell,72099.0,2.2215751525235716,0.05576137411957652
2018,Men,Tennis,Grinnell,77004.0,2.372712146422629,0.06803145674697292
2019,Men,Tennis,Grinnell,60712.0,1.870709311641092,-0.21157342475715546
2020,Men,Tennis,Grinnell,33026.0,1.017624946077525,-0.45602187376465936
2021,Men,Tennis,Grinnell,84396.0,2.600480680347569,1.5554411675649489
2022,Men,Tennis,Grinnell,86944.0,2.678991803783817,0.030191004313000615
2003,Women,Tennis,Grinnell,17436.0,1.0,0.0
2004,Women,Tennis,Grinnell,29115.0,1.6698210598761183,0.6698210598761184
2005,Women,Tennis,Grinnell,27196.0,1.5597614131681579,-0.0659110424179976
2006,Women,Tennis,Grinnell,26457.0,1.5173778389538886,-0.027173113693190174
2007,Women,Tennis,Grinnell,46876.0,2.6884606561137874,0.7717806251653626
2008,Women,Tennis,Grinnell,54870.0,3.1469373709566413,0.17053502858605682
2009,Women,Tennis,Grinnell,53745.0,3.082415691672402,-0.02050300710770913
2010,Women,Tennis,Grinnell,58573.0,3.359314062858454,0.08983161224299935
2011,Women,Tennis,Grinnell,65410.0,3.751433815095205,0.1167261366158469
2012,Women,Tennis,Grinnell,62385.0,3.5779421885753613,-0.04624675126127503
2013,Women,Tennis,Grinnell,67323.0,3.8611493461803166,0.07915364270257273
2014,Women,Tennis,Grinnell,73327.0,4.2054943794448265,0.08918200317870564
2015,Women,Tennis,Grinnell,76152.0,4.367515485203028,0.03852605452289061
2016,Women,Tennis,Grinnell,67586.0,3.8762330809818764,-0.11248555520537871
2017,Women,Tennis,Grinnell,68515.0,3.9295136499197065,0.013745450241174208
2018,Women,Tennis,Grinnell,74514.0,4.273571920165176,0.08755746916733562
2019,Women,Tennis,Grinnell,61487.0,3.5264395503555863,-0.1748262071557023
2020,Women,Tennis,Grinnell,31305.0,1.7954232622161046,-0.4908679883552621
2021,Women,Tennis,Grinnell,90754.0,5.204978206010553,1.899025714742054
2022,Women,Tennis,Grinnell,88699.0,5.087118605184675,-0.022643630032836017
2003,Men,Track and Fields,Grinnell,73778.0,1.0,0.0
2004,Men,Track and Fields,Grinnell,62374.0,0.8454281764211553,-0.15457182357884464
2005,Men,Track and Fields,Grinnell,62898.0,0.8525305646669739,0.008400936287555713
2006,Men,Track and Fields,Grinnell,55255.0,0.7489359971807313,-0.12151419758974848
2007,Men,Track and Fields,Grinnell,133534.0,1.8099433435441459,1.416686272735499
2008,Men,Track and Fields,Grinnell,84643.0,1.1472661226924015,-0.3661314721344377
2009,Men,Track and Fields,Grinnell,90873.0,1.2317086394318089,0.07360325130252944
2010,Men,Track and Fields,Grinnell,110112.0,1.4924774322968908,0.21171305008088212
2011,Men,Track and Fields,Grinnell,114082.0,1.5462875111821952,0.036054199360650976
2012,Men,Track and Fields,Grinnell,120173.0,1.6288459974518148,0.05339142020651812
2013,Men,Track and Fields,Grinnell,107902.0,1.4625227032448698,-0.10211112313081973
2014,Men,Track and Fields,Grinnell,110919.0,1.5034156523624929,0.02796055680154214
2015,Men,Track and Fields,Grinnell,129523.0,1.7555775434411343,0.16772599825097595
2016,Men,Track and Fields,Grinnell,162553.0,2.2032719780964514,0.25501262324066
2017,Men,Track and Fields,Grinnell,177691.0,2.408455095014774,0.09312654949462637
2018,Men,Track and Fields,Grinnell,192474.0,2.608826479438315,0.08319498455183437
2019,Men,Track and Fields,Grinnell,152292.0,2.0641925777331998,-0.20876585928489041
2020,Men,Track and Fields,Grinnell,49822.0,0.6752961587465098,-0.6728521524439892
2021,Men,Track and Fields,Grinnell,152688.0,2.0695600314456883,2.0646702260045764
2022,Men,Track and Fields,Grinnell,169686.0,2.2999539158014586,0.1113250550141465
2003,Women,Track and Fields,Grinnell,47122.0,1.0,0.0
2004,Women,Track and Fields,Grinnell,55077.0,1.168817113025763,0.1688171130257629
2005,Women,Track and Fields,Grinnell,60302.0,1.2796995034166632,0.09486718593968445
2006,Women,Track and Fields,Grinnell,48524.0,1.0297525571919697,-0.19531690491194323
2007,Women,Track and Fields,Grinnell,120562.0,2.5585077034081745,1.4845849476547688
2008,Women,Track and Fields,Grinnell,74450.0,1.5799414286320614,-0.38247540684461107
2009,Women,Track and Fields,Grinnell,57355.0,1.2171597130851832,-0.22961719274680994
2010,Women,Track and Fields,Grinnell,99288.0,2.1070412970586987,0.7311132420887455
2011,Women,Track and Fields,Grinnell,114674.0,2.4335554518059506,0.15496333897349127
2012,Women,Track and Fields,Grinnell,117168.0,2.4864818980518653,0.02174860910058078
2013,Women,Track and Fields,Grinnell,107540.0,2.2821611985908916,-0.08217260685511403
2014,Women,Track and Fields,Grinnell,105168.0,2.2318237765799416,-0.022056909057095033
2015,Women,Track and Fields,Grinnell,116387.0,2.469907898646068,0.10667693595009889
2016,Women,Track and Fields,Grinnell,153969.0,3.267454692075888,0.3229054791342676
2017,Women,Track and Fields,Grinnell,167671.0,3.55823182377658,0.08899193993596113
2018,Women,Track and Fields,Grinnell,184078.0,3.906413140359068,0.0978523417883832
2019,Women,Track and Fields,Grinnell,157734.0,3.347353677687704,-0.14311324547202817
2020,Women,Track and Fields,Grinnell,61426.0,1.3035524807945333,-0.6105722291959882
2021,Women,Track and Fields,Grinnell,160292.0,3.401638300581469,1.6095138866278123
2022,Women,Track and Fields,Grinnell,166937.0,3.5426552353465475,0.04145559354178624
2003,Women,Volleyball,Grinnell,41775.0,1.0,0.0
2004,Women,Volleyball,Grinnell,60755.0,1.4543387193297426,0.4543387193297427
2005,Women,Volleyball,Grinnell,39428.0,0.9438180730101735,-0.35103283680355524
2006,Women,Volleyball,Grinnell,43920.0,1.051346499102334,0.11392918737952724
2007,Women,Volleyball,Grinnell,57692.0,1.381017354877319,0.3135701275045537
2008,Women,Volleyball,Grinnell,63974.0,1.5313943746259724,0.10888858073909728
2009,Women,Volleyball,Grinnell,54222.0,1.2979533213644525,-0.1524369275017976
2010,Women,Volleyball,Grinnell,75237.0,1.8010053859964092,0.3875733097266792
2011,Women,Volleyball,Grinnell,60136.0,1.4395212447636145,-0.20071241543389556
2012,Women,Volleyball,Grinnell,55575.0,1.3303411131059246,-0.07584475189570307
2013,Women,Volleyball,Grinnell,66191.0,1.5844643925792938,0.19102114260008995
2014,Women,Volleyball,Grinnell,96157.0,2.301783363255536,0.45272015832968227
2015,Women,Volleyball,Grinnell,75219.0,1.8005745062836624,-0.21774805786370208
2016,Women,Volleyball,Grinnell,80685.0,1.9314183123877917,0.07266780999481513
2017,Women,Volleyball,Grinnell,85771.0,2.0531657690005987,0.06303526058127285
2018,Women,Volleyball,Grinnell,122868.0,2.9411849192100536,0.43251215445780045
2019,Women,Volleyball,Grinnell,131001.0,3.1358707360861757,0.06619298759644497
2021,Women,Volleyball,Grinnell,142055.0,3.4004787552363855,0.08438103525927283
2022,Women,Volleyball,Grinnell,184544.0,4.417570317175344,0.29910246031466686
2003,Men,Baseball,Illinois Col,62630.0,1.0,0.0
2004,Men,Baseball,Illinois Col,75434.0,1.2044387673638832,0.2044387673638831
2005,Men,Baseball,Illinois Col,66924.0,1.0685613923040076,-0.11281385051833391
2006,Men,Baseball,Illinois Col,77145.0,1.2317579434775667,0.15272547964855657
2007,Men,Baseball,Illinois Col,82568.0,1.318345840651445,0.07029619547605159
2008,Men,Baseball,Illinois Col,83183.0,1.3281654159348555,0.007448406162193586
2009,Men,Baseball,Illinois Col,100018.0,1.596966310075044,0.20238510272531648
2010,Men,Baseball,Illinois Col,91571.0,1.4620948427271276,-0.08445479813633545
2011,Men,Baseball,Illinois Col,122523.0,1.9562988982915537,0.3380109423289033
2012,Men,Baseball,Illinois Col,126131.0,2.013907073287562,0.02944753230005795
2013,Men,Baseball,Illinois Col,142962.0,2.2826441002714355,0.133440629187115
2014,Men,Baseball,Illinois Col,175427.0,2.8010059077119593,0.2270883171751934
2015,Men,Baseball,Illinois Col,164796.0,2.6312629730161263,-0.06060070570664721
2016,Men,Baseball,Illinois Col,166698.0,2.661631805843845,0.011541542270443458
2017,Men,Baseball,Illinois Col,183174.0,2.924700622704774,0.09883741856530973
2018,Men,Baseball,Illinois Col,149558.0,2.387961041034648,-0.18351949512485397
2019,Men,Baseball,Illinois Col,130195.0,2.0787961041034646,-0.12946816619639204
2020,Men,Baseball,Illinois Col,129794.0,2.0723934216828996,-0.0030799953915280924
2021,Men,Baseball,Illinois Col,215268.0,3.437138751397094,0.6585358337057183
2022,Men,Baseball,Illinois Col,214566.0,3.4259300654638354,-0.00326105134065444
2003,Men,Basketball,Illinois Col,78877.0,1.0,0.0
2004,Men,Basketball,Illinois Col,98540.0,1.2492868643584314,0.24928686435843148
2005,Men,Basketball,Illinois Col,90151.0,1.1429313995207728,-0.08513294093769028
2006,Men,Basketball,Illinois Col,86477.0,1.0963525489052575,-0.04075384632450001
2007,Men,Basketball,Illinois Col,90348.0,1.1454289590121327,0.044763347479676675
2008,Men,Basketball,Illinois Col,89537.0,1.135147127806585,-0.008976402355337141
2009,Men,Basketball,Illinois Col,98037.0,1.2429098469769388,0.09493282106838513
2010,Men,Basketball,Illinois Col,107714.0,1.3655945332606463,0.09870763079245591
2011,Men,Basketball,Illinois Col,88225.0,1.1185136351534668,-0.1809328406706649
2012,Men,Basketball,Illinois Col,125952.0,1.596815294699342,0.4276225559648626
2013,Men,Basketball,Illinois Col,148800.0,1.8864814838292532,0.18140243902439024
2014,Men,Basketball,Illinois Col,163545.0,2.073418106672414,0.09909274193548387
2015,Men,Basketball,Illinois Col,146718.0,1.860085956615997,-0.10288911308814087
2016,Men,Basketball,Illinois Col,139542.0,1.769108865702296,-0.04891015417331207
2017,Men,Basketball,Illinois Col,105240.0,1.3342292429985927,-0.2458184632583738
2018,Men,Basketball,Illinois Col,154353.0,1.9568822343648973,0.4666761687571266
2019,Men,Basketball,Illinois Col,154688.0,1.9611293532969054,0.002170349782641089
2020,Men,Basketball,Illinois Col,101496.0,1.2867629346957923,-0.34386636326023995
2021,Men,Basketball,Illinois Col,182194.0,2.3098495125321703,0.7950855206116497
2022,Men,Basketball,Illinois Col,197437.0,2.5030997629220177,0.08366356740617144
2003,Women,Basketball,Illinois Col,62440.0,1.0,0.0
2004,Women,Basketball,Illinois Col,71510.0,1.1452594490711083,0.14525944907110827
2005,Women,Basketball,Illinois Col,70979.0,1.1367552850736706,-0.007425534890225144
2006,Women,Basketball,Illinois Col,66049.0,1.0577994875080077,-0.06945716338635372
2007,Women,Basketball,Illinois Col,82906.0,1.32777065983344,0.25521960968371965
2008,Women,Basketball,Illinois Col,85043.0,1.3619955156950672,0.02577618025233397
2009,Women,Basketball,Illinois Col,80759.0,1.2933856502242151,-0.05037451642110462
2010,Women,Basketball,Illinois Col,82524.0,1.3216527866752081,0.02185514927128865
2011,Women,Basketball,Illinois Col,80496.0,1.289173606662396,-0.024574669187145556
2012,Women,Basketball,Illinois Col,87489.0,1.4011691223574632,0.08687388193202146
2013,Women,Basketball,Illinois Col,83331.0,1.334577194106342,-0.047525974693961526
2014,Women,Basketball,Illinois Col,107733.0,1.7253843689942345,0.29283219930158044
2015,Women,Basketball,Illinois Col,115867.0,1.8556534272901986,0.0755014712297996
2016,Women,Basketball,Illinois Col,138332.0,2.2154388212684175,0.19388609353828096
2017,Women,Basketball,Illinois Col,134645.0,2.156390134529148,-0.026653268947170575
2018,Women,Basketball,Illinois Col,150674.0,2.413100576553491,0.119046381224702
2019,Women,Basketball,Illinois Col,149457.0,2.393609865470852,-0.008077040498028857
2020,Women,Basketball,Illinois Col,113548.0,1.8185137732222934,-0.2402630857035803
2021,Women,Basketball,Illinois Col,178399.0,2.8571268417680975,0.5711329129531123
2022,Women,Basketball,Illinois Col,200856.0,3.2167841127482384,0.12588075045263708
2003,Men,Football,Illinois Col,181529.0,1.0,0.0
2004,Men,Football,Illinois Col,238201.0,1.3121925422384302,0.31219254223843024
2005,Men,Football,Illinois Col,221449.0,1.219909766483592,-0.07032716067522807
2006,Men,Football,Illinois Col,210121.0,1.157506514110693,-0.051153990309281146
2007,Men,Football,Illinois Col,225146.0,1.2402756584347405,0.0715064177307361
2008,Men,Football,Illinois Col,225021.0,1.2395870632240578,-0.0005551952954971441
2009,Men,Football,Illinois Col,264668.0,1.4579929377675191,0.1761924442607579
2010,Men,Football,Illinois Col,293785.0,1.6183915517630791,0.11001329968110991
2011,Men,Football,Illinois Col,288201.0,1.5876306265114666,-0.01900709702673724
2012,Men,Football,Illinois Col,298744.0,1.645709500961279,0.036582107626274715
2013,Men,Football,Illinois Col,354518.0,1.9529551752061654,0.186694962911389
2014,Men,Football,Illinois Col,362695.0,1.9980003195081777,0.02306511940155366
2015,Men,Football,Illinois Col,380039.0,2.0935442821808086,0.04781979349039827
2016,Men,Football,Illinois Col,398359.0,2.194464796258449,0.04820557890111278
2017,Men,Football,Illinois Col,375873.0,2.0705947809991794,-0.05644657206188388
2018,Men,Football,Illinois Col,381111.0,2.0994496747076226,0.013935558020927281
2019,Men,Football,Illinois Col,343448.0,1.8919731833481153,-0.09882422706245687
2020,Men,Football,Illinois Col,252474.0,1.3908190977750112,-0.26488434930469823
2021,Men,Football,Illinois Col,438125.0,2.41352621344248,0.7353272020089198
2022,Men,Football,Illinois Col,535309.0,2.9488897090822954,0.22181797432239658
2003,Men,Golf,Illinois Col,9049.0,1.0,0.0
2004,Men,Golf,Illinois Col,10282.0,1.1362581500718312,0.13625815007183115
2005,Men,Golf,Illinois Col,9789.0,1.0817769919328102,-0.047947870064189844
2006,Men,Golf,Illinois Col,14270.0,1.5769698309205438,0.4577587087547247
2007,Men,Golf,Illinois Col,13308.0,1.4706597414078904,-0.06741415557112825
2008,Men,Golf,Illinois Col,34409.0,3.802519615427119,1.5855876164712954
2009,Men,Golf,Illinois Col,37923.0,4.19084981765941,0.10212444418611409
2010,Men,Golf,Illinois Col,49533.0,5.473864515416068,0.3061466656118978
2011,Men,Golf,Illinois Col,34163.0,3.7753342910818875,-0.3102981850483516
2012,Men,Golf,Illinois Col,32998.0,3.64659078351199,-0.03410122061879811
2013,Men,Golf,Illinois Col,29304.0,3.2383688805392863,-0.11194617855627614
2014,Men,Golf,Illinois Col,24584.0,2.716764283346226,-0.16107016107016106
2015,Men,Golf,Illinois Col,32381.0,3.578406453751796,0.3171575008135373
2016,Men,Golf,Illinois Col,31575.0,3.4893358382141675,-0.024891139865970784
2017,Men,Golf,Illinois Col,40417.0,4.466460382362692,0.28003167062549483
2018,Men,Golf,Illinois Col,37655.0,4.161233285445905,-0.06833758072098374
2019,Men,Golf,Illinois Col,38356.0,4.238700408884959,0.0186163856061612
2020,Men,Golf,Illinois Col,36521.0,4.0359155707813015,-0.04784127646261341
2021,Men,Golf,Illinois Col,55768.0,6.162890927174273,0.5270118561923277
2022,Men,Golf,Illinois Col,34615.0,3.8252845618300366,-0.37930354325060966
2003,Women,Golf,Illinois Col,21223.0,1.0,0.0
2004,Women,Golf,Illinois Col,29812.0,1.404702445460114,0.404702445460114
2005,Women,Golf,Illinois Col,31781.0,1.4974791499787965,0.06604722930363612
2006,Women,Golf,Illinois Col,32383.0,1.525844602553833,0.018942135238035306
2007,Women,Golf,Illinois Col,29952.0,1.4112990623380295,-0.07507025291047772
2008,Women,Golf,Illinois Col,38970.0,1.836215426659756,0.3010817307692308
2009,Women,Golf,Illinois Col,25799.0,1.2156151345238657,-0.3379779317423659
2010,Women,Golf,Illinois Col,36693.0,1.7289261650096592,0.42226442885383153
2011,Women,Golf,Illinois Col,44212.0,2.083211610045705,0.20491646908129615
2012,Women,Golf,Illinois Col,36980.0,1.742449229609386,-0.16357549986429024
2013,Women,Golf,Illinois Col,42720.0,2.0129105216039203,0.1552190373174689
2014,Women,Golf,Illinois Col,29017.0,1.3672430853319513,-0.3207631086142322
2015,Women,Golf,Illinois Col,31029.0,1.4620458936059935,0.06933866354206154
2016,Women,Golf,Illinois Col,30463.0,1.435376713942421,-0.018241000354507073
2017,Women,Golf,Illinois Col,40445.0,1.9057154973377939,0.32767619735416736
2018,Women,Golf,Illinois Col,39565.0,1.8642510483908967,-0.021757942885399926
2019,Women,Golf,Illinois Col,46678.0,2.1994063044809877,0.17978010868191582
2020,Women,Golf,Illinois Col,33396.0,1.57357583753475,-0.2845451818843995
2021,Women,Golf,Illinois Col,50997.0,2.40291193516468,0.5270391663672296
2022,Women,Golf,Illinois Col,31506.0,1.4845215096828912,-0.38219895287958117
2003,Men,Soccer,Illinois Col,16755.0,1.0,0.0
2004,Men,Soccer,Illinois Col,20516.0,1.224470307370934,0.22447030737093404
2005,Men,Soccer,Illinois Col,16356.0,0.9761862130707252,-0.20276857087151492
2006,Men,Soccer,Illinois Col,22338.0,1.3332139659803044,0.3657373440939105
2007,Men,Soccer,Illinois Col,23789.0,1.419814980602805,0.06495657623780106
2008,Men,Soccer,Illinois Col,32648.0,1.948552670844524,0.3723990079448485
2009,Men,Soccer,Illinois Col,29692.0,1.772127723067741,-0.09054153393776035
2010,Men,Soccer,Illinois Col,44268.0,2.642076991942704,0.49090664151960123
2011,Men,Soccer,Illinois Col,55055.0,3.285884810504327,0.24367488931056294
2012,Men,Soccer,Illinois Col,60419.0,3.6060280513279617,0.09742984288438834
2013,Men,Soccer,Illinois Col,59136.0,3.5294538943598925,-0.02123504195700028
2014,Men,Soccer,Illinois Col,71501.0,4.267442554461355,0.20909429112554112
2015,Men,Soccer,Illinois Col,107468.0,6.414085347657416,0.5030279296793052
2016,Men,Soccer,Illinois Col,108473.0,6.474067442554461,0.009351620947630923
2017,Men,Soccer,Illinois Col,114228.0,6.817547000895255,0.053054677200778076
2018,Men,Soccer,Illinois Col,108698.0,6.487496269770218,-0.04841194803375705
2019,Men,Soccer,Illinois Col,103032.0,6.149328558639212,-0.05212607407679994
2020,Men,Soccer,Illinois Col,113145.0,6.752909579230081,0.09815397158164453
2021,Men,Soccer,Illinois Col,145106.0,8.66045956430916,0.282478235891997
2022,Men,Soccer,Illinois Col,165788.0,9.894837361981498,0.1425302882031067
2003,Women,Soccer,Illinois Col,21534.0,1.0,0.0
2004,Women,Soccer,Illinois Col,14453.0,0.6711711711711712,-0.32882882882882886
2005,Women,Soccer,Illinois Col,19950.0,0.9264419058233492,0.38033626236767454
2006,Women,Soccer,Illinois Col,18404.0,0.8546484628958856,-0.0774937343358396
2007,Women,Soccer,Illinois Col,14083.0,0.6539890405869787,-0.23478591610519453
2008,Women,Soccer,Illinois Col,33201.0,1.541794371691279,1.3575232549882839
2009,Women,Soccer,Illinois Col,30996.0,1.4393981610476456,-0.06641366223908918
2010,Women,Soccer,Illinois Col,44581.0,2.0702609826321168,0.4382823590140663
2011,Women,Soccer,Illinois Col,60427.0,2.806120553543234,0.35544290168457415
2012,Women,Soccer,Illinois Col,62667.0,2.9101421008637502,0.03706952190246082
2013,Women,Soccer,Illinois Col,58348.0,2.7095755549363796,-0.068919846171031
2014,Women,Soccer,Illinois Col,90287.0,4.192764929878332,0.5473880852814149
2015,Women,Soccer,Illinois Col,119785.0,5.562598681155382,0.32671370186184057
2016,Women,Soccer,Illinois Col,109284.0,5.074951239899693,-0.08766540050924573
2017,Women,Soccer,Illinois Col,112996.0,5.247329804030835,0.033966545880458256
2018,Women,Soccer,Illinois Col,112328.0,5.216309092597752,-0.005911713688980141
2019,Women,Soccer,Illinois Col,83316.0,3.8690443020339926,-0.2582793248344135
2020,Women,Soccer,Illinois Col,101822.0,4.728429460388223,0.22211820058572182
2021,Women,Soccer,Illinois Col,147169.0,6.834262097148695,0.4453556205927992
2022,Women,Soccer,Illinois Col,176367.0,8.190164391195319,0.19839776039790988
2003,Women,Softball,Illinois Col,25947.0,1.0,0.0
2004,Women,Softball,Illinois Col,42101.0,1.6225767911511928,0.6225767911511928
2005,Women,Softball,Illinois Col,49726.0,1.91644506108606,0.18111208759886938
2006,Women,Softball,Illinois Col,40441.0,1.5586002235325858,-0.18672324337368781
2007,Women,Softball,Illinois Col,47872.0,1.8449917138782903,0.18374916545090378
2008,Women,Softball,Illinois Col,40631.0,1.565922842717848,-0.15125752005347592
2009,Women,Softball,Illinois Col,59273.0,2.2843874050950013,0.45881223696192563
2010,Women,Softball,Illinois Col,60826.0,2.3442401819092766,0.02620079968957198
2011,Women,Softball,Illinois Col,66342.0,2.5568273788877325,0.09068490448163614
2012,Women,Softball,Illinois Col,56730.0,2.186379928315412,-0.14488559283711677
2013,Women,Softball,Illinois Col,65329.0,2.5177862565999924,0.15157764851048827
2014,Women,Softball,Illinois Col,77285.0,2.978571703857864,0.18301213856021062
2015,Women,Softball,Illinois Col,91686.0,3.533587697999769,0.18633628776606068
2016,Women,Softball,Illinois Col,96093.0,3.7034339229968785,0.04806622603232773
2017,Women,Softball,Illinois Col,111079.0,4.280995876209196,0.15595308711352543
2018,Women,Softball,Illinois Col,117413.0,4.5251088757852544,0.05702247949657451
2019,Women,Softball,Illinois Col,86354.0,3.3280918796007244,-0.26452777801435956
2020,Women,Softball,Illinois Col,95326.0,3.673873665549004,0.10389790860875003
2021,Women,Softball,Illinois Col,153051.0,5.898600994334605,0.6055535740511507
2022,Women,Softball,Illinois Col,176354.0,6.796700967356535,0.15225643739668476
2003,Men,Tennis,Illinois Col,9304.0,1.0,0.0
2004,Men,Tennis,Illinois Col,7398.0,0.7951418744625968,-0.20485812553740326
2005,Men,Tennis,Illinois Col,8960.0,0.9630266552020637,0.2111381454447148
2006,Men,Tennis,Illinois Col,15100.0,1.622957867583835,0.6852678571428571
2007,Men,Tennis,Illinois Col,5921.0,0.6363929492691316,-0.6078807947019867
2008,Men,Tennis,Illinois Col,9419.0,1.012360275150473,0.5907785846985306
2009,Men,Tennis,Illinois Col,10820.0,1.1629406706792778,0.148741904660792
2010,Men,Tennis,Illinois Col,8281.0,0.8900472914875323,-0.2346580406654344
2011,Men,Tennis,Illinois Col,22222.0,2.3884350816852966,1.6834923318439803
2012,Men,Tennis,Illinois Col,16301.0,1.752042132416165,-0.26644766447664475
2013,Men,Tennis,Illinois Col,21524.0,2.3134135855546,0.32040979081037974
2014,Men,Tennis,Illinois Col,36224.0,3.8933791917454856,0.6829585578888683
2015,Men,Tennis,Illinois Col,25705.0,2.7627901977644025,-0.2903875883392226
2016,Men,Tennis,Illinois Col,25481.0,2.7387145313843506,-0.00871425792647345
2017,Men,Tennis,Illinois Col,31077.0,3.340176268271711,0.21961461481103567
2018,Men,Tennis,Illinois Col,26056.0,2.8005159071367154,-0.161566431766258
2019,Men,Tennis,Illinois Col,23822.0,2.560404127257094,-0.08573840957936751
2020,Men,Tennis,Illinois Col,12318.0,1.3239466895958727,-0.482914952564856
2021,Men,Tennis,Illinois Col,33478.0,3.598237317282889,1.7178113330086053
2022,Men,Tennis,Illinois Col,37496.0,4.030094582975065,0.12001911703208076
2003,Women,Tennis,Illinois Col,10003.0,1.0,0.0
2004,Women,Tennis,Illinois Col,9666.0,0.9663101069679096,-0.03368989303209037
2005,Women,Tennis,Illinois Col,8272.0,0.8269519144256723,-0.1442168425408649
2006,Women,Tennis,Illinois Col,9120.0,0.9117264820553834,0.10251450676982592
2007,Women,Tennis,Illinois Col,10029.0,1.0025992202339298,0.09967105263157895
2008,Women,Tennis,Illinois Col,10170.0,1.0166949915025492,0.014059228238109482
2009,Women,Tennis,Illinois Col,12686.0,1.268219534139758,0.24739429695181908
2010,Women,Tennis,Illinois Col,10688.0,1.068479456163151,-0.157496452782595
2012,Women,Tennis,Illinois Col,29944.0,2.9935019494151756,1.8016467065868262
2013,Women,Tennis,Illinois Col,33514.0,3.3503948815355393,0.119222548757681
2014,Women,Tennis,Illinois Col,24633.0,2.4625612316305108,-0.2649937339619264
2015,Women,Tennis,Illinois Col,26553.0,2.654503648905328,0.07794422116672756
2016,Women,Tennis,Illinois Col,25015.0,2.50074977506748,-0.05792189206492675
2017,Women,Tennis,Illinois Col,26056.0,2.60481855443367,0.04161503098141115
2018,Women,Tennis,Illinois Col,28139.0,2.8130560831750473,0.07994319926312557
2019,Women,Tennis,Illinois Col,25967.0,2.59592122363291,-0.07718824407406091
2020,Women,Tennis,Illinois Col,13855.0,1.3850844746576028,-0.4664381715253976
2021,Women,Tennis,Illinois Col,32136.0,3.212636209137259,1.3194514615662216
2022,Women,Tennis,Illinois Col,30101.0,3.009197240827752,-0.06332462036345532
2003,Women,Volleyball,Illinois Col,33595.0,1.0,0.0
2004,Women,Volleyball,Illinois Col,37614.0,1.1196308974549785,0.11963089745497842
2005,Women,Volleyball,Illinois Col,39801.0,1.184729870516446,0.05814324453660871
2006,Women,Volleyball,Illinois Col,38040.0,1.1323113558565263,-0.044245119469360064
2007,Women,Volleyball,Illinois Col,37877.0,1.127459443369549,-0.004284963196635121
2008,Women,Volleyball,Illinois Col,39120.0,1.164458996874535,0.032816748950550464
2009,Women,Volleyball,Illinois Col,51827.0,1.542699806518827,0.32482106339468303
2010,Women,Volleyball,Illinois Col,57205.0,1.7027831522547998,0.10376830609527853
2011,Women,Volleyball,Illinois Col,40666.0,1.2104777496651287,-0.28911808408355916
2012,Women,Volleyball,Illinois Col,47678.0,1.4191992856079774,0.17242905621403629
2013,Women,Volleyball,Illinois Col,48153.0,1.433338294389046,0.009962666219220605
2014,Women,Volleyball,Illinois Col,67920.0,2.021729424021432,0.41050401844121864
2015,Women,Volleyball,Illinois Col,124482.0,3.705372823336806,0.832773851590106
2016,Women,Volleyball,Illinois Col,123774.0,3.684298258669445,-0.005687569287125849
2017,Women,Volleyball,Illinois Col,144185.0,4.2918589075755325,0.16490539208557534
2018,Women,Volleyball,Illinois Col,127417.0,3.792737014436672,-0.11629503762527309
2019,Women,Volleyball,Illinois Col,113139.0,3.367733293644888,-0.11205726080507311
2020,Women,Volleyball,Illinois Col,96944.0,2.885667510046138,-0.14314250612078946
2021,Women,Volleyball,Illinois Col,159179.0,4.7381753237088855,0.6419685591681795
2022,Women,Volleyball,Illinois Col,155213.0,4.620122041970531,-0.024915346873645394
2003,Men,Baseball,Knox,21409.0,1.0,0.0
2004,Men,Baseball,Knox,21350.0,0.9972441496566864,-0.0027558503433135597
2005,Men,Baseball,Knox,38129.0,1.7809799616983513,0.7859016393442623
2006,Men,Baseball,Knox,47145.0,2.202111261618945,0.23646043693776392
2007,Men,Baseball,Knox,74117.0,3.461955252463917,0.5721073284547672
2008,Men,Baseball,Knox,70534.0,3.2945957307674343,-0.048342485529635576
2009,Men,Baseball,Knox,80818.0,3.7749544584053436,0.1458020245555335
2010,Men,Baseball,Knox,73773.0,3.4458872436825634,-0.08717117473830087
2011,Men,Baseball,Knox,92403.0,4.316082021579709,0.2525314139319263
2012,Men,Baseball,Knox,80680.0,3.768508571161661,-0.12686817527569452
2013,Men,Baseball,Knox,126976.0,5.930963613433603,0.5738225086762518
2014,Men,Baseball,Knox,126928.0,5.928721565696669,-0.0003780241935483871
2015,Men,Baseball,Knox,122473.0,5.720631510112569,-0.03509863859826043
2016,Men,Baseball,Knox,145932.0,6.8163856322107526,0.19154425873457823
2017,Men,Baseball,Knox,134631.0,6.288523518146574,-0.07744017761697229
2018,Men,Baseball,Knox,137303.0,6.413330842169181,0.019846840623630516
2019,Men,Baseball,Knox,105577.0,4.93143070671213,-0.23106559944065316
2020,Men,Baseball,Knox,113428.0,5.298145639684245,0.07436278734951741
