Year,Name,Award,Level,Team,Position
2024,Sean Murphy,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2003,Steve Wood,PLAYER OF THE YEAR,MIDWEST CONFERENCE INDIVIDUAL AWARDS,,Guard
2024,Kai Te Huki,NEWCOMER OF THE YEAR,MIDWEST CONFERENCE INDIVIDUAL AWARDS,,Guard
2003,Steve Wood,NEWCOMER OF THE YEAR,MIDWEST CONFERENCE INDIVIDUAL AWARDS,,Guard
2024,David Arseneault Jr.,COACH OF THE YEAR,MIDWEST CONFERENCE INDIVIDUAL AWARDS,,
2011,David Arseneault,COACH OF THE YEAR,MIDWEST CONFERENCE INDIVIDUAL AWARDS,,
2009,David Arseneault (Co-Coach),COACH OF THE YEAR,MIDWEST CONFERENCE INDIVIDUAL AWARDS,,
2025,Gabe Garcia,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Guard
2025,Kai Te Huki,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Forward
2024,Kai Te Huki,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Guard
2024,Gabe Garcia,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Guard
2021,Patrick Simms,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Guard
2020,Hannes Kogelnik,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Guard
2019,Vinny Curta,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Guard
2018,Vinny Curta,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Guard
2017,Vinny Curta,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Guard
2015,Jack Taylor,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Guard
2015,Luke Yeager,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,Honorable Mention,Guard
2014,Jack Taylor,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Guard
2014,Patrick Maher,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Guard
2013,Griffin Lentsch,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Guard
2012,Griffin Lentsch,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Guard
2011,Griffin Lentsch,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Guard
2009,John Grotberg,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Guard
2009,David Arseneault,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Guard
2009,Bobby Long,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Guard
2008,John Grotberg,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Guard
2008,David Arseneault,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Guard
2008,Bobby Long,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Guard
2007,David Arseneault,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Guard
2007,John Grotberg,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Guard
2007,Keith Chamberlain,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,Honorable Mention,Center
2006,John Grotberg,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Guard
2006,David Arseneault,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,Honorable Mention,Guard
2005,Paul Nordlund,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,Honorable Mention,
2004,Steve Wood,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,
2004,Steve Nordlund,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,Honorable Mention,
2003,Steve Wood,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,
2003,Ken Heiser,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,Honorable Mention,
