Year,School,Gender,Sport,Total Expense,Operating Expense,Undergrads
2010,Beloit College,Men,Total,575863,189596,560
2010,Beloit College,Women,All Track Combined,55019,25032,741
2010,Beloit College,Women,Basketball,59714,20940,741
2010,Beloit College,Women,Soccer,56062,15198,741
2010,Beloit College,Women,Softball,89128,23736,741
2010,Beloit College,Women,Swimming,16846,10965,741
2010,Beloit College,Women,Tennis,9553,5715,741
2010,Beloit College,Women,Total,378254,127948,741
2010,Beloit College,Women,Volleyball,91932,26362,741
2011,Beloit College,Men,All Track Combined,70999,38799,543
2011,Beloit College,Men,Baseball,136083,85374,543
2011,Beloit College,Men,Basketball,81086,24615,543
2011,Beloit College,Men,Football,311615,54157,543
2011,Beloit College,Men,Golf,19113,7425,543
2011,Beloit College,Men,Soccer,105327,33205,543
2011,Beloit College,Men,Swimming and Diving,16693,9127,543
2011,Beloit College,Men,Total,740916,252702,543
2011,Beloit College,Women,All Track Combined,69444,37277,752
2011,Beloit College,Women,Basketball,65820,20910,752
2011,Beloit College,Women,Soccer,70337,23996,752
2011,Beloit College,Women,Softball,113290,49380,752
2011,Beloit College,Women,Swimming and Diving,23838,15541,752
2011,Beloit College,Women,Tennis,10198,6208,752
2011,Beloit College,Women,Total,427652,172080,752
2011,Beloit College,Women,Volleyball,74725,18768,752
2012,Beloit College,Men,All Track Combined,71381,30410,507
2012,Beloit College,Men,Baseball,133523,53255,507
2012,Beloit College,Men,Basketball,101336,18679,507
2012,Beloit College,Men,Football,257010,44290,507
2012,Beloit College,Men,Lacrosse,121256,56901,507
2012,Beloit College,Men,Soccer,86622,18801,507
2012,Beloit College,Men,Swimming and Diving,33111,9138,507
2012,Beloit College,Men,Total,804239,231474,507
2012,Beloit College,Women,All Track Combined,77414,36530,735
2012,Beloit College,Women,Basketball,71208,18778,735
2012,Beloit College,Women,Lacrosse,76260,19418,735
2012,Beloit College,Women,Soccer,71603,19073,735
2012,Beloit College,Women,Softball,106490,35522,735
2012,Beloit College,Women,Swimming and Diving,36000,11630,735
2012,Beloit College,Women,Tennis,11497,5832,735
2012,Beloit College,Women,Total,532555,165805,735
2012,Beloit College,Women,Volleyball,82083,19022,735
2013,Beloit College,Men,All Track Combined,84624,44235,511
2013,Beloit College,Men,Baseball,130712,61218,511
2013,Beloit College,Men,Basketball,131556,57815,511
2013,Beloit College,Men,Football,293508,80027,511
2013,Beloit College,Men,Lacrosse,137390,65754,511
2013,Beloit College,Men,Soccer,102798,19500,511
2013,Beloit College,Men,Swimming,35395,12878,511
2013,Beloit College,Men,Total,915983,203585,511
2013,Beloit College,Women,All Track Combined,73993,33644,726
2013,Beloit College,Women,Basketball,103776,44747,726
2013,Beloit College,Women,Lacrosse,123576,51241,726
2013,Beloit College,Women,Soccer,74895,25138,726
2013,Beloit College,Women,Softball,107672,48059,726
2013,Beloit College,Women,Swimming,39771,17141,726
2013,Beloit College,Women,Tennis,14859,9459,726
2013,Beloit College,Women,Total,636047,211415,726
2013,Beloit College,Women,Volleyball,97505,26733,726
2014,Beloit College,Men,All Track Combined,58154,37238,519
2014,Beloit College,Men,Baseball,146966,75120,519
2014,Beloit College,Men,Basketball,106177,31720,519
2014,Beloit College,Men,Football,267096,48288,519
2014,Beloit College,Men,Lacrosse,125489,52536,519
2014,Beloit College,Men,Soccer,60563,24274,519
2014,Beloit College,Men,Swimming,59495,15630,519
2014,Beloit College,Men,Total,823940,284806,519
2014,Beloit College,Women,All Track Combined,110259,46632,700
2014,Beloit College,Women,Basketball,89071,28096,700
2014,Beloit College,Women,Lacrosse,98207,41053,700
2014,Beloit College,Women,Soccer,77416,25417,700
2014,Beloit College,Women,Softball,102763,44834,700
2014,Beloit College,Women,Swimming,22023,15630,700
2014,Beloit College,Women,Tennis,14934,9534,700
2014,Beloit College,Women,Total,609534,233692,700
