Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Expenses,Archery Women's Team Expenses,Archery Coed Team Expenses,Archery Total Expenses,Badminton Men's Team Expenses,Badminton Women's Team Expenses,Badminton Coed Team Expenses,Badminton Total Expenses,Baseball Men's Team Expenses,Baseball Women's Team Expenses,Baseball Coed Team Expenses,Baseball Total Expenses,Basketball Men's Team Expenses,Basketball Women's Team Expenses,Basketball Coed Team Expenses,Basketball Total Expenses,Beach Volleyball Men's Team Expenses,Beach Volleyball Women's Team Expenses,Beach Volleyball Coed Team Expenses Expenses,Beach Volleyball Total Expenses,Bowling Men's Team Expenses,Bowling Women's Team Expenses,Bowling Coed Team Expenses,Bowling Total Expenses,All Track Combined Men's Team Expenses,All Track Combined Women's Team Expenses,All Track Combined Coed Team Expenses,All Track Combined Total Expenses,Diving Men's Team Expenses,Diving Women's Team Expenses,Diving Coed Team Expenses,Diving Total Expenses,Equestrian Men's Team Expenses,Equestrian Women's Team Expenses,Equestrian Coed Team Expenses,Equestrian Total Expenses,Fencing Men's Team Expenses,Fencing Women's Team Expenses,Fencing Coed Team Expenses,Fencing Total Expenses,Field Hockey Men's Team Expenses,Field Hockey Women's Team Expenses,Field Hockey Coed Team Expenses,Field Hockey Total Expenses,Football Men's Team Expenses,Football Women's Team Expenses,Football Coed Team Expenses,Football Total Expenses,Golf Men's Team Expenses,Golf Women's Team Expenses,Golf Coed Team Expenses,Golf Total Expenses,Gymnastics Men's Team Expenses,Gymnastics Women's Team Expenses,Gymnastics Coed Team Expenses,Gymnastics Total Expenses,Ice Hockey Men's Team Expenses,Ice Hockey Women's Team Expenses,Ice Hockey Coed Team Expenses,Ice Hockey Total Expenses,Lacrosse Men's Team Expenses,Lacrosse Women's Team Expenses,Lacrosse Coed Team Expenses,Lacrosse Total Expenses,Rifle Men's Team Expenses,Rifle Women's Team Expenses,Rifle Coed Team Expenses,Rifle Total Expenses,Rodeo Men's Team Expenses,Rodeo Women's Team Expenses,Rodeo Coed Team Expenses,Rodeo Total Expenses,Rowing Men's Team Expenses,Rowing Women's Team Expenses,Rowing Coed Team Expenses,Rowing Total Expenses,Sailing Men's Team Expenses,Sailing Women's Team Expenses,Sailing Coed Team Expenses,Sailing Total Expenses,Skiing Men's Team Expenses,Skiing Women's Team Expenses,Skiing Coed Team Expenses,Skiing Total Expenses,Soccer Men's Team Expenses,Soccer Women's Team Expenses,Soccer Coed Team Expenses,Soccer Total Expenses,Softball Men's Team Expenses,Softball Women's Team Expenses,Softball Coed Team Expenses,Softball Total Expenses,Squash Men's Team Expenses,Squash Women's Team Expenses,Squash Coed Team Expenses,Squash Total Expenses,Swimming and Diving Men's Team Expenses,Swimming and Diving Women's Team Expenses,Swimming and Diving Coed Team Expenses,Swimming and Diving Total Expenses,Swimming Men's Team Expenses,Swimming Women's Team Expenses,Swimming Coed Team Expenses,Swimming Total Expenses,Synchronized Swimming Men's Team Expenses,Synchronized Swimming Women's Team Expenses,Synchronized Swimming Coed Team Expenses,Synchronized Swimming Total Expenses,Table Tennis Men's Team Expenses,Table Tennis Women's Team Expenses,Table Tennis Coed Team Expenses,Table Tennis Total Expenses,Team Handball Men's Team Expenses,Team Handball Women's Team Expenses,Team Handball Coed Team Expenses,Team Handball Total Expenses,Tennis Men's Team Expenses,Tennis Women's Team Expenses,Tennis Coed Team Expenses,Tennis Total Expenses,Track and Field Indoor Men's Team Expenses,Track and Field Indoor Women's Team Expenses,Track and Field Indoor Coed Team Expenses,Track and Field Indoor Total Expenses,Track and Field Outdoor Men's Team Expenses,Track and Field Outdoor Women's Team Expenses,Track and Field Outdoor Coed Team Expenses,Track and Field Outdoor Total Expenses,Track and Field X Country Men's Team Expenses,Track and Field X Country Women's Team Expenses,Track and Field X Country Coed Team Expenses,Track and Field X Country Total Expenses,Volleyball Men's Team Expenses,Volleyball Women's Team Expenses,Volleyball Coed Team Expenses,Volleyball Total Expenses,Water Polo Men's Team Expenses,Water Polo Women's Team Expenses,Water Polo Coed Team Expenses,Water Polo Total Expenses,Weight Lifting Men's Team Expenses,Weight Lifting Women's Team Expenses,Weight Lifting Coed Team Expenses,Weight Lifting Total Expenses,Wrestling Men's Team Expenses,Wrestling Women's Team Expenses,Wrestling Coed Team Expenses,Wrestling Total Expenses,Other Sports Men's Team Expenses,Other Sports Women's Team Expenses,Other Sports Coed Team Expenses,Other Sports Total Expenses,Total Men's Team Expenses,Total Women's Team Expenses,Total Coed Team Expenses,Not Allocated by Gender/Sport Expenses,Grand Total Expenses
2013,153162,00185600,Cornell College,IA,NCAA Division III (with football),,1,NCAA,502,612,1114,,,,,,,,,100591,,,100591,126653,147214,,273867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321935,,,321935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68875,69519,,138394,,100818,,100818,,,,,,,,,,,,,,,,,,,,,,,,,31965,34110,,66075,28995,27455,,56450,32279,33819,,66098,45493,42141,,87634,,113410,,113410,,,,,,,,,171219,,,171219,,,,,928005,568486,,854987,2351478
2014,153162,00185600,Cornell College,IA,NCAA Division III (with football),,1,NCAA,501,576,1077,,,,,,,,,158479,,,158479,178915,234625,,413540,,,,,,,,,109993,116415,,226408,,,,,,,,,,,,,,,,,345308,,,345308,,,,,,,,,,,,,108020,81170,,189190,,,,,,,,,,,,,,,,,,,,,61108,68079,,129187,,130904,,130904,,,,,,,,,,,,,,,,,,,,,,,,,53672,37356,,91028,,,,,,,,,,,,,,122245,,122245,,,,,,,,,190480,,,190480,,,,,1205975,790794,,736011,2732780
2015,153162,00185600,Cornell College,IA,NCAA Division III (with football),,1,NCAA,505,526,1031,,,,,,,,,173276,,,173276,176090,224963,,401053,,,,,,,,,114700,125800,,240500,,,,,,,,,,,,,,,,,338664,,,338664,,,,,,,,,,,,,100522,74045,,174567,,,,,,,,,,,,,,,,,,,,,83409,83492,,166901,,116453,,116453,,,,,,,,,,,,,,,,,,,,,,,,,70628,17152,,87780,,,,,,,,,,,,,,135572,,135572,,,,,,,,,191936,,,191936,,,,,1249225,777477,,873341,2900043
2016,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,489,484,973,,,,,,,,,203445,,,203445,160232,250471,,410703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380269,,,380269,,,,,,,,,,,,,108612,89939,,198551,,,,,,,,,,,,,,,,,,,,,125610,70548,,196158,,130908,,130908,,,,,,,,,,,,,,,,,,,,,,,,,43977,43999,,87976,32311,32311,,64622,33707,33707,,67414,45467,45467,,90934,,122012,,122012,,,,,,,,,194222,,,194222,,,,,1327852,819362,,730923,2878137
2017,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,507,491,998,,,,,,,,,198862,,,198862,136701,249973,,386674,,,,,,,,,124021,114285,,238306,,,,,,,,,,,,,,,,,361076,,,361076,,,,,,,,,,,,,102987,95365,,198352,,,,,,,,,,,,,,,,,,,,,83563,67929,,151492,,117823,,117823,,,,,,,,,,,,,,,,,,,,,,,,,36994,38430,,75424,,,,,,,,,,,,,,149022,,149022,,,,,,,,,212112,,,212112,,,,,1256316,832827,,773232,2862375
2018,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,527,487,1014,,,,,,,,,251406,,,251406,144366,259879,,404245,,,,,,,,,119933,129927,,249860,,,,,,,,,,,,,,,,,350718,,,350718,,,,,,,,,,,,,106637,106014,,212651,,,,,,,,,,,,,,,,,,,,,99066,67005,,166071,,121036,,121036,,,,,,,,,,,,,,,,,,,,,,,,,48843,41244,,90087,,,,,,,,,,,,,,148877,,148877,,,,,,,,,226512,,,226512,,,,,1347481,873982,,796152,3017615
2019,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,535,479,1014,,,,,,,,,284029,,,284029,146920,270829,,417749,,,,,,,,,95394,88056,,183450,,,,,,,,,,,,,,,,,444412,,,444412,,,,,,,,,,,,,101130,91158,,192288,,,,,,,,,,,,,,,,,,,,,96740,76708,,173448,,115436,,115436,,,,,,,,,,,,,,,,,,,,,,,,,41238,35762,,77000,,,,,,,,,,,,,,144432,,144432,,,,,,,,,182651,,,182651,,,,,1392514,822381,,878737,3093632
2020,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,512,479,991,,,,,,,,,103945,,,103945,111270,123217,,234487,,,,,,,,,58871,58871,,117742,,,,,,,,,,,,,,,,,442339,,,442339,,,,,,,,,,,,,83376,68303,,151679,,,,,,,,,,,,,,,,,,,,,59860,46600,,106460,,70357,,70357,,,,,,,,,,,,,,,,,,,,,,,,,23361,27643,,51004,,,,,,,,,,,,,,99797,,99797,,,,,,,,,131599,,,131599,,,,,1014621,494788,,469277,1978686
2021,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,541,496,1037,,,,,,,,,233165,,,233165,157896,219188,,377084,,,,,,,,,120483,120483,,240966,,,,,,,,,,,,,,,,,488348,,,488348,,,,,,,,,,,,,169564,95115,,264679,,,,,,,,,,,,,,,,,,,,,98417,63302,,161719,,152187,,152187,,,,,,,,,,,,,,,,,,,,,,,,,48737,14861,,63598,,,,,,,,,,,,,,169521,,169521,,,,,,,,,243505,,,243505,,,,,1560115,834657,,727367,3122139
2022,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,,,,,,,,,305212,,,305212,152134,258320,,410454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504059,,,504059,,,,,,,,,,,,,162154,124545,,286699,,,,,,,,,,,,,,,,,,,,,98513,72407,,170920,,170391,,170391,,,,,,,,,,,,,,,,,,,,,,,,,72325,22455,,94780,49486,49486,,98972,49486,49486,,98972,46580,46580,,93160,,297900,,297900,,,,,,,,,268461,,,268461,,,,,1708410,1091570,,334077,3134057
