Year,Name,Award,Level,Team,Position
2018,Melissa Anderson,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2018,Kaylie Eiden,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2018,Hayley Hoffman,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2018,Emily Jordan,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2018,Andi Leff,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2018,Kayla Morrissey,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2018,Mikyla Murphy,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2018,Maggie Remus,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2018,Abby Thomson,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2017,Lydia Stariha,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2017,Megan Gibson,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2017,Andi Leff,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2017,Kayla Morrissey,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2017,Emily Jordan,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2017,Lily Seibert,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2016,Lydia Stariha,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2016,Megan Gibson,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2016,Andi Leff,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2016,Maggie Remus,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2016,Kayla Morrissey,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2015,Lydia Stariha,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2015,Andi Leff,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2015,Maggie Remus,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2014,Lydia Stariha,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2013,Aniela Wendt,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2013,Jennifer Fulton,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2013,Robin Campbell,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2012,Amanda Stromquist,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2012,Jayme Wiebold,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2012,Aniela Wendt,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2024,Taylor Durak,PLAYER OF THE YEAR,MIDWEST CONFERENCE INDIVIDUAL AWARDS,,
2023,Samantha Chu,PLAYER OF THE YEAR,MIDWEST CONFERENCE INDIVIDUAL AWARDS,,
2018,Darice Wheeler,PLAYER OF THE YEAR,MIDWEST CONFERENCE INDIVIDUAL AWARDS,,
2017,Kayla Morrissey,PLAYER OF THE YEAR,MIDWEST CONFERENCE INDIVIDUAL AWARDS,,
2021,Lizzy Vermeulen,NEWCOMER OF THE YEAR,MIDWEST CONFERENCE INDIVIDUAL AWARDS,,
2019,Maddie Matsubara,NEWCOMER OF THE YEAR,MIDWEST CONFERENCE INDIVIDUAL AWARDS,,
2018,Darice Wheeler,NEWCOMER OF THE YEAR,MIDWEST CONFERENCE INDIVIDUAL AWARDS,,
2023,Kambria Anson,ELITE 20 WINNER,MIDWEST CONFERENCE INDIVIDUAL AWARDS,,
2022,Samantha Chu,ELITE 20 WINNER,MIDWEST CONFERENCE INDIVIDUAL AWARDS,,
2024,Lexy Determan,COACH OF THE YEAR,MIDWEST CONFERENCE INDIVIDUAL AWARDS,,
2023,Lexy Determan,COACH OF THE YEAR,MIDWEST CONFERENCE INDIVIDUAL AWARDS,,
