Category,Value,Gender,Sport,Year
OverallPCT,0.364,Men,Baseball,1893
Conf,0-0,Men,Baseball,1893
ConfPCT,0,Men,Baseball,1893
Streak,L4,Men,Baseball,1893
Home,0-0,Men,Baseball,1893
Away,0-0,Men,Baseball,1893
Neutral,7-Apr,Men,Baseball,1893
Overall,5-Jul,Men,Baseball,1894
OverallPCT,0.583,Men,Baseball,1894
Conf,0-0,Men,Baseball,1894
ConfPCT,0,Men,Baseball,1894
Streak,W2,Men,Baseball,1894
Home,0-0,Men,Baseball,1894
Away,0-0,Men,Baseball,1894
Neutral,5-Jul,Men,Baseball,1894
Overall,6-Oct,Men,Baseball,1895
OverallPCT,0.625,Men,Baseball,1895
Conf,0-0,Men,Baseball,1895
ConfPCT,0,Men,Baseball,1895
Streak,W1,Men,Baseball,1895
Home,0-2,Men,Baseball,1895
Away,0-0,Men,Baseball,1895
Neutral,4-Oct,Men,Baseball,1895
Overall,9-Aug,Men,Baseball,1896
OverallPCT,0.471,Men,Baseball,1896
Conf,0-0,Men,Baseball,1896
ConfPCT,0,Men,Baseball,1896
Streak,W6,Men,Baseball,1896
Home,Jan-00,Men,Baseball,1896
Away,0-0,Men,Baseball,1896
Neutral,9-Jul,Men,Baseball,1896
Overall,5-May,Men,Baseball,1897
OverallPCT,0.5,Men,Baseball,1897
Conf,0-0,Men,Baseball,1897
ConfPCT,0,Men,Baseball,1897
Streak,W1,Men,Baseball,1897
Home,0-0,Men,Baseball,1897
Away,0-0,Men,Baseball,1897
Neutral,5-May,Men,Baseball,1897
Overall,2/7/2001,Men,Baseball,1898
OverallPCT,0.25,Men,Baseball,1898
Conf,0-0,Men,Baseball,1898
ConfPCT,0,Men,Baseball,1898
Streak,W1,Men,Baseball,1898
Home,2-Jan,Men,Baseball,1898
Away,0-0,Men,Baseball,1898
Neutral,1/5/2001,Men,Baseball,1898
Overall,11/1/2001,Men,Baseball,1899
OverallPCT,0.885,Men,Baseball,1899
Conf,0-0,Men,Baseball,1899
ConfPCT,0,Men,Baseball,1899
Streak,W3,Men,Baseball,1899
Home,0-0,Men,Baseball,1899
Away,0-0,Men,Baseball,1899
Neutral,11/1/2001,Men,Baseball,1899
Overall,6-Jun,Men,Baseball,1900
OverallPCT,0.5,Men,Baseball,1900
Conf,0-0,Men,Baseball,1900
ConfPCT,0,Men,Baseball,1900
Streak,W2,Men,Baseball,1900
Home,Feb-00,Men,Baseball,1900
Away,0-0,Men,Baseball,1900
Neutral,6-Apr,Men,Baseball,1900
Overall,8-Jun,Men,Baseball,1901
OverallPCT,0.429,Men,Baseball,1901
Conf,0-0,Men,Baseball,1901
ConfPCT,0,Men,Baseball,1901
Streak,W3,Men,Baseball,1901
Home,Jan-00,Men,Baseball,1901
Away,0-0,Men,Baseball,1901
Neutral,8-May,Men,Baseball,1901
Overall,4-Jul,Men,Baseball,1902
OverallPCT,0.636,Men,Baseball,1902
Conf,0-0,Men,Baseball,1902
ConfPCT,0,Men,Baseball,1902
Streak,W2,Men,Baseball,1902
Home,Feb-00,Men,Baseball,1902
Away,0-0,Men,Baseball,1902
Neutral,4-May,Men,Baseball,1902
Overall,3-Aug,Men,Baseball,1903
OverallPCT,0.727,Men,Baseball,1903
Conf,0-0,Men,Baseball,1903
