#,Player,GP,Solo,ASST,TOT,TFL-YDS,Sacks-YDS,INT,BU,QBH,FR,FF,KICK,SAF,Bio Link
68,"Kozhaya, Andrew 68 Kozhaya, Andrew",3,2,1,3.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
34,"Reiter, Chris 34 Reiter, Chris",9,2,0,2.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
19,"Rhinehart, Nick 19 Rhinehart, Nick",10,2,0,2.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
15,"Smith, Noah 15 Smith, Noah",10,2,0,2.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
33,"Stoller, Evan 33 Stoller, Evan",2,1,1,2.0,1.0-5,0-0,0,0,0,0,1,0,0,View Bio
35,"Bean, Garret 35 Bean, Garret",10,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
82,"Jackson, Hunter 82 Jackson, Hunter",9,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
8,"Morocco, Mushadda 8 Morocco, Mushadda",2,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
94,"Nissen, Scott 94 Nissen, Scott",1,0,1,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
46,"Oliveira, Casey 46 Oliveira, Casey",3,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
10,"Reed, Jack 10 Reed, Jack",6,0,1,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
29,"Sniff, Kirill 29 Sniff, Kirill",1,0,1,1.0,0.5-1,0-0,0,0,0,0,0,0,0,View Bio
9,"Wilson, Garrett 9 Wilson, Garrett",10,0,1,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
2,"Woodhouse, Grayson 2 Woodhouse, Grayson",9,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
1,"Baird, Henry 1 Baird, Henry",9,0,0,0.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
17,"Destino, Bennett 17 Destino, Bennett",8,0,0,0.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
24,"Quirk, Danny 24 Quirk, Danny",10,0,0,0.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
44,"Schwartzman, Juniper 44 Schwartzman, Juniper",1,0,0,0.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
69,"Taylor, Tyrell 69 Taylor, Tyrell",10,0,0,0.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
TM,Team TM Team,10,0,0,0.0,0-0,0-0,0,0,0,0,0,0,1,
88,"West, Bradley 88 West, Bradley",7,0,0,0.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
,Total,10,272,524,796.0,58.0-230,22.0-139,6,20,2,6,7,1,1,
,Opponents,10,258,336,594.0,74.0-368,18.0-158,7,32,8,8,7,3,2,
