Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Revenue,Archery Women's Team Revenue,Archery Coed Team Revenue,Archery Total Revenue,Badminton Men's Team Revenue,Badminton Women's Team Revenue,Badminton Coed Team Revenue,Badminton Total Revenue,Baseball Men's Team Revenue,Baseball Women's Team Revenue,Baseball Coed Team Revenue,Baseball Total Revenue,Basketball Men's Team Revenue,Basketball Women's Team Revenue,Basketball Coed Team Revenue,Basketball Total Revenue,Beach Volleyball Men's Team Revenue,Beach Volleyball Women's Team Revenue,Beach Volleyball Coed Team Revenue Revenue,Beach Volleyball Total Revenue,Bowling Men's Team Revenue,Bowling Women's Team Revenue,Bowling Coed Team Revenue,Bowling Total Revenue,All Track Combined Men's Team Revenue,All Track Combined Women's Team Revenue,All Track Combined Coed Team Revenue,All Track Combined Total Revenue,Diving Men's Team Revenue,Diving Women's Team Revenue,Diving Coed Team Revenue,Diving Total Revenue,Equestrian Men's Team Revenue,Equestrian Women's Team Revenue,Equestrian Coed Team Revenue,Equestrian Total Revenue,Fencing Men's Team Revenue,Fencing Women's Team Revenue,Fencing Coed Team Revenue,Fencing Total Revenue,Field Hockey Men's Team Revenue,Field Hockey Women's Team Revenue,Field Hockey Coed Team Revenue,Field Hockey Total Revenue,Football Men's Team Revenue,Football Women's Team Revenue,Football Coed Team Revenue,Football Total Revenue,Golf Men's Team Revenue,Golf Women's Team Revenue,Golf Coed Team Revenue,Golf Total Revenue,Gymnastics Men's Team Revenue,Gymnastics Women's Team Revenue,Gymnastics Coed Team Revenue,Gymnastics Total Revenue,Ice Hockey Men's Team Revenue,Ice Hockey Women's Team Revenue,Ice Hockey Coed Team Revenue,Ice Hockey Total Revenue,Lacrosse Men's Team Revenue,Lacrosse Women's Team Revenue,Lacrosse Coed Team Revenue,Lacrosse Total Revenue,Rifle Men's Team Revenue,Rifle Women's Team Revenue,Rifle Coed Team Revenue,Rifle Total Revenue,Rodeo Men's Team Revenue,Rodeo Women's Team Revenue,Rodeo Coed Team Revenue,Rodeo Total Revenue,Rowing Men's Team Revenue,Rowing Women's Team Revenue,Rowing Coed Team Revenue,Rowing Total Revenue,Sailing Men's Team Revenue,Sailing Women's Team Revenue,Sailing Coed Team Revenue,Sailing Total Revenue,Skiing Men's Team Revenue,Skiing Women's Team Revenue,Skiing Coed Team Revenue,Skiing Total Revenue,Soccer Men's Team Revenue,Soccer Women's Team Revenue,Soccer Coed Team Revenue,Soccer Total Revenue,Softball Men's Team Revenue,Softball Women's Team Revenue,Softball Coed Team Revenue,Softball Total Revenue,Squash Men's Team Revenue,Squash Women's Team Revenue,Squash Coed Team Revenue,Squash Total Revenue,Swimming and Diving Men's Team Revenue,Swimming and Diving Women's Team Revenue,Swimming and Diving Coed Team Revenue,Swimming and Diving Total Revenue,Swimming Men's Team Revenue,Swimming Women's Team Revenue,Swimming Coed Team Revenue,Swimming Total Revenue,Synchronized Swimming Men's Team Revenue,Synchronized Swimming Women's Team Revenue,Synchronized Swimming Coed Team Revenue,Synchronized Swimming Total Revenue,Table Tennis Men's Team Revenue,Table Tennis Women's Team Revenue,Table Tennis Coed Team Revenue,Table Tennis Total Revenue,Team Handball Men's Team Revenue,Team Handball Women's Team Revenue,Team Handball Coed Team Revenue,Team Handball Total Revenue,Tennis Men's Team Revenue,Tennis Women's Team Revenue,Tennis Coed Team Revenue,Tennis Total Revenue,Track and Field Indoor Men's Team Revenue,Track and Field Indoor Women's Team Revenue,Track and Field Indoor Coed Team Revenue,Track and Field Indoor Total Revenue,Track and Field Outdoor Men's Team Revenue,Track and Field Outdoor Women's Team Revenue,Track and Field Outdoor Coed Team Revenue,Track and Field Outdoor Total Revenue,Track and Field X Country Men's Team Revenue,Track and Field X Country Women's Team Revenue,Track and Field X Country Coed Team Revenue,Track and Field X Country Total Revenue,Volleyball Men's Team Revenue,Volleyball Women's Team Revenue,Volleyball Coed Team Revenue,Volleyball Total Revenue,Water Polo Men's Team Revenue,Water Polo Women's Team Revenue,Water Polo Coed Team Revenue,Water Polo Total Revenue,Weight Lifting Men's Team Revenue,Weight Lifting Women's Team Revenue,Weight Lifting Coed Team Revenue,Weight Lifting Total Revenue,Wrestling Men's Team Revenue,Wrestling Women's Team Revenue,Wrestling Coed Team Revenue,Wrestling Total Revenue,Other Sports Men's Team Revenue,Other Sports Women's Team Revenue,Other Sports Coed Team Revenue,Other Sports Total Revenue,Total Men's Team Revenue,Total Women's Team Revenue,Total Coed Team Revenue,Not Allocated by Gender/Sport Revenue,Grand Total Revenue
2013,145691,00168800,Illinois College,IL,NCAA Division III (with football),,1,NCAA,484,490,974,,,,,,,,,142962,,,142962,148800,83331,,232131,,,,,,,,,73280,67171,,140451,,,,,,,,,,,,,,,,,354518,,,354518,29304,42720,,72024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59136,58348,,117484,,65329,,65329,,,,,,,,,26832,27045,,53877,,,,,,,,,,,,,21524,33514,,55038,,,,,,,,,,,,,,48153,,48153,,,,,,,,,,,,,,,,,856356,425611,,667749,1949716
2014,145691,00168800,Illinois College,IL,NCAA Division III (with football),,1,NCAA,472,473,945,,,,,,,,,175427,,,175427,163545,107733,,271278,,,,,,,,,57633,54998,,112631,,,,,,,,,,,,,,,,,362695,,,362695,24584,29017,,53601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71501,90287,,161788,,77285,,77285,,,,,,,,,29806,29981,,59787,,,,,,,,,,,,,36224,24633,,60857,,,,,,,,,,,,,,67920,,67920,,,,,,,,,,,,,,,,,921415,481854,,740300,2143569
2015,145691,00168800,Illinois College,IL,NCAA Division III (with football),,1,NCAA,453,487,940,,,,,,,,,164796,,,164796,146718,115867,,262585,,,,,,,,,83429,92117,,175546,,,,,,,,,,,,,,,,,380039,,,380039,32381,31029,,63410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107468,119785,,227253,,91686,,91686,,,,,,,,,32268,31990,,64258,,,,,,,,,,,,,25705,26553,,52258,,,,,,,,,,,,,,124482,,124482,,,,,,,,,,,,,,,,,972804,633509,,699516,2305829
2016,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,449,500,949,,,,,,,,,166698,,,166698,139542,138332,,277874,,,,,,,,,98257,102205,,200462,,,,,,,,,,,,,,,,,398359,,,398359,31575,30463,,62038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108473,109284,,217757,,96093,,96093,,,,,,,,,40516,40422,,80938,,,,,,,,,,,,,25481,25015,,50496,,,,,,,,,,,,,,123774,,123774,,,,,,,,,,,,,,,,,1008901,665588,,673202,2347691
2017,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,463,480,943,,,,,,,,,183174,,,183174,105240,134645,,239885,,,,,,,,,108689,109491,,218180,,,,,,,,,,,,,,,,,375873,,,375873,40417,40445,,80862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114228,112996,,227224,,111079,,111079,,,,,,,,,48034,47802,,95836,,,,,,,,,,,,,31077,26056,,57133,,,,,,,,,,,,,,144185,,144185,,,,,,,,,,,,,,,,,1006732,726699,,726121,2459552
2018,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,477,492,969,,,,,,,,,149558,,,149558,154353,150674,,305027,,,,,,,,,95707,100636,,196343,,,,,,,,,,,,,,,,,381111,,,381111,37655,39565,,77220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108698,112328,,221026,,117413,,117413,,,,,,,,,43883,46645,,90528,,,,,,,,,,,,,26056,28139,,54195,,,,,,,,,,,,,,127417,,127417,,,,,,,,,,,,,,,,,997021,722817,,830600,2550438
2019,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,499,538,1037,,,,,,,,,130195,,,130195,154688,149457,,304145,,,,,,,,,82582,80168,,162750,,,,,,,,,,,,,,,,,343448,,,343448,38356,46678,,85034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103032,83316,,186348,,86354,,86354,,,,,,,,,40803,42527,,83330,,,,,,,,,,,,,23822,25967,,49789,,,,,,,,,,,,,,113139,,113139,,,,,,,,,,,,,,,,,916926,627606,,924004,2468536
2020,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,536,593,1129,,,,,,,,,129794,,,129794,101496,113548,,215044,,,,,,,,,83861,85845,,169706,,,,,,,,,,,,,,,,,252474,,,252474,36521,33396,,69917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113145,101822,,214967,,95326,,95326,,,,,,,,,33259,36769,,70028,,,,,,,,,,,,,12318,13855,,26173,,,,,,,,,,,,,,96944,,96944,,,,,,,,,,,,,,,,,762868,577505,,810416,2150789
2021,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,511,555,1066,,,,,,,,,215268,,,215268,182194,178399,,360593,,,,,,,,,109184,106449,,215633,,,,,,,,,,,,,,,,,438125,,,438125,55768,50997,,106765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145106,147169,,292275,,153051,,153051,,,,,,,,,49220,58504,,107724,,,,,,,,,,,,,33478,32136,,65614,,,,,,,,,,,,,,159179,,159179,,,,,,,,,,,,,,,,,1228343,885884,,856664,2970891
2022,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,,,,,,,,,214566,,,214566,197437,200856,,398293,,,,,,,,,106697,99757,,206454,,,,,,,,,,,,,,,,,535309,,,535309,34615,31506,,66121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165788,176367,,342155,,176354,,176354,,,,,,,,,70477,83078,,153555,,,,,,,,,,,,,37496,30101,,67597,,,,,,,,,,,,,,155213,,155213,,,,,,,,,,,,,,,,,1362385,953232,,768400,3084017
