Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Revenue,Archery Women's Team Revenue,Archery Coed Team Revenue,Archery Total Revenue,Badminton Men's Team Revenue,Badminton Women's Team Revenue,Badminton Coed Team Revenue,Badminton Total Revenue,Baseball Men's Team Revenue,Baseball Women's Team Revenue,Baseball Coed Team Revenue,Baseball Total Revenue,Basketball Men's Team Revenue,Basketball Women's Team Revenue,Basketball Coed Team Revenue,Basketball Total Revenue,Beach Volleyball Men's Team Revenue,Beach Volleyball Women's Team Revenue,Beach Volleyball Coed Team Revenue Revenue,Beach Volleyball Total Revenue,Bowling Men's Team Revenue,Bowling Women's Team Revenue,Bowling Coed Team Revenue,Bowling Total Revenue,All Track Combined Men's Team Revenue,All Track Combined Women's Team Revenue,All Track Combined Coed Team Revenue,All Track Combined Total Revenue,Diving Men's Team Revenue,Diving Women's Team Revenue,Diving Coed Team Revenue,Diving Total Revenue,Equestrian Men's Team Revenue,Equestrian Women's Team Revenue,Equestrian Coed Team Revenue,Equestrian Total Revenue,Fencing Men's Team Revenue,Fencing Women's Team Revenue,Fencing Coed Team Revenue,Fencing Total Revenue,Field Hockey Men's Team Revenue,Field Hockey Women's Team Revenue,Field Hockey Coed Team Revenue,Field Hockey Total Revenue,Football Men's Team Revenue,Football Women's Team Revenue,Football Coed Team Revenue,Football Total Revenue,Golf Men's Team Revenue,Golf Women's Team Revenue,Golf Coed Team Revenue,Golf Total Revenue,Gymnastics Men's Team Revenue,Gymnastics Women's Team Revenue,Gymnastics Coed Team Revenue,Gymnastics Total Revenue,Ice Hockey Men's Team Revenue,Ice Hockey Women's Team Revenue,Ice Hockey Coed Team Revenue,Ice Hockey Total Revenue,Lacrosse Men's Team Revenue,Lacrosse Women's Team Revenue,Lacrosse Coed Team Revenue,Lacrosse Total Revenue,Rifle Men's Team Revenue,Rifle Women's Team Revenue,Rifle Coed Team Revenue,Rifle Total Revenue,Rodeo Men's Team Revenue,Rodeo Women's Team Revenue,Rodeo Coed Team Revenue,Rodeo Total Revenue,Rowing Men's Team Revenue,Rowing Women's Team Revenue,Rowing Coed Team Revenue,Rowing Total Revenue,Sailing Men's Team Revenue,Sailing Women's Team Revenue,Sailing Coed Team Revenue,Sailing Total Revenue,Skiing Men's Team Revenue,Skiing Women's Team Revenue,Skiing Coed Team Revenue,Skiing Total Revenue,Soccer Men's Team Revenue,Soccer Women's Team Revenue,Soccer Coed Team Revenue,Soccer Total Revenue,Softball Men's Team Revenue,Softball Women's Team Revenue,Softball Coed Team Revenue,Softball Total Revenue,Squash Men's Team Revenue,Squash Women's Team Revenue,Squash Coed Team Revenue,Squash Total Revenue,Swimming and Diving Men's Team Revenue,Swimming and Diving Women's Team Revenue,Swimming and Diving Coed Team Revenue,Swimming and Diving Total Revenue,Swimming Men's Team Revenue,Swimming Women's Team Revenue,Swimming Coed Team Revenue,Swimming Total Revenue,Synchronized Swimming Men's Team Revenue,Synchronized Swimming Women's Team Revenue,Synchronized Swimming Coed Team Revenue,Synchronized Swimming Total Revenue,Table Tennis Men's Team Revenue,Table Tennis Women's Team Revenue,Table Tennis Coed Team Revenue,Table Tennis Total Revenue,Team Handball Men's Team Revenue,Team Handball Women's Team Revenue,Team Handball Coed Team Revenue,Team Handball Total Revenue,Tennis Men's Team Revenue,Tennis Women's Team Revenue,Tennis Coed Team Revenue,Tennis Total Revenue,Track and Field Indoor Men's Team Revenue,Track and Field Indoor Women's Team Revenue,Track and Field Indoor Coed Team Revenue,Track and Field Indoor Total Revenue,Track and Field Outdoor Men's Team Revenue,Track and Field Outdoor Women's Team Revenue,Track and Field Outdoor Coed Team Revenue,Track and Field Outdoor Total Revenue,Track and Field X Country Men's Team Revenue,Track and Field X Country Women's Team Revenue,Track and Field X Country Coed Team Revenue,Track and Field X Country Total Revenue,Volleyball Men's Team Revenue,Volleyball Women's Team Revenue,Volleyball Coed Team Revenue,Volleyball Total Revenue,Water Polo Men's Team Revenue,Water Polo Women's Team Revenue,Water Polo Coed Team Revenue,Water Polo Total Revenue,Weight Lifting Men's Team Revenue,Weight Lifting Women's Team Revenue,Weight Lifting Coed Team Revenue,Weight Lifting Total Revenue,Wrestling Men's Team Revenue,Wrestling Women's Team Revenue,Wrestling Coed Team Revenue,Wrestling Total Revenue,Other Sports Men's Team Revenue,Other Sports Women's Team Revenue,Other Sports Coed Team Revenue,Other Sports Total Revenue,Total Men's Team Revenue,Total Women's Team Revenue,Total Coed Team Revenue,Not Allocated by Gender/Sport Revenue,Grand Total Revenue
2013,239628,00388400,Ripon College,WI,NCAA Division III (with football),,1,NCAA,415,465,880,,,,,,,,,78727,,,78727,82677,80805,,163482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138967,,,138967,1503,1181,,2684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58330,56743,,115073,,69732,,69732,,,,,,,,,40119,44187,,84306,,,,,,,,,,,,,19079,15263,,34342,31776,24986,,56762,31776,24986,,56762,19821,25098,,44919,,54749,,54749,,,,,,,,,,,,,,,,,502775,397730,,489675,1390180
2014,239628,00388400,Ripon College,WI,NCAA Division III (with football),,1,NCAA,377,437,814,,,,,,,,,81463,,,81463,80200,75110,,155310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133616,,,133616,1200,1123,,2323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59594,59783,,119377,,66001,,66001,,,,,,,,,39503,42066,,81569,,,,,,,,,,,,,23291,16496,,39787,23552,19750,,43302,23867,19435,,43302,15804,16487,,32291,,57715,,57715,,,,,,,,,,,,,,,,,482090,373966,,535147,1391203
2015,239628,00388400,Ripon College,WI,NCAA Division III (with football),,1,NCAA,388,392,780,,,,,,,,,84950,,,84950,85363,82757,,168120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135237,,,135237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41156,62659,,103815,,63093,,63093,,,,,,,,,38404,42015,,80419,,,,,,,,,,,,,20070,17129,,37199,23982,19507,,43489,23982,19507,,43489,17373,19752,,37125,,66576,,66576,,,,,,,,,,,,,,,,,470517,392995,,540798,1404310
2016,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,376,400,776,,,,,,,,,88691,,,88691,91406,82550,,173956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166451,,,166451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57107,72489,,129596,,64736,,64736,,,,,,,,,41867,54067,,95934,,,,,,,,,,,,,18917,14649,,33566,24392,24392,,48784,22546,26237,,48783,16958,16521,,33479,,59834,,59834,,,,,,,,,,,,,,,,,528335,415475,,511718,1455528
2017,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,340,395,735,,,,,,,,,116756,,,116756,120598,120403,,241001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208429,,,208429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55013,77077,,132090,,76930,,76930,,,,,,,,,52071,59164,,111235,,,,,,,,,,,,,14931,15744,,30675,22982,25501,,48483,22715,25768,,48483,30041,29427,,59468,,60489,,60489,,,,,,,,,,,,,,,,,643536,490503,,668091,1802130
2018,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,366,420,786,,,,,,,,,135163,,,135163,133534,123911,,257445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212234,,,212234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87762,97047,,184809,,97390,,97390,,,,,,,,,43410,48228,,91638,,,,,,,,,,,,,33943,36866,,70809,38257,41152,,79409,38803,40607,,79410,30912,30912,,61824,,105689,,105689,,,,,,,,,,,,,,,,,754018,621802,,724314,2100134
2019,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,350,415,765,,,,,,,,,,,,,125931,123847,,249778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285552,,,285552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58369,98481,,156850,,77442,,77442,,,,,,48128,,48128,40559,,,40559,,,,,,,,,,,,,15182,19280,,34462,61136,60345,,121481,,,,,35233,37150,,72383,,70448,,70448,,,,,,,,,,,,,,,,,621962,535121,,899567,2056650
2020,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,374,419,793,,,,,,,,,124161,,,124161,84733,92516,,177249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202151,,,202151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82341,95010,,177351,,105129,,105129,,,,,,35678,,35678,34745,,,34745,,,,,,,,,,,,,28018,,,28018,24268,26728,,50996,25512,26485,,51997,,,,,,48540,,48540,,,,,,,,,,,,,,,,,605929,430086,,770350,1806365
2021,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,399,391,790,,,,,,,,,191598,,,191598,133514,115366,,248880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344108,,,344108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121314,131042,,252356,,127460,,127460,,,,,,90477,,90477,85600,,,85600,,,,,,,,,,,,,35699,35624,,71323,65577,60767,,126344,48488,48612,,97100,40618,38694,,79312,,73113,,73113,,,,,,,,,,,,,,,,,1066516,721155,,677066,2464737
2022,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,,,,,,,,,111598,,,111598,153514,135366,,288880,,,,,,,,,,,,,,3700,,3700,,,,,,,,,,,,,344081,,,344081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132416,124417,,256833,,129187,,129187,,,,,,,,,41000,44803,,85803,,,,,,,,,,,,,44592,36511,,81103,47217,41061,,88278,28632,28623,,57255,44000,43594,,87594,,63706,,63706,,,,,,,,,,,,,,,,,947050,650968,,648196,2246214
