Year,Gender,Scores,Rank,School,Sport
2004,Men,5,6,Ripon College,Soccer
2004,Men,6.5,4,Ripon College,Cross Country
2004,Men,9,1,Ripon College,Basketball
2004,Men,3,8,Ripon College,Swimming & Diving
2004,Men,6,4,Ripon College,Track & Field (Indoor)
2004,Men,9,2,Ripon College,Tennis
2004,Men,10,1,Ripon College,Baseball
2004,Men,6,5,Ripon College,Track & Field (Outdoor)
2004,Men,61.5,5,Ripon College,Total
2004,Men,10,1,St. Norbert College,Football
2004,Men,10,1,St. Norbert College,Soccer
2004,Men,8,3,St. Norbert College,Cross Country
2004,Men,2.5,6,St. Norbert College,Basketball
2004,Men,9,2,St. Norbert College,Track & Field (Indoor)
2004,Men,8,3,St. Norbert College,Tennis
2004,Men,9,2,St. Norbert College,Baseball
2004,Men,9,2,St. Norbert College,Track & Field (Outdoor)
2004,Men,71.5,2,St. Norbert College,Total
2004,Women,6,5,Beloit College,Volleyball
2004,Women,3,8,Beloit College,Soccer
2004,Women,7,4,Beloit College,Cross Country
2004,Women,8,3,Beloit College,Tennis
2004,Women,4,7,Beloit College,Basketball
2004,Women,5,6,Beloit College,Swimming & Diving
2004,Women,4,7,Beloit College,Track & Field (Indoor)
2004,Women,9,2,Beloit College,Softball
2004,Women,6,5,Beloit College,Track & Field (Outdoor)
2004,Women,55,6,Beloit College,Total
2004,Women,1.5,9,Carroll University,Volleyball
2004,Women,9,2,Carroll University,Soccer
2004,Women,5,6,Carroll University,Cross Country
2004,Women,7,4,Carroll University,Tennis
2004,Women,5,6,Carroll University,Basketball
2004,Women,8,3,Carroll University,Swimming & Diving
2004,Women,9,2,Carroll University,Track & Field (Indoor)
2004,Women,3.5,7,Carroll University,Softball
2004,Women,9,2,Carroll University,Track & Field (Outdoor)
2004,Women,61.5,4,Carroll University,Total
2004,Women,3.5,7,Grinnell College,Volleyball
2004,Women,8,3,Grinnell College,Soccer
2004,Women,10,1,Grinnell College,Cross Country
2004,Women,10,1,Grinnell College,Tennis
2004,Women,2,9,Grinnell College,Basketball
2004,Women,10,1,Grinnell College,Swimming & Diving
2004,Women,6,5,Grinnell College,Track & Field (Indoor)
2004,Women,5.5,5,Grinnell College,Softball
2004,Women,7,4,Grinnell College,Track & Field (Outdoor)
2004,Women,69,1,Grinnell College,Total
2004,Women,5,6,Illinois College,Volleyball
2004,Women,4,7,Illinois College,Soccer
2004,Women,1,10,Illinois College,Cross Country
2004,Women,1,10,Illinois College,Tennis
2004,Women,6,5,Illinois College,Basketball
2004,Women,5,6,Illinois College,Track & Field (Indoor)
2004,Women,8,3,Illinois College,Softball
2004,Women,4,7,Illinois College,Track & Field (Outdoor)
2004,Women,44,9,Illinois College,Total
2004,Women,1.5,9,Knox College,Volleyball
2004,Women,1,10,Knox College,Soccer
2004,Women,2,9,Knox College,Cross Country
2004,Women,2,9,Knox College,Tennis
2004,Women,1,10,Knox College,Basketball
2004,Women,2,9,Knox College,Swimming & Diving
2004,Women,3,8,Knox College,Track & Field (Indoor)
