Year,Sport,Gender,Scores,Rank,School
2003,Soccer,Women,2,9,Illinois College
2003,Cross Country,Women,1,10,Illinois College
2003,Tennis,Women,2,9,Illinois College
2003,Basketball,Women,3,8,Illinois College
2003,Indoor Track & Field,Women,4,7,Illinois College
2003,Softball,Women,5.5,5,Illinois College
2003,Outdoor Track & Field,Women,2,9,Illinois College
2003,Total,Women,35.5,10,Illinois College
2003,Volleyball,Women,3.5,7,Knox College
2003,Soccer,Women,1,10,Knox College
2003,Cross Country,Women,3,8,Knox College
2003,Tennis,Women,4,7,Knox College
2003,Basketball,Women,1,10,Knox College
2003,Swimming,Women,4,7,Knox College
2003,Indoor Track & Field,Women,5,6,Knox College
2003,Softball,Women,3.5,7,Knox College
2003,Outdoor Track & Field,Women,4,7,Knox College
2003,Total,Women,38,9,Knox College
2003,Volleyball,Women,10,1,Lake Forest College
2003,Soccer,Women,9,2,Lake Forest College
2003,Cross Country,Women,2,9,Lake Forest College
2003,Tennis,Women,10,1,Lake Forest College
2003,Basketball,Women,7.5,3,Lake Forest College
2003,Swimming,Women,9,2,Lake Forest College
2003,Softball,Women,10,1,Lake Forest College
2003,Total,Women,57.5,4,Lake Forest College
2003,Volleyball,Women,1.5,9,Lawrence University
2003,Soccer,Women,5,6,Lawrence University
2003,Cross Country,Women,9,2,Lawrence University
2003,Tennis,Women,3,8,Lawrence University
2003,Basketball,Women,5.5,5,Lawrence University
2003,Swimming,Women,7,4,Lawrence University
2003,Indoor Track & Field,Women,3,8,Lawrence University
2003,Softball,Women,8,3,Lawrence University
2003,Outdoor Track & Field,Women,5,6,Lawrence University
2003,Total,Women,47,8,Lawrence University
2003,Volleyball,Women,5,6,Monmouth College
2003,Soccer,Women,6,5,Monmouth College
2003,Cross Country,Women,4,7,Monmouth College
2003,Tennis,Women,1,10,Monmouth College
2003,Basketball,Women,2,9,Monmouth College
2003,Indoor Track & Field,Women,10,1,Monmouth College
2003,Softball,Women,7,4,Monmouth College
2003,Outdoor Track & Field,Women,8,3,Monmouth College
2003,Total,Women,50,7,Monmouth College
2003,Volleyball,Women,1.5,9,Ripon College
2003,Soccer,Women,3,8,Ripon College
2003,Cross Country,Women,5,6,Ripon College
2003,Tennis,Women,8,3,Ripon College
2003,Basketball,Women,10,1,Ripon College
2003,Swimming,Women,3,8,Ripon College
2003,Indoor Track & Field,Women,2,9,Ripon College
2003,Softball,Women,9,2,Ripon College
2003,Outdoor Track & Field,Women,6,5,Ripon College
2003,Total,Women,55.5,6,Ripon College
2003,Volleyball,Women,8,3,St. Norbert College
2003,Soccer,Women,8,3,St. Norbert College
2003,Cross Country,Women,10,1,St. Norbert College
2003,Tennis,Women,6,5,St. Norbert College
2003,Basketball,Women,9,2,St. Norbert College
2003,Swimming,Women,8,3,St. Norbert College
2003,Indoor Track & Field,Women,6.5,4,St. Norbert College
2003,Softball,Women,5.5,5,St. Norbert College
2003,Outdoor Track & Field,Women,7,4,St. Norbert College
2003,Total,Women,73,1,St. Norbert College
2004,Football,Men,3,8,Beloit College
2004,Soccer,Men,7,3,Beloit College
2004,Cross Country,Men,6.5,4,Beloit College
2004,Basketball,Men,2.5,6,Beloit College
2004,Swimming,Men,6,5,Beloit College
2004,Indoor Track & Field,Men,4,7,Beloit College
2004,Tennis,Men,3,7,Beloit College
2004,Baseball,Men,5,5,Beloit College
2004,Outdoor Track & Field,Men,5,6,Beloit College
2004,Total,Men,45.5,6,Beloit College
2004,Football,Men,4,7,Carroll University
2004,Soccer,Men,9,2,Carroll University
2004,Cross Country,Men,2,9,Carroll University
2004,Basketball,Men,7.5,2,Carroll University
2004,Swimming,Men,5,6,Carroll University
2004,Indoor Track & Field,Men,2.5,8,Carroll University
2004,Tennis,Men,2,8,Carroll University
2004,Baseball,Men,2.5,8,Carroll University
2004,Outdoor Track & Field,Men,2,9,Carroll University
2004,Total,Men,43.5,7,Carroll University
2004,Football,Men,6.5,4,Grinnell College
2004,Soccer,Men,4,7,Grinnell College
2004,Cross Country,Men,10,1,Grinnell College
2004,Basketball,Men,2.5,6,Grinnell College
2004,Swimming,Men,10,1,Grinnell College
2004,Indoor Track & Field,Men,5,5,Grinnell College
2004,Tennis,Men,10,1,Grinnell College
2004,Baseball,Men,5,5,Grinnell College
2004,Outdoor Track & Field,Men,8,3,Grinnell College
2004,Total,Men,69,3,Grinnell College
2004,Football,Men,6.5,4,Illinois College
2004,Soccer,Men,3,8,Illinois College
2004,Cross Country,Men,1,10,Illinois College
2004,Basketball,Men,2.5,6,Illinois College
2004,Indoor Track & Field,Men,7.5,3,Illinois College
2004,Tennis,Men,1,9,Illinois College
2004,Baseball,Men,7.5,3,Illinois College
2004,Outdoor Track & Field,Men,4,7,Illinois College
