Year,Sport,Gender,Scores,Rank,School
2009,Cross Country,Women,9,2,Carroll University
2009,Basketball,Women,4.5,6,Carroll University
2009,Swimming,Women,8,3,Carroll University
2009,Indoor Track & Field,Women,9,2,Carroll University
2009,Tennis,Women,6,5,Carroll University
2009,Outdoor Track & Field,Women,9,2,Carroll University
2009,Total,Women,72,2,Carroll University
2009,Volleyball,Women,7,3,Grinnell College
2009,Soccer,Women,5.5,5,Grinnell College
2009,Cross Country,Women,10,1,Grinnell College
2009,Basketball,Women,2,9,Grinnell College
2009,Swimming,Women,10,1,Grinnell College
2009,Indoor Track & Field,Women,2,9,Grinnell College
2009,Tennis,Women,8,3,Grinnell College
2009,Outdoor Track & Field,Women,3,8,Grinnell College
2009,Total,Women,60,4,Grinnell College
2009,Volleyball,Women,3,7,Illinois College
2009,Soccer,Women,1,10,Illinois College
2009,Cross Country,Women,2,9,Illinois College
2009,Basketball,Women,6.5,4,Illinois College
2009,Swimming,Women,2,9,Illinois College
2009,Indoor Track & Field,Women,4,7,Illinois College
2009,Tennis,Women,2,8,Illinois College
2009,Outdoor Track & Field,Women,7,4,Illinois College
2009,Total,Women,39,8,Illinois College
2009,Volleyball,Women,1,10,Knox College
2009,Soccer,Women,2,9,Knox College
2009,Cross Country,Women,1,10,Knox College
2009,Basketball,Women,4,8,Knox College
2009,Swimming,Women,7,4,Knox College
2009,Indoor Track & Field,Women,5,6,Knox College
2009,Tennis,Women,4,7,Knox College
2009,Outdoor Track & Field,Women,5,6,Knox College
2009,Total,Women,33.5,10,Knox College
2009,Volleyball,Women,7,3,Lake Forest College
2009,Soccer,Women,8.5,2,Lake Forest College
2009,Cross Country,Women,3,8,Lake Forest College
2009,Basketball,Women,8,3,Lake Forest College
2009,Swimming,Women,9,2,Lake Forest College
2009,Tennis,Women,7,4,Lake Forest College
2009,Total,Women,51.5,6,Lake Forest College
2009,Volleyball,Women,3,7,Lawrence University
2009,Soccer,Women,7,4,Lawrence University
2009,Cross Country,Women,4,7,Lawrence University
2009,Basketball,Women,1,10,Lawrence University
2009,Swimming,Women,4,7,Lawrence University
2009,Indoor Track & Field,Women,3,8,Lawrence University
2009,Tennis,Women,5,6,Lawrence University
2009,Outdoor Track & Field,Women,2,9,Lawrence University
2009,Total,Women,34.5,9,Lawrence University
2009,Volleyball,Women,5,6,Monmouth College
2009,Soccer,Women,5.5,5,Monmouth College
2009,Cross Country,Women,8,3,Monmouth College
2009,Basketball,Women,6.5,4,Monmouth College
2009,Swimming,Women,6,5,Monmouth College
2009,Indoor Track & Field,Women,10,1,Monmouth College
2009,Tennis,Women,2,8,Monmouth College
2009,Outdoor Track & Field,Women,10,1,Monmouth College
2009,Total,Women,66,3,Monmouth College
2009,Volleyball,Women,7,3,Ripon College
2009,Soccer,Women,3,8,Ripon College
2009,Cross Country,Women,5,6,Ripon College
2009,Basketball,Women,9,2,Ripon College
2009,Swimming,Women,3,8,Ripon College
2009,Indoor Track & Field,Women,6,5,Ripon College
2009,Tennis,Women,2,8,Ripon College
2009,Outdoor Track & Field,Women,6,5,Ripon College
2009,Total,Women,56,5,Ripon College
2009,Volleyball,Women,10,1,St. Norbert College
2009,Soccer,Women,8.5,2,St. Norbert College
2009,Cross Country,Women,7,4,St. Norbert College
2009,Basketball,Women,10,1,St. Norbert College
2009,Indoor Track & Field,Women,8,3,St. Norbert College
2009,Tennis,Women,10,1,St. Norbert College
2009,Outdoor Track & Field,Women,8,3,St. Norbert College
2009,Total,Women,78.5,1,St. Norbert College
2010,Football,Men,5,5,Beloit College
2010,Soccer,Men,3.5,7,Beloit College
2010,Cross Country,Men,3,8,Beloit College
2010,Basketball,Men,3,8,Beloit College
2010,Swimming,Men,5,6,Beloit College
2010,Indoor Track & Field,Men,3,8,Beloit College
2010,Outdoor Track & Field,Men,4,7,Beloit College
2010,Baseball,Men,9,2,Beloit College
2010,Total,Men,37.5,8,Beloit College
2010,Football,Men,8,2,Carroll University
2010,Soccer,Men,9.5,1,Carroll University
2010,Cross Country,Men,5,6,Carroll University
2010,Basketball,Men,5,5,Carroll University
2010,Swimming,Men,6,5,Carroll University
2010,Indoor Track & Field,Men,7,4,Carroll University
2010,Tennis,Men,7.5,3,Carroll University
2010,Outdoor Track & Field,Men,5,6,Carroll University
2010,Baseball,Men,3.5,7,Carroll University
2010,Total,Men,66.5,5,Carroll University
2010,Football,Men,5,5,Grinnell College
2010,Soccer,Men,8,3,Grinnell College
2010,Cross Country,Men,10,1,Grinnell College
2010,Basketball,Men,8,2,Grinnell College
2010,Swimming,Men,10,1,Grinnell College
2010,Indoor Track & Field,Men,5,6,Grinnell College
2010,Tennis,Men,10,1,Grinnell College
2010,Outdoor Track & Field,Men,8,3,Grinnell College
2010,Baseball,Men,8,3,Grinnell College
2010,Total,Men,78,1,Grinnell College
2010,Football,Men,5,5,Illinois College
2010,Soccer,Men,2,9,Illinois College
2010,Cross Country,Men,2,9,Illinois College
2010,Basketball,Men,8,2,Illinois College
2010,Swimming,Men,2.5,8,Illinois College
2010,Indoor Track & Field,Men,6,5,Illinois College
2010,Tennis,Men,3,8,Illinois College
2010,Outdoor Track & Field,Men,6,5,Illinois College
2010,Baseball,Men,5.5,5,Illinois College
2010,Total,Men,44,7,Illinois College
2010,Football,Men,1,10,Knox College
2010,Soccer,Men,1,10,Knox College
2010,Cross Country,Men,4,7,Knox College
2010,Basketball,Men,1.5,9,Knox College
2010,Swimming,Men,2.5,8,Knox College
2010,Indoor Track & Field,Men,2,9,Knox College
2010,Tennis,Men,4,7,Knox College
2010,Outdoor Track & Field,Men,3,8,Knox College
2010,Baseball,Men,3.5,7,Knox College
2010,Total,Men,30.5,9,Knox College
2010,Football,Men,2.5,8,Lake Forest College
2010,Soccer,Men,6,5,Lake Forest College
2010,Cross Country,Men,1,10,Lake Forest College
2010,Basketball,Men,5,5,Lake Forest College
2010,Swimming,Men,9,2,Lake Forest College
2010,Tennis,Men,6,5,Lake Forest College
2010,Total,Men,29.5,10,Lake Forest College
2010,Football,Men,2.5,8,Lawrence University
2010,Soccer,Men,7,4,Lawrence University
2010,Cross Country,Men,9,2,Lawrence University
2010,Basketball,Men,5,5,Lawrence University
2010,Swimming,Men,8,3,Lawrence University
2010,Indoor Track & Field,Men,4,7,Lawrence University
2010,Tennis,Men,5,6,Lawrence University
2010,Outdoor Track & Field,Men,2,9,Lawrence University
2010,Baseball,Men,2,9,Lawrence University
2010,Total,Men,47.5,6,Lawrence University
2010,Football,Men,8,2,Monmouth College
2010,Soccer,Men,3.5,7,Monmouth College
2010,Cross Country,Men,7,4,Monmouth College
2010,Basketball,Men,1.5,9,Monmouth College
2010,Swimming,Men,7,4,Monmouth College
2010,Indoor Track & Field,Men,10,1,Monmouth College
2010,Tennis,Men,9,2,Monmouth College
2010,Outdoor Track & Field,Men,10,1,Monmouth College
2010,Baseball,Men,7,4,Monmouth College
2010,Total,Men,72,2,Monmouth College
2010,Football,Men,8,2,Ripon College
2010,Soccer,Men,9.5,1,Ripon College
2010,Cross Country,Men,8,3,Ripon College
2010,Basketball,Men,8,2,Ripon College
2010,Swimming,Men,4,7,Ripon College
2010,Indoor Track & Field,Men,8,3,Ripon College
2010,Tennis,Men,2,9,Ripon College
2010,Outdoor Track & Field,Men,9,2,Ripon College
2010,Baseball,Men,10,1,Ripon College
2010,Total,Men,71.5,3,Ripon College
2010,Football,Men,10,1,St. Norbert College
2010,Soccer,Men,5,6,St. Norbert College
2010,Cross Country,Men,6,5,St. Norbert College
2010,Basketball,Men,10,1,St. Norbert College
2010,Indoor Track & Field,Men,9,2,St. Norbert College
2010,Tennis,Men,7.5,3,St. Norbert College
2010,Outdoor Track & Field,Men,7,4,St. Norbert College
2010,Baseball,Men,5.5,5,St. Norbert College
2010,Total,Men,67,4,St. Norbert College
2010,Volleyball,Women,9.5,1,Beloit College
2010,Soccer,Women,2,9,Beloit College
2010,Cross Country,Women,2,9,Beloit College
2010,Tennis,Women,5,6,Beloit College
2010,Swimming,Women,6,5,Beloit College
2010,Indoor Track & Field,Women,4,7,Beloit College
2010,Outdoor Track & Field,Women,4,7,Beloit College
2010,Softball,Women,3.5,7,Beloit College
2010,Total,Women,39,9,Beloit College
2010,Volleyball,Women,6,5,Carroll University
2010,Soccer,Women,10,1,Carroll University
2010,Cross Country,Women,8,3,Carroll University
2010,Tennis,Women,6,5,Carroll University
2010,Swimming,Women,5,6,Carroll University
2010,Indoor Track & Field,Women,8,3,Carroll University
2010,Outdoor Track & Field,Women,7,4,Carroll University
2010,Softball,Women,1.5,9,Carroll University
2010,Total,Women,68.5,3,Carroll University
2010,Volleyball,Women,4,6,Grinnell College
2010,Soccer,Women,5,6,Grinnell College
2010,Cross Country,Women,7,4,Grinnell College
2010,Tennis,Women,10,1,Grinnell College
2010,Swimming,Women,10,1,Grinnell College
2010,Indoor Track & Field,Women,6,5,Grinnell College
2010,Outdoor Track & Field,Women,8,3,Grinnell College
2010,Softball,Women,1.5,9,Grinnell College
2010,Total,Women,64,4,Grinnell College
2010,Volleyball,Women,2,9,Illinois College
2010,Soccer,Women,1,10,Illinois College
2010,Cross Country,Women,3,8,Illinois College
2010,Tennis,Women,1,10,Illinois College
2010,Swimming,Women,2,9,Illinois College
2010,Indoor Track & Field,Women,7,4,Illinois College
2010,Outdoor Track & Field,Women,6,5,Illinois College
2010,Softball,Women,5.5,5,Illinois College
2010,Total,Women,43.5,7,Illinois College
2010,Volleyball,Women,1,10,Knox College
2010,Soccer,Women,3,8,Knox College
2010,Cross Country,Women,1,10,Knox College
2010,Tennis,Women,4,7,Knox College
2010,Swimming,Women,3,8,Knox College
2010,Indoor Track & Field,Women,3,8,Knox College
2010,Outdoor Track & Field,Women,2,9,Knox College
2010,Softball,Women,3.5,7,Knox College
2010,Total,Women,28.5,10,Knox College
2010,Volleyball,Women,7.5,3,Lake Forest College
2010,Soccer,Women,9,2,Lake Forest College
2010,Cross Country,Women,5,6,Lake Forest College
2010,Tennis,Women,9,2,Lake Forest College
2010,Swimming,Women,9,2,Lake Forest College
2010,Softball,Women,7,4,Lake Forest College
2010,Total,Women,53.5,5,Lake Forest College
2010,Volleyball,Women,4,6,Lawrence University
2010,Soccer,Women,7.5,3,Lawrence University
2010,Cross Country,Women,4,7,Lawrence University
2010,Tennis,Women,7,4,Lawrence University
2010,Swimming,Women,8,3,Lawrence University
2010,Indoor Track & Field,Women,2,9,Lawrence University
2010,Outdoor Track & Field,Women,3,8,Lawrence University
2010,Softball,Women,5.5,5,Lawrence University
2010,Total,Women,42,8,Lawrence University
2010,Volleyball,Women,9.5,1,Monmouth College
2010,Soccer,Women,7.5,3,Monmouth College
2010,Cross Country,Women,9,2,Monmouth College
2010,Tennis,Women,2,9,Monmouth College
2010,Swimming,Women,7,4,Monmouth College
2010,Indoor Track & Field,Women,10,1,Monmouth College
2010,Outdoor Track & Field,Women,10,1,Monmouth College
2010,Softball,Women,8,3,Monmouth College
2010,Total,Women,76,1,Monmouth College
2010,Volleyball,Women,4,6,Ripon College
2010,Soccer,Women,4,7,Ripon College
2010,Cross Country,Women,6,5,Ripon College
2010,Tennis,Women,3,8,Ripon College
2010,Swimming,Women,4,7,Ripon College
2010,Indoor Track & Field,Women,5,6,Ripon College
2010,Outdoor Track & Field,Women,5,6,Ripon College
2010,Softball,Women,10,1,Ripon College
2010,Total,Women,52.5,6,Ripon College
2010,Volleyball,Women,7.5,3,St. Norbert College
2010,Soccer,Women,6,5,St. Norbert College
2010,Cross Country,Women,10,1,St. Norbert College
2010,Tennis,Women,8,3,St. Norbert College
2010,Indoor Track & Field,Women,9,2,St. Norbert College
2010,Outdoor Track & Field,Women,9,2,St. Norbert College
2010,Softball,Women,9,2,St. Norbert College
2010,Total,Women,73.5,2,St. Norbert College
2011,Football,Men,3,8,Beloit College
2011,Soccer,Men,8.5,2,Beloit College
2011,Cross Country,Men,2,9,Beloit College
2011,Basketball,Men,5,6,Beloit College
2011,Swimming,Men,5,6,Beloit College
2011,Indoor Track & Field,Men,2,9,Beloit College
2011,Outdoor Track & Field,Men,2,9,Beloit College
2011,Baseball,Men,9,2,Beloit College
2011,Total,Men,38.5,9,Beloit College
2011,Football,Men,7,4,Carroll University
2011,Soccer,Men,10,1,Carroll University
2011,Cross Country,Men,7,4,Carroll University
2011,Basketball,Men,6.5,4,Carroll University
2011,Swimming,Men,8,3,Carroll University
2011,Indoor Track & Field,Men,9,2,Carroll University
2011,Tennis,Men,7,4,Carroll University
2011,Outdoor Track & Field,Men,8,3,Carroll University
2011,Baseball,Men,3.5,7,Carroll University
2011,Total,Men,76,1,Carroll University
2011,Football,Men,5,6,Grinnell College
2011,Soccer,Men,4.5,6,Grinnell College
2011,Cross Country,Men,9,2,Grinnell College
2011,Basketball,Men,9,2,Grinnell College
2011,Swimming,Men,10,1,Grinnell College
2011,Indoor Track & Field,Men,5,6,Grinnell College
2011,Tennis,Men,10,1,Grinnell College
2011,Outdoor Track & Field,Men,6,5,Grinnell College
2011,Baseball,Men,8,3,Grinnell College
2011,Total,Men,72.5,3,Grinnell College
2011,Football,Men,9,2,Illinois College
2011,Soccer,Men,4.5,6,Illinois College
2011,Cross Country,Men,1,10,Illinois College
2011,Basketball,Men,2,9,Illinois College
2011,Swimming,Men,2,9,Illinois College
2011,Indoor Track & Field,Men,7,4,Illinois College
2011,Tennis,Men,2,9,Illinois College
2011,Outdoor Track & Field,Men,4,7,Illinois College
2011,Baseball,Men,5.5,5,Illinois College
2011,Total,Men,42,7,Illinois College
2011,Football,Men,1,10,Knox College
2011,Soccer,Men,1,10,Knox College
2011,Cross Country,Men,6,5,Knox College
2011,Basketball,Men,1,10,Knox College
2011,Swimming,Men,4,7,Knox College
2011,Indoor Track & Field,Men,3,8,Knox College
2011,Tennis,Men,4,7,Knox College
2011,Outdoor Track & Field,Men,3,8,Knox College
2011,Baseball,Men,7,4,Knox College
2011,Total,Men,37,10,Knox College
2011,Football,Men,4,7,Lake Forest College
2011,Soccer,Men,6.5,4,Lake Forest College
2011,Cross Country,Men,3,8,Lake Forest College
2011,Basketball,Men,10,1,Lake Forest College
2011,Swimming,Men,9,2,Lake Forest College
2011,Tennis,Men,8,3,Lake Forest College
2011,Total,Men,40.5,8,Lake Forest College
2011,Football,Men,2,9,Lawrence University
2011,Soccer,Men,8.5,2,Lawrence University
2011,Cross Country,Men,10,1,Lawrence University
2011,Basketball,Men,4,7,Lawrence University
2011,Swimming,Men,7,4,Lawrence University
2011,Indoor Track & Field,Men,4,7,Lawrence University
2011,Tennis,Men,6,5,Lawrence University
2011,Outdoor Track & Field,Men,5,6,Lawrence University
2011,Baseball,Men,2,9,Lawrence University
2011,Total,Men,52.5,5,Lawrence University
2011,Football,Men,10,1,Monmouth College
2011,Soccer,Men,6.5,4,Monmouth College
2011,Cross Country,Men,8,3,Monmouth College
2011,Basketball,Men,3,8,Monmouth College
2011,Swimming,Men,6,5,Monmouth College
2011,Indoor Track & Field,Men,10,1,Monmouth College
2011,Tennis,Men,9,2,Monmouth College
2011,Outdoor Track & Field,Men,10,1,Monmouth College
2011,Baseball,Men,3.5,7,Monmouth College
2011,Total,Men,74.5,2,Monmouth College
2011,Football,Men,6,5,Ripon College
2011,Soccer,Men,2.5,8,Ripon College
2011,Cross Country,Men,4,7,Ripon College
2011,Basketball,Men,6.5,4,Ripon College
2011,Swimming,Men,3,8,Ripon College
2011,Indoor Track & Field,Men,6,5,Ripon College
2011,Tennis,Men,3,8,Ripon College
2011,Outdoor Track & Field,Men,7,4,Ripon College
2011,Baseball,Men,5.5,5,Ripon College
2011,Total,Men,46.5,6,Ripon College
2011,Football,Men,8,3,St. Norbert College
2011,Soccer,Men,2.5,8,St. Norbert College
2011,Cross Country,Men,5,6,St. Norbert College
2011,Basketball,Men,8,3,St. Norbert College
2011,Indoor Track & Field,Men,8,3,St. Norbert College
2011,Tennis,Men,5,6,St. Norbert College
2011,Outdoor Track & Field,Men,9,2,St. Norbert College
2011,Baseball,Men,10,1,St. Norbert College
2011,Total,Men,64,4,St. Norbert College
2011,Volleyball,Women,2.5,8,Beloit College
2011,Soccer,Women,1,10,Beloit College
2011,Cross Country,Women,5,6,Beloit College
2011,Tennis,Women,4,7,Beloit College
2011,Swimming,Women,4,7,Beloit College
2011,Indoor Track & Field,Women,2,9,Beloit College
2011,Outdoor Track & Field,Women,3,8,Beloit College
2011,Softball,Women,3.5,7,Beloit College
2011,Total,Women,27,10,Beloit College
2011,Volleyball,Women,5.5,5,Carroll University
2011,Soccer,Women,9,1,Carroll University
2011,Cross Country,Women,7,4,Carroll University
2011,Tennis,Women,6,5,Carroll University
2011,Swimming,Women,6,5,Carroll University
2011,Indoor Track & Field,Women,9,2,Carroll University
2011,Outdoor Track & Field,Women,8,3,Carroll University
2011,Softball,Women,9,2,Carroll University
2011,Total,Women,76,3,Carroll University
2011,Volleyball,Women,7.5,3,Grinnell College
2011,Soccer,Women,9,1,Grinnell College
2011,Cross Country,Women,10,1,Grinnell College
2011,Tennis,Women,10,1,Grinnell College
2011,Swimming,Women,9,2,Grinnell College
2011,Indoor Track & Field,Women,6,5,Grinnell College
2011,Outdoor Track & Field,Women,6,5,Grinnell College
2011,Softball,Women,1.5,9,Grinnell College
2011,Total,Women,74.5,4,Grinnell College
2011,Volleyball,Women,4,7,Illinois College
2011,Soccer,Women,2,9,Illinois College
2011,Cross Country,Women,1.5,9,Illinois College
2011,Swimming,Women,3,8,Illinois College
2011,Indoor Track & Field,Women,7,4,Illinois College
2011,Outdoor Track & Field,Women,7,4,Illinois College
2011,Softball,Women,5.5,5,Illinois College
2011,Total,Women,38,8,Illinois College
2011,Volleyball,Women,1,10,Knox College
2011,Soccer,Women,3,8,Knox College
2011,Cross Country,Women,1.5,9,Knox College
2011,Tennis,Women,5,6,Knox College
2011,Swimming,Women,5,6,Knox College
2011,Indoor Track & Field,Women,3,8,Knox College
2011,Outdoor Track & Field,Women,2,9,Knox College
2011,Softball,Women,3.5,7,Knox College
2011,Total,Women,32,9,Knox College
2011,Volleyball,Women,7.5,3,Lake Forest College
2011,Soccer,Women,4,7,Lake Forest College
2011,Cross Country,Women,3,8,Lake Forest College
2011,Tennis,Women,7.5,3,Lake Forest College
2011,Swimming,Women,10,1,Lake Forest College
2011,Softball,Women,7,4,Lake Forest College
2011,Total,Women,45.5,6,Lake Forest College
2011,Volleyball,Women,5.5,5,Lawrence University
2011,Soccer,Women,6.5,4,Lawrence University
2011,Cross Country,Women,6,5,Lawrence University
2011,Tennis,Women,7.5,3,Lawrence University
2011,Swimming,Women,7,4,Lawrence University
2011,Indoor Track & Field,Women,4,7,Lawrence University
2011,Outdoor Track & Field,Women,4,7,Lawrence University
2011,Softball,Women,1.5,9,Lawrence University
2011,Total,Women,43,7,Lawrence University
2011,Volleyball,Women,9,2,Monmouth College
2011,Soccer,Women,6.5,4,Monmouth College
2011,Cross Country,Women,9,2,Monmouth College
2011,Tennis,Women,2,9,Monmouth College
2011,Swimming,Women,8,3,Monmouth College
2011,Indoor Track & Field,Women,10,1,Monmouth College
2011,Outdoor Track & Field,Women,10,1,Monmouth College
2011,Softball,Women,8,3,Monmouth College
2011,Total,Women,78.5,2,Monmouth College
2011,Volleyball,Women,2.5,8,Ripon College
2011,Soccer,Women,5,6,Ripon College
2011,Cross Country,Women,4,7,Ripon College
2011,Tennis,Women,3,8,Ripon College
2011,Swimming,Women,2,9,Ripon College
2011,Indoor Track & Field,Women,5,6,Ripon College
2011,Outdoor Track & Field,Women,5,6,Ripon College
2011,Softball,Women,5.5,5,Ripon College
2011,Total,Women,46.5,5,Ripon College
2011,Volleyball,Women,10,1,St. Norbert College
2011,Soccer,Women,9,1,St. Norbert College
2011,Cross Country,Women,8,3,St. Norbert College
2011,Tennis,Women,9,2,St. Norbert College
2011,Indoor Track & Field,Women,8,3,St. Norbert College
2011,Outdoor Track & Field,Women,9,2,St. Norbert College
2011,Softball,Women,10,1,St. Norbert College
2011,Total,Women,79,1,St. Norbert College
2012,Football,Men,1,11,Beloit College
2012,Soccer,Men,9,3,Beloit College
2012,Cross Country,Men,3,9,Beloit College
2012,Basketball,Men,6,6,Beloit College
2012,Swimming,Men,6,6,Beloit College
2012,Indoor Track & Field,Men,2,10,Beloit College
2012,Outdoor Track & Field,Men,2,10,Beloit College
2012,Baseball,Men,6.5,5,Beloit College
2012,Total,Men,35.5,11,Beloit College
2012,Football,Men,8.5,3,Carroll University
2012,Soccer,Men,10,2,Carroll University
2012,Cross Country,Men,7,5,Carroll University
2012,Basketball,Men,9,3,Carroll University
2012,Swimming,Men,7,5,Carroll University
2012,Indoor Track & Field,Men,8,4,Carroll University
2012,Tennis,Men,8,4,Carroll University
2012,Outdoor Track & Field,Men,8,4,Carroll University
2012,Baseball,Men,4.5,7,Carroll University
2012,Total,Men,79,3,Carroll University
2012,Football,Men,5,7,Cornell College
2012,Soccer,Men,1,11,Cornell College
2012,Cross Country,Men,5,7,Cornell College
2012,Basketball,Men,5,7,Cornell College
2012,Indoor Track & Field,Men,5,7,Cornell College
2012,Tennis,Men,5,7,Cornell College
2012,Outdoor Track & Field,Men,4,8,Cornell College
2012,Baseball,Men,6.5,5,Cornell College
2012,Total,Men,36.5,10,Cornell College
2012,Football,Men,3,8,Grinnell College
2012,Soccer,Men,8,4,Grinnell College
2012,Cross Country,Men,11,1,Grinnell College
2012,Basketball,Men,10,2,Grinnell College
2012,Swimming,Men,11,1,Grinnell College
2012,Indoor Track & Field,Men,6,6,Grinnell College
2012,Tennis,Men,11,1,Grinnell College
2012,Outdoor Track & Field,Men,9,3,Grinnell College
2012,Baseball,Men,8,4,Grinnell College
2012,Total,Men,84.5,2,Grinnell College
2012,Football,Men,8.5,3,Illinois College
2012,Soccer,Men,2.5,9,Illinois College
2012,Cross Country,Men,2,10,Illinois College
2012,Basketball,Men,3.5,8,Illinois College
2012,Swimming,Men,5,7,Illinois College
2012,Indoor Track & Field,Men,7,5,Illinois College
2012,Tennis,Men,1,10,Illinois College
2012,Outdoor Track & Field,Men,6,6,Illinois College
2012,Baseball,Men,4.5,7,Illinois College
2012,Total,Men,46,7,Illinois College
2012,Football,Men,3,8,Knox College
2012,Soccer,Men,2.5,9,Knox College
2012,Cross Country,Men,6,6,Knox College
2012,Basketball,Men,1,11,Knox College
2012,Swimming,Men,4,8,Knox College
2012,Indoor Track & Field,Men,3,9,Knox College
2012,Tennis,Men,4,8,Knox College
2012,Outdoor Track & Field,Men,3,9,Knox College
2012,Baseball,Men,9,3,Knox College
2012,Total,Men,40.5,9,Knox College
2012,Football,Men,10.5,1,Lake Forest College
2012,Soccer,Men,11,1,Lake Forest College
2012,Cross Country,Men,4,8,Lake Forest College
2012,Basketball,Men,2,10,Lake Forest College
2012,Swimming,Men,10,2,Lake Forest College
2012,Tennis,Men,6,6,Lake Forest College
2012,Total,Men,43.5,8,Lake Forest College
2012,Football,Men,3,8,Lawrence University
2012,Soccer,Men,6,6,Lawrence University
2012,Cross Country,Men,10,2,Lawrence University
2012,Basketball,Men,7.5,4,Lawrence University
2012,Swimming,Men,8,4,Lawrence University
2012,Indoor Track & Field,Men,4,8,Lawrence University
2012,Tennis,Men,10,2,Lawrence University
2012,Outdoor Track & Field,Men,5,7,Lawrence University
2012,Baseball,Men,2.5,9,Lawrence University
2012,Total,Men,63.5,5,Lawrence University
2012,Football,Men,6.5,5,Monmouth College
2012,Soccer,Men,4.5,7,Monmouth College
2012,Cross Country,Men,8,4,Monmouth College
2012,Basketball,Men,3.5,8,Monmouth College
2012,Swimming,Men,9,3,Monmouth College
2012,Indoor Track & Field,Men,11,1,Monmouth College
2012,Tennis,Men,9,3,Monmouth College
2012,Outdoor Track & Field,Men,11,1,Monmouth College
2012,Baseball,Men,2.5,9,Monmouth College
2012,Total,Men,75,4,Monmouth College
2012,Football,Men,6.5,5,Ripon College
2012,Soccer,Men,4.5,7,Ripon College
2012,Cross Country,Men,1,11,Ripon College
2012,Basketball,Men,7.5,4,Ripon College
2012,Swimming,Men,3,9,Ripon College
2012,Indoor Track & Field,Men,9,3,Ripon College
2012,Tennis,Men,3,9,Ripon College
2012,Outdoor Track & Field,Men,7,5,Ripon College
2012,Baseball,Men,11,1,Ripon College
2012,Total,Men,56.5,6,Ripon College
2012,Football,Men,10.5,1,St. Norbert College
2012,Soccer,Men,7,5,St. Norbert College
2012,Cross Country,Men,9,3,St. Norbert College
2012,Basketball,Men,11,1,St. Norbert College
2012,Indoor Track & Field,Men,10,2,St. Norbert College
2012,Tennis,Men,7,5,St. Norbert College
2012,Outdoor Track & Field,Men,10,2,St. Norbert College
2012,Baseball,Men,10,2,St. Norbert College
2012,Total,Men,85.5,1,St. Norbert College
2012,Volleyball,Women,2,10,Beloit College
2012,Soccer,Women,3.5,8,Beloit College
2012,Cross Country,Women,5,7,Beloit College
2012,Tennis,Women,6,6,Beloit College
2012,Swimming,Women,5,7,Beloit College
2012,Indoor Track & Field,Women,4,8,Beloit College
2012,Outdoor Track & Field,Women,3,9,Beloit College
2012,Softball,Women,2.5,9,Beloit College
2012,Total,Women,33,10,Beloit College
2012,Volleyball,Women,7,5,Carroll University
2012,Soccer,Women,7.5,4,Carroll University
2012,Cross Country,Women,6,6,Carroll University
2012,Tennis,Women,8.5,3,Carroll University
2012,Swimming,Women,8,4,Carroll University
2012,Indoor Track & Field,Women,8,4,Carroll University
2012,Outdoor Track & Field,Women,8,4,Carroll University
2012,Softball,Women,6.5,5,Carroll University
2012,Total,Women,79,3,Carroll University
2012,Volleyball,Women,11,1,Cornell College
2012,Soccer,Women,2,10,Cornell College
2012,Cross Country,Women,8,4,Cornell College
2012,Tennis,Women,7,5,Cornell College
2012,Indoor Track & Field,Women,6,6,Cornell College
2012,Outdoor Track & Field,Women,4,8,Cornell College
2012,Softball,Women,11,1,Cornell College
2012,Total,Women,60,5,Cornell College
2012,Volleyball,Women,5.5,6,Grinnell College
2012,Soccer,Women,7.5,4,Grinnell College
2012,Cross Country,Women,9,3,Grinnell College
2012,Tennis,Women,11,1,Grinnell College
2012,Swimming,Women,11,1,Grinnell College
2012,Indoor Track & Field,Women,5,7,Grinnell College
2012,Outdoor Track & Field,Women,6,6,Grinnell College
2012,Softball,Women,1,11,Grinnell College
2012,Total,Women,71.5,4,Grinnell College
2012,Volleyball,Women,5.5,6,Illinois College
2012,Soccer,Women,5,7,Illinois College
2012,Cross Country,Women,2,10,Illinois College
2012,Tennis,Women,2,10,Illinois College
2012,Swimming,Women,6,6,Illinois College
2012,Indoor Track & Field,Women,9,3,Illinois College
2012,Outdoor Track & Field,Women,10,2,Illinois College
2012,Softball,Women,6.5,5,Illinois College
2012,Total,Women,57,6,Illinois College
2012,Volleyball,Women,1,11,Knox College
2012,Soccer,Women,1,11,Knox College
2012,Cross Country,Women,3,9,Knox College
2012,Tennis,Women,4,8,Knox College
2012,Swimming,Women,3,9,Knox College
2012,Indoor Track & Field,Women,2,10,Knox College
2012,Outdoor Track & Field,Women,2,10,Knox College
2012,Softball,Women,2.5,9,Knox College
2012,Total,Women,28.5,11,Knox College
2012,Volleyball,Women,8.5,3,Lake Forest College
2012,Soccer,Women,11,1,Lake Forest College
2012,Cross Country,Women,1,11,Lake Forest College
2012,Tennis,Women,10,2,Lake Forest College
2012,Swimming,Women,10,2,Lake Forest College
2012,Softball,Women,8,4,Lake Forest College
2012,Total,Women,55.5,7,Lake Forest College
2012,Volleyball,Women,3,9,Lawrence University
2012,Soccer,Women,3.5,8,Lawrence University
2012,Cross Country,Women,4,8,Lawrence University
2012,Tennis,Women,5,7,Lawrence University
2012,Swimming,Women,7,5,Lawrence University
2012,Indoor Track & Field,Women,3,9,Lawrence University
2012,Outdoor Track & Field,Women,5,7,Lawrence University
2012,Softball,Women,10,2,Lawrence University
