Year,Gender,Sport,Total Expense,Operating Expense,Undergrads,School
2018,Men,All Track Combined,104394,47215,552,Beloit College
2018,Men,Baseball,170492,88883,552,Beloit College
2018,Men,Basketball,140982,52216,552,Beloit College
2018,Men,Football,303857,80101,552,Beloit College
2018,Men,Lacrosse,118161,61652,552,Beloit College
2018,Men,Soccer,76228,20584,552,Beloit College
2018,Men,Swimming,66537,10900,552,Beloit College
2018,Men,Total,980651,361551,552,Beloit College
2018,Women,All Track Combined,97869,40709,656,Beloit College
2018,Women,Basketball,115005,32762,656,Beloit College
2018,Women,Lacrosse,97961,36897,656,Beloit College
2018,Women,Soccer,90037,35007,656,Beloit College
2018,Women,Softball,113799,54149,656,Beloit College
2018,Women,Swimming,67619,11904,656,Beloit College
2018,Women,Tennis,15435,8986,656,Beloit College
2018,Women,Total,674781,244890,656,Beloit College
2018,Women,Volleyball,77056,24476,656,Beloit College
2019,Men,All Track Combined,86320,24632,491,Beloit College
2019,Men,Baseball,137633,62663,491,Beloit College
2019,Men,Basketball,114653,33638,491,Beloit College
2019,Men,Football,342718,90452,491,Beloit College
2019,Men,Lacrosse,80704,28622,491,Beloit College
2019,Men,Soccer,73541,22642,491,Beloit College
2019,Men,Swimming,44464,16830,491,Beloit College
2019,Men,Total,880033,279479,491,Beloit College
2019,Women,All Track Combined,81801,20153,572,Beloit College
2019,Women,Basketball,113007,26991,572,Beloit College
2019,Women,Lacrosse,88724,17729,572,Beloit College
2019,Women,Soccer,76286,23619,572,Beloit College
2019,Women,Softball,110930,40326,572,Beloit College
2019,Women,Swimming,40540,12958,572,Beloit College
2019,Women,Tennis,11927,9246,572,Beloit College
2019,Women,Total,603047,177193,572,Beloit College
2019,Women,Volleyball,79832,26171,572,Beloit College
2020,Men,Baseball,101885,33206,421,Beloit College
2020,Men,Total,171209,39416,421,Beloit College
2020,Men,Track and Field Outdoor,69324,6210,421,Beloit College
2020,Women,Lacrosse,66973,7382,496,Beloit College
2020,Women,Softball,95795,24209,496,Beloit College
2020,Women,Total,232643,38307,496,Beloit College
2020,Women,Track and Field Outdoor,69875,6716,496,Beloit College
2021,Men,All Track Combined,104918,39047,458,Beloit College
2021,Men,Baseball,156248,99745,458,Beloit College
2021,Men,Basketball,122793,40193,458,Beloit College
2021,Men,Football,349124,66166,458,Beloit College
2021,Men,Lacrosse,90132,28802,458,Beloit College
2021,Men,Soccer,78575,14903,458,Beloit College
2021,Men,Swimming,30424,4290,458,Beloit College
2021,Men,Total,932214,293146,458,Beloit College
2021,Women,All Track Combined,102622,36773,497,Beloit College
2021,Women,Basketball,97521,32484,497,Beloit College
2021,Women,Lacrosse,58866,25384,497,Beloit College
2021,Women,Soccer,84460,25384,497,Beloit College
2021,Women,Softball,142234,54811,497,Beloit College
2021,Women,Swimming,35205,8592,497,Beloit College
2021,Women,Total,611875,214431,497,Beloit College
2021,Women,Volleyball,90967,31003,497,Beloit College
2022,Men,All Track Combined,106742,38516,440,Beloit College
2022,Men,Baseball,174364,99745,440,Beloit College
2022,Men,Basketball,120389,40193,440,Beloit College
2022,Men,Football,356717,66166,440,Beloit College
2022,Men,Lacrosse,89868,28802,440,Beloit College
2022,Men,Soccer,55136,14903,440,Beloit College
2022,Men,Swimming,14439,4251,440,Beloit College
2022,Men,Total,917655,186217,440,Beloit College
2022,Women,All Track Combined,105517,37303,481,Beloit College
2022,Women,Basketball,90114,32484,481,Beloit College
2022,Women,Lacrosse,70995,25384,481,Beloit College
2022,Women,Soccer,87238,25384,481,Beloit College
2022,Women,Softball,142060,54811,481,Beloit College
2022,Women,Swimming,19263,8592,481,Beloit College
2022,Women,Total,604618,182477,481,Beloit College
2022,Women,Volleyball,89431,31003,481,Beloit College
2003,Men,Baseball,58701,41665,453,Cornell College
2003,Men,Basketball,70259,26777,453,Cornell College
2003,Men,Football,200198,42334,453,Cornell College
2003,Men,Golf,9794,5947,453,Cornell College
2003,Men,Soccer,17576,10143,453,Cornell College
2003,Men,Tennis,8845,3247,453,Cornell College
2003,Men,Total,500247,188266,453,Cornell College
2003,Men,Track and Field X Country,67597,32015,453,Cornell College
2003,Men,Wrestling,67277,26138,453,Cornell College
2003,Women,Basketball,54944,14300,652,Cornell College
2003,Women,Golf,9948,5721,652,Cornell College
2003,Women,Soccer,18778,13601,652,Cornell College
2003,Women,Softball,39657,11944,652,Cornell College
2003,Women,Tennis,20007,13027,652,Cornell College
2003,Women,Total,254112,107552,652,Cornell College
2003,Women,Track and Field X Country,66751,30972,652,Cornell College
2003,Women,Volleyball,44027,17987,652,Cornell College
2004,Men,All Track Combined,51004,14827,489,Cornell College
2004,Men,Baseball,40506,26189,489,Cornell College
2004,Men,Basketball,99375,15105,489,Cornell College
2004,Men,Football,186912,33146,489,Cornell College
2004,Men,Golf,12854,8706,489,Cornell College
2004,Men,Soccer,18442,13759,489,Cornell College
2004,Men,Tennis,9252,4918,489,Cornell College
2004,Men,Total,487000,133966,489,Cornell College
2004,Men,Wrestling,68655,17316,489,Cornell College
2004,Women,All Track Combined,52304,15758,656,Cornell College
2004,Women,Basketball,64261,13134,656,Cornell College
2004,Women,Golf,7920,4065,656,Cornell College
2004,Women,Soccer,18654,14039,656,Cornell College
2004,Women,Softball,40832,13163,656,Cornell College
2004,Women,Tennis,15410,8138,656,Cornell College
2004,Women,Total,253465,94455,656,Cornell College
2004,Women,Volleyball,54084,26158,656,Cornell College
2005,Men,All Track Combined,59879,19824,525,Cornell College
2005,Men,Baseball,71708,32773,525,Cornell College
2005,Men,Basketball,108588,29865,525,Cornell College
2005,Men,Football,227203,58268,525,Cornell College
2005,Men,Golf,11144,6646,525,Cornell College
2005,Men,Soccer,18586,11082,525,Cornell College
2005,Men,Tennis,6916,2193,525,Cornell College
2005,Men,Total,611983,202254,525,Cornell College
2005,Men,Wrestling,107959,41603,525,Cornell College
2005,Women,All Track Combined,59510,19251,641,Cornell College
2005,Women,Basketball,97759,22371,641,Cornell College
2005,Women,Golf,13402,9120,641,Cornell College
2005,Women,Soccer,17571,11467,641,Cornell College
2005,Women,Softball,28020,13571,641,Cornell College
2005,Women,Tennis,20952,13565,641,Cornell College
2005,Women,Total,302121,113673,641,Cornell College
2005,Women,Volleyball,64907,24328,641,Cornell College
2006,Men,All Track Combined,66496,13465,520,Cornell College
2006,Men,Baseball,72367,22010,520,Cornell College
2006,Men,Basketball,92981,15380,520,Cornell College
2006,Men,Football,227665,24699,520,Cornell College
2006,Men,Golf,10284,5958,520,Cornell College
2006,Men,Soccer,13279,6876,520,Cornell College
2006,Men,Tennis,5272,1493,520,Cornell College
2006,Men,Total,606838,119699,520,Cornell College
2006,Men,Wrestling,118494,29818,520,Cornell College
2006,Women,All Track Combined,66124,12405,598,Cornell College
2006,Women,Basketball,138246,49876,598,Cornell College
2006,Women,Golf,8156,4222,598,Cornell College
2006,Women,Soccer,16330,11267,598,Cornell College
2006,Women,Softball,61997,10928,598,Cornell College
2006,Women,Tennis,19259,11085,598,Cornell College
2006,Women,Total,378041,115736,598,Cornell College
2006,Women,Volleyball,67929,15953,598,Cornell College
2007,Men,Baseball,91959,44322,519,Cornell College
2007,Men,Basketball,147264,32703,519,Cornell College
2007,Men,Football,284079,77108,519,Cornell College
2007,Men,Golf,8438,5112,519,Cornell College
2007,Men,Soccer,12654,7412,519,Cornell College
2007,Men,Tennis,28074,8605,519,Cornell College
2007,Men,Total,761583,240040,519,Cornell College
2007,Men,Track and Field Indoor,21108,7672,519,Cornell College
2007,Men,Track and Field Outdoor,21108,7672,519,Cornell College
2007,Men,Track and Field X Country,23378,4099,519,Cornell College
2007,Men,Wrestling,123521,45335,519,Cornell College
2007,Women,Basketball,138087,21897,540,Cornell College
2007,Women,Golf,8129,4365,540,Cornell College
2007,Women,Soccer,17787,9032,540,Cornell College
2007,Women,Softball,70543,20791,540,Cornell College
2007,Women,Tennis,32588,4637,540,Cornell College
2007,Women,Total,398813,97592,540,Cornell College
2007,Women,Track and Field Indoor,20861,7247,540,Cornell College
2007,Women,Track and Field Outdoor,20861,7247,540,Cornell College
2007,Women,Track and Field X Country,23378,4099,540,Cornell College
2007,Women,Volleyball,66579,18277,540,Cornell College
2008,Men,Baseball,83142,23916,548,Cornell College
2008,Men,Basketball,131731,25292,548,Cornell College
2008,Men,Football,280676,63277,548,Cornell College
2008,Men,Golf,12096,7411,548,Cornell College
2008,Men,Soccer,33888,11192,548,Cornell College
2008,Men,Tennis,35825,8537,548,Cornell College
2008,Men,Total,803399,192734,548,Cornell College
2008,Men,Track and Field Indoor,28751,7873,548,Cornell College
2008,Men,Track and Field Outdoor,28751,7873,548,Cornell College
2008,Men,Track and Field X Country,27410,7261,548,Cornell College
2008,Men,Wrestling,141129,30102,548,Cornell College
2008,Women,Basketball,139560,16639,555,Cornell College
2008,Women,Golf,9771,5136,555,Cornell College
2008,Women,Soccer,42568,19197,555,Cornell College
2008,Women,Softball,93164,27318,555,Cornell College
2008,Women,Tennis,34711,6905,555,Cornell College
2008,Women,Total,493379,119774,555,Cornell College
2008,Women,Track and Field Indoor,28793,7217,555,Cornell College
2008,Women,Track and Field Outdoor,28793,7217,555,Cornell College
2008,Women,Track and Field X Country,25176,5027,555,Cornell College
2008,Women,Volleyball,90843,25118,555,Cornell College
2009,Men,Baseball,86380,25419,536,Cornell College
2009,Men,Basketball,131880,29531,536,Cornell College
2009,Men,Football,297638,53149,536,Cornell College
