Year,Gender,Total Expense,Operating Expense,Undergrads,School,Sport
2012,Men,257010,44290,507,Beloit College,Football
2012,Men,121256,56901,507,Beloit College,Lacrosse
2012,Men,86622,18801,507,Beloit College,Soccer
2012,Men,33111,9138,507,Beloit College,Swimming & Diving
2012,Men,804239,231474,507,Beloit College,Total
2012,Women,77414,36530,735,Beloit College,All Track Combined
2012,Women,71208,18778,735,Beloit College,Basketball
2012,Women,76260,19418,735,Beloit College,Lacrosse
2012,Women,71603,19073,735,Beloit College,Soccer
2012,Women,106490,35522,735,Beloit College,Softball
2012,Women,36000,11630,735,Beloit College,Swimming & Diving
2012,Women,11497,5832,735,Beloit College,Tennis
2012,Women,532555,165805,735,Beloit College,Total
2012,Women,82083,19022,735,Beloit College,Volleyball
2013,Men,84624,44235,511,Beloit College,All Track Combined
2013,Men,130712,61218,511,Beloit College,Baseball
2013,Men,131556,57815,511,Beloit College,Basketball
2013,Men,293508,80027,511,Beloit College,Football
2013,Men,137390,65754,511,Beloit College,Lacrosse
2013,Men,102798,19500,511,Beloit College,Soccer
2013,Men,35395,12878,511,Beloit College,Swimming & Diving
2013,Men,915983,203585,511,Beloit College,Total
2013,Women,73993,33644,726,Beloit College,All Track Combined
2013,Women,103776,44747,726,Beloit College,Basketball
2013,Women,123576,51241,726,Beloit College,Lacrosse
2013,Women,74895,25138,726,Beloit College,Soccer
2013,Women,107672,48059,726,Beloit College,Softball
2013,Women,39771,17141,726,Beloit College,Swimming & Diving
2013,Women,14859,9459,726,Beloit College,Tennis
2013,Women,636047,211415,726,Beloit College,Total
2013,Women,97505,26733,726,Beloit College,Volleyball
2014,Men,58154,37238,519,Beloit College,All Track Combined
2014,Men,146966,75120,519,Beloit College,Baseball
2014,Men,106177,31720,519,Beloit College,Basketball
2014,Men,267096,48288,519,Beloit College,Football
2014,Men,125489,52536,519,Beloit College,Lacrosse
2014,Men,60563,24274,519,Beloit College,Soccer
2014,Men,59495,15630,519,Beloit College,Swimming & Diving
2014,Men,823940,284806,519,Beloit College,Total
2014,Women,110259,46632,700,Beloit College,All Track Combined
2014,Women,89071,28096,700,Beloit College,Basketball
2014,Women,98207,41053,700,Beloit College,Lacrosse
2014,Women,77416,25417,700,Beloit College,Soccer
2014,Women,102763,44834,700,Beloit College,Softball
2014,Women,22023,15630,700,Beloit College,Swimming & Diving
2014,Women,14934,9534,700,Beloit College,Tennis
2014,Women,609534,233692,700,Beloit College,Total
2014,Women,94861,22496,700,Beloit College,Volleyball
2015,Men,78047,35439,573,Beloit College,All Track Combined
2015,Men,167009,95393,573,Beloit College,Baseball
2015,Men,113801,35940,573,Beloit College,Basketball
2015,Men,296057,59642,573,Beloit College,Football
2015,Men,117702,50568,573,Beloit College,Lacrosse
2015,Men,56956,20049,573,Beloit College,Soccer
2015,Men,38494,13606,573,Beloit College,Swimming & Diving
2015,Men,868066,310637,573,Beloit College,Total
2015,Women,75306,32713,693,Beloit College,All Track Combined
2015,Women,100587,37186,693,Beloit College,Basketball
2015,Women,104227,41378,693,Beloit College,Lacrosse
2015,Women,78571,24260,693,Beloit College,Soccer
2015,Women,104985,42048,693,Beloit College,Softball
2015,Women,38494,13606,693,Beloit College,Swimming & Diving
2015,Women,17956,9877,693,Beloit College,Tennis
2015,Women,614584,220299,693,Beloit College,Total
2015,Women,94458,19231,693,Beloit College,Volleyball
2016,Men,88637,40299,610,Beloit College,All Track Combined
2016,Men,117900,104897,610,Beloit College,Baseball
2016,Men,179556,29326,610,Beloit College,Basketball
2016,Men,316139,82852,610,Beloit College,Football
2016,Men,135278,58397,610,Beloit College,Lacrosse
2016,Men,63810,18941,610,Beloit College,Soccer
2016,Men,37537,12029,610,Beloit College,Swimming & Diving
