Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Revenue,Archery Women's Team Revenue,Archery Coed Team Revenue,Archery Total Revenue,Badminton Men's Team Revenue,Badminton Women's Team Revenue,Badminton Coed Team Revenue,Badminton Total Revenue,Baseball Men's Team Revenue,Baseball Women's Team Revenue,Baseball Coed Team Revenue,Baseball Total Revenue,Basketball Men's Team Revenue,Basketball Women's Team Revenue,Basketball Coed Team Revenue,Basketball Total Revenue,Beach Volleyball Men's Team Revenue,Beach Volleyball Women's Team Revenue,Beach Volleyball Coed Team Revenue Revenue,Beach Volleyball Total Revenue,Bowling Men's Team Revenue,Bowling Women's Team Revenue,Bowling Coed Team Revenue,Bowling Total Revenue,All Track Combined Men's Team Revenue,All Track Combined Women's Team Revenue,All Track Combined Coed Team Revenue,All Track Combined Total Revenue,Diving Men's Team Revenue,Diving Women's Team Revenue,Diving Coed Team Revenue,Diving Total Revenue,Equestrian Men's Team Revenue,Equestrian Women's Team Revenue,Equestrian Coed Team Revenue,Equestrian Total Revenue,Fencing Men's Team Revenue,Fencing Women's Team Revenue,Fencing Coed Team Revenue,Fencing Total Revenue,Field Hockey Men's Team Revenue,Field Hockey Women's Team Revenue,Field Hockey Coed Team Revenue,Field Hockey Total Revenue,Football Men's Team Revenue,Football Women's Team Revenue,Football Coed Team Revenue,Football Total Revenue,Golf Men's Team Revenue,Golf Women's Team Revenue,Golf Coed Team Revenue,Golf Total Revenue,Gymnastics Men's Team Revenue,Gymnastics Women's Team Revenue,Gymnastics Coed Team Revenue,Gymnastics Total Revenue,Ice Hockey Men's Team Revenue,Ice Hockey Women's Team Revenue,Ice Hockey Coed Team Revenue,Ice Hockey Total Revenue,Lacrosse Men's Team Revenue,Lacrosse Women's Team Revenue,Lacrosse Coed Team Revenue,Lacrosse Total Revenue,Rifle Men's Team Revenue,Rifle Women's Team Revenue,Rifle Coed Team Revenue,Rifle Total Revenue,Rodeo Men's Team Revenue,Rodeo Women's Team Revenue,Rodeo Coed Team Revenue,Rodeo Total Revenue,Rowing Men's Team Revenue,Rowing Women's Team Revenue,Rowing Coed Team Revenue,Rowing Total Revenue,Sailing Men's Team Revenue,Sailing Women's Team Revenue,Sailing Coed Team Revenue,Sailing Total Revenue,Skiing Men's Team Revenue,Skiing Women's Team Revenue,Skiing Coed Team Revenue,Skiing Total Revenue,Soccer Men's Team Revenue,Soccer Women's Team Revenue,Soccer Coed Team Revenue,Soccer Total Revenue,Softball Men's Team Revenue,Softball Women's Team Revenue,Softball Coed Team Revenue,Softball Total Revenue,Squash Men's Team Revenue,Squash Women's Team Revenue,Squash Coed Team Revenue,Squash Total Revenue,Swimming and Diving Men's Team Revenue,Swimming and Diving Women's Team Revenue,Swimming and Diving Coed Team Revenue,Swimming and Diving Total Revenue,Swimming Men's Team Revenue,Swimming Women's Team Revenue,Swimming Coed Team Revenue,Swimming Total Revenue,Synchronized Swimming Men's Team Revenue,Synchronized Swimming Women's Team Revenue,Synchronized Swimming Coed Team Revenue,Synchronized Swimming Total Revenue,Table Tennis Men's Team Revenue,Table Tennis Women's Team Revenue,Table Tennis Coed Team Revenue,Table Tennis Total Revenue,Team Handball Men's Team Revenue,Team Handball Women's Team Revenue,Team Handball Coed Team Revenue,Team Handball Total Revenue,Tennis Men's Team Revenue,Tennis Women's Team Revenue,Tennis Coed Team Revenue,Tennis Total Revenue,Track and Field Indoor Men's Team Revenue,Track and Field Indoor Women's Team Revenue,Track and Field Indoor Coed Team Revenue,Track and Field Indoor Total Revenue,Track and Field Outdoor Men's Team Revenue,Track and Field Outdoor Women's Team Revenue,Track and Field Outdoor Coed Team Revenue,Track and Field Outdoor Total Revenue,Track and Field X Country Men's Team Revenue,Track and Field X Country Women's Team Revenue,Track and Field X Country Coed Team Revenue,Track and Field X Country Total Revenue,Volleyball Men's Team Revenue,Volleyball Women's Team Revenue,Volleyball Coed Team Revenue,Volleyball Total Revenue,Water Polo Men's Team Revenue,Water Polo Women's Team Revenue,Water Polo Coed Team Revenue,Water Polo Total Revenue,Weight Lifting Men's Team Revenue,Weight Lifting Women's Team Revenue,Weight Lifting Coed Team Revenue,Weight Lifting Total Revenue,Wrestling Men's Team Revenue,Wrestling Women's Team Revenue,Wrestling Coed Team Revenue,Wrestling Total Revenue,Other Sports Men's Team Revenue,Other Sports Women's Team Revenue,Other Sports Coed Team Revenue,Other Sports Total Revenue,Total Men's Team Revenue,Total Women's Team Revenue,Total Coed Team Revenue,Not Allocated by Gender/Sport Revenue,Grand Total Revenue
2013,239017,00385600,Lawrence University,WI,NCAA Division III (with football),,1,NCAA,662,829,1491,,,,,,,,,124198,,,124198,125327,98471,,223798,,,,,,,,,75318,62851,,138169,,,,,,,,,23513,16497,,40010,,,,,252690,,,252690,25767,,,25767,,,,,271505,,,271505,,,,,,,,,,,,,,,,,,,,,,,,,100301,86525,,186826,,116287,,116287,,,,,,,,,44345,51162,,95507,,,,,,,,,,,,,35452,33629,,69081,,,,,,,,,,,,,,103554,,103554,,,,,,,,,,,,,,,,,1078416,568976,,714738,2362130
2014,239017,00385600,Lawrence University,WI,NCAA Division III (with football),,1,NCAA,657,792,1449,,,,,,,,,127176,,,127176,125222,108788,,234010,,,,,,,,,89354,54806,,144160,,,,,,,,,24247,14222,,38469,,,,,284904,,,284904,25537,,,25537,,,,,263610,,,263610,,,,,,,,,,,,,,,,,,,,,,,,,100546,94319,,194865,,112714,,112714,,,,,,,,,42056,56773,,98829,,,,,,,,,,,,,36026,34459,,70485,,,,,,,,,,,,,,109693,,109693,,,,,,,,,,,,,,,,,1118678,585774,,737301,2441753
2015,239017,00385600,Lawrence University,WI,NCAA Division III (with football),,1,NCAA,669,825,1494,,,,,,,,,104337,,,104337,113720,100690,,214410,,,,,,,,,66652,57867,,124519,,,,,,,,,17673,17675,,35348,,,,,333089,,,333089,22440,,,22440,,,,,280376,,,280376,,,,,,,,,,,,,,,,,,,,,,,,,89864,76876,,166740,,101430,,101430,,,,,,,,,44262,39803,,84065,,,,,,,,,,,,,39740,30956,,70696,,,,,,,,,,,,,,94225,,94225,,,,,,,,,,,,,,,,,1112153,519522,,718137,2349812
2016,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,683,809,1492,,,,,,,,,113359,,,113359,124994,96989,,221983,,,,,,,,,79525,74275,,153800,,,,,,,,,28015,30687,,58702,,,,,380743,,,380743,,,,,,,,,243034,,,243034,,,,,,,,,,,,,,,,,,,,,,,,,87344,87577,,174921,,118474,,118474,,,,,,,,,39119,73245,,112364,,,,,,,,,,,,,55205,42897,,98102,,,,,,,,,,,,,,127498,,127498,,,,,,,,,,,,,,,,,1151338,651642,,1042625,2845605
2017,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,655,763,1418,,,,,,,,,124116,,,124116,158414,113702,,272116,,,,,,,,,108298,115534,,223832,,,,,,,,,37121,39151,,76272,,,,,376550,,,376550,,,,,,,,,252399,,,252399,,,,,,,,,,,,,,,,,,,,,,,,,87814,94406,,182220,,113533,,113533,,,,,,,,,59092,85249,,144341,,,,,,,,,,,,,37995,33563,,71558,,,,,,,,,,,,,,101666,,101666,,,,,,,,,,,,,,,,,1241799,696804,,985174,2923777
2018,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,653,751,1404,,,,,,,,,126378,,,126378,161567,129067,,290634,,,,,,,,,95642,100255,,195897,,,,,,,,,40308,42668,,82976,,,,,366271,,,366271,,,,,,,,,220047,,,220047,,,,,,,,,,,,,,,,,,,,,,,,,96710,90593,,187303,,116408,,116408,,,,,,85757,,85757,61165,,,61165,,,,,,,,,,,,,49590,39513,,89103,,,,,,,,,,,,,,133315,,133315,,,,,,,,,,,,,,,,,1217678,737576,,916039,2871293
2019,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,643,754,1397,,,,,,,,,146925,,,146925,148317,115031,,263348,,,,,,,,,78764,72480,,151244,,,,,,,,,38689,36310,,74999,,,,,315155,,,315155,,,,,,,,,255538,,,255538,,,,,,,,,,,,,,,,,,,,,,,,,102165,86282,,188447,,81901,,81901,,,,,,61314,,61314,53276,,,53276,,,,,,,,,,,,,55750,31650,,87400,,,,,,,,,,,,,,103559,,103559,,,,,,,,,,,,,,,,,1194579,588527,,783265,2566371
2020,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,616,773,1389,,,,,,,,,174579,,,174579,156771,115951,,272722,,,,,,,,,101830,102974,,204804,,,,,,,,,36848,36848,,73696,,,,,,,,,,,,,,,,,202991,176338,,379329,,,,,,,,,,,,,,,,,,,,,,,,,95714,84471,,180185,,107738,,107738,,,,,,59450,,59450,54474,,,54474,,,,,,,,,,,,,,38642,,38642,,,,,,,,,,,,,,88767,,88767,,,,,,,,,,,,,,,,,823207,811179,,820874,2455260
2021,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,665,787,1452,,,,,,,,,140362,,,140362,137941,112975,,250916,,,,,,,,,81027,92933,,173960,,,,,,,,,41799,37909,,79708,,,,,380226,,,380226,,,,,,,,,227847,180606,,408453,,,,,,,,,,,,,,,,,,,,,,,,,97151,91435,,188586,,112173,,112173,,,,,54316,67198,,121514,,,,,,,,,,,,,,,,,11115,13036,,24151,,,,,,,,,,,,,,107898,,107898,,,,,,,,,,,,,,,,,1171784,816163,,494348,2482295
2022,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,,,,,,,,,209033,,,209033,167829,179837,,347666,,,,,,,,,119260,132274,,251534,,,,,,,,,69053,60290,,129343,,,,,424495,,,424495,,,,,,,,,314663,242125,,556788,,,,,,,,,,,,,,,,,,,,,,,,,120687,120769,,241456,,151219,,151219,,,,,80506,86172,,166678,,,,,,,,,,,,,,,,,65874,43807,,109681,,,,,,,,,,,,,,100333,,100333,,,,,,,,,,,,,,,,,1571400,1116826,,726749,3414975
