Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Expenses,Archery Women's Team Expenses,Archery Coed Team Expenses,Archery Total Expenses,Badminton Men's Team Expenses,Badminton Women's Team Expenses,Badminton Coed Team Expenses,Badminton Total Expenses,Baseball Men's Team Expenses,Baseball Women's Team Expenses,Baseball Coed Team Expenses,Baseball Total Expenses,Basketball Men's Team Expenses,Basketball Women's Team Expenses,Basketball Coed Team Expenses,Basketball Total Expenses,Beach Volleyball Men's Team Expenses,Beach Volleyball Women's Team Expenses,Beach Volleyball Coed Team Expenses Expenses,Beach Volleyball Total Expenses,Bowling Men's Team Expenses,Bowling Women's Team Expenses,Bowling Coed Team Expenses,Bowling Total Expenses,All Track Combined Men's Team Expenses,All Track Combined Women's Team Expenses,All Track Combined Coed Team Expenses,All Track Combined Total Expenses,Diving Men's Team Expenses,Diving Women's Team Expenses,Diving Coed Team Expenses,Diving Total Expenses,Equestrian Men's Team Expenses,Equestrian Women's Team Expenses,Equestrian Coed Team Expenses,Equestrian Total Expenses,Fencing Men's Team Expenses,Fencing Women's Team Expenses,Fencing Coed Team Expenses,Fencing Total Expenses,Field Hockey Men's Team Expenses,Field Hockey Women's Team Expenses,Field Hockey Coed Team Expenses,Field Hockey Total Expenses,Football Men's Team Expenses,Football Women's Team Expenses,Football Coed Team Expenses,Football Total Expenses,Golf Men's Team Expenses,Golf Women's Team Expenses,Golf Coed Team Expenses,Golf Total Expenses,Gymnastics Men's Team Expenses,Gymnastics Women's Team Expenses,Gymnastics Coed Team Expenses,Gymnastics Total Expenses,Ice Hockey Men's Team Expenses,Ice Hockey Women's Team Expenses,Ice Hockey Coed Team Expenses,Ice Hockey Total Expenses,Lacrosse Men's Team Expenses,Lacrosse Women's Team Expenses,Lacrosse Coed Team Expenses,Lacrosse Total Expenses,Rifle Men's Team Expenses,Rifle Women's Team Expenses,Rifle Coed Team Expenses,Rifle Total Expenses,Rodeo Men's Team Expenses,Rodeo Women's Team Expenses,Rodeo Coed Team Expenses,Rodeo Total Expenses,Rowing Men's Team Expenses,Rowing Women's Team Expenses,Rowing Coed Team Expenses,Rowing Total Expenses,Sailing Men's Team Expenses,Sailing Women's Team Expenses,Sailing Coed Team Expenses,Sailing Total Expenses,Skiing Men's Team Expenses,Skiing Women's Team Expenses,Skiing Coed Team Expenses,Skiing Total Expenses,Soccer Men's Team Expenses,Soccer Women's Team Expenses,Soccer Coed Team Expenses,Soccer Total Expenses,Softball Men's Team Expenses,Softball Women's Team Expenses,Softball Coed Team Expenses,Softball Total Expenses,Squash Men's Team Expenses,Squash Women's Team Expenses,Squash Coed Team Expenses,Squash Total Expenses,Swimming and Diving Men's Team Expenses,Swimming and Diving Women's Team Expenses,Swimming and Diving Coed Team Expenses,Swimming and Diving Total Expenses,Swimming Men's Team Expenses,Swimming Women's Team Expenses,Swimming Coed Team Expenses,Swimming Total Expenses,Synchronized Swimming Men's Team Expenses,Synchronized Swimming Women's Team Expenses,Synchronized Swimming Coed Team Expenses,Synchronized Swimming Total Expenses,Table Tennis Men's Team Expenses,Table Tennis Women's Team Expenses,Table Tennis Coed Team Expenses,Table Tennis Total Expenses,Team Handball Men's Team Expenses,Team Handball Women's Team Expenses,Team Handball Coed Team Expenses,Team Handball Total Expenses,Tennis Men's Team Expenses,Tennis Women's Team Expenses,Tennis Coed Team Expenses,Tennis Total Expenses,Track and Field Indoor Men's Team Expenses,Track and Field Indoor Women's Team Expenses,Track and Field Indoor Coed Team Expenses,Track and Field Indoor Total Expenses,Track and Field Outdoor Men's Team Expenses,Track and Field Outdoor Women's Team Expenses,Track and Field Outdoor Coed Team Expenses,Track and Field Outdoor Total Expenses,Track and Field X Country Men's Team Expenses,Track and Field X Country Women's Team Expenses,Track and Field X Country Coed Team Expenses,Track and Field X Country Total Expenses,Volleyball Men's Team Expenses,Volleyball Women's Team Expenses,Volleyball Coed Team Expenses,Volleyball Total Expenses,Water Polo Men's Team Expenses,Water Polo Women's Team Expenses,Water Polo Coed Team Expenses,Water Polo Total Expenses,Weight Lifting Men's Team Expenses,Weight Lifting Women's Team Expenses,Weight Lifting Coed Team Expenses,Weight Lifting Total Expenses,Wrestling Men's Team Expenses,Wrestling Women's Team Expenses,Wrestling Coed Team Expenses,Wrestling Total Expenses,Other Sports Men's Team Expenses,Other Sports Women's Team Expenses,Other Sports Coed Team Expenses,Other Sports Total Expenses,Total Men's Team Expenses,Total Women's Team Expenses,Total Coed Team Expenses,Not Allocated by Gender/Sport Expenses,Grand Total Expenses
2013,145691,00168800,Illinois College,IL,NCAA Division III (with football),,1,NCAA,484,490,974,,,,,,,,,142962,,,142962,148800,83331,,232131,,,,,,,,,73280,67171,,140451,,,,,,,,,,,,,,,,,354518,,,354518,29304,42720,,72024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59136,58348,,117484,,65329,,65329,,,,,,,,,26832,27045,,53877,,,,,,,,,,,,,21524,33514,,55038,,,,,,,,,,,,,,48153,,48153,,,,,,,,,,,,,,,,,856356,425611,,667749,1949716
2014,145691,00168800,Illinois College,IL,NCAA Division III (with football),,1,NCAA,472,473,945,,,,,,,,,175427,,,175427,163545,107733,,271278,,,,,,,,,57633,54998,,112631,,,,,,,,,,,,,,,,,362695,,,362695,24584,29017,,53601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71501,90287,,161788,,77285,,77285,,,,,,,,,29806,29981,,59787,,,,,,,,,,,,,36224,24633,,60857,,,,,,,,,,,,,,67920,,67920,,,,,,,,,,,,,,,,,921415,481854,,740300,2143569
2015,145691,00168800,Illinois College,IL,NCAA Division III (with football),,1,NCAA,453,487,940,,,,,,,,,164796,,,164796,146718,115867,,262585,,,,,,,,,83429,92117,,175546,,,,,,,,,,,,,,,,,380039,,,380039,32381,31029,,63410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107468,119785,,227253,,91686,,91686,,,,,,,,,32268,31990,,64258,,,,,,,,,,,,,25705,26553,,52258,,,,,,,,,,,,,,124482,,124482,,,,,,,,,,,,,,,,,972804,633509,,699516,2305829
2016,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,449,500,949,,,,,,,,,166698,,,166698,139542,138332,,277874,,,,,,,,,98257,102205,,200462,,,,,,,,,,,,,,,,,398359,,,398359,31575,30463,,62038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108473,109284,,217757,,96093,,96093,,,,,,,,,40516,40422,,80938,,,,,,,,,,,,,25481,25015,,50496,,,,,,,,,,,,,,123774,,123774,,,,,,,,,,,,,,,,,1008901,665588,,673202,2347691
2017,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,463,480,943,,,,,,,,,183174,,,183174,105240,134645,,239885,,,,,,,,,108689,109491,,218180,,,,,,,,,,,,,,,,,375873,,,375873,40417,40445,,80862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114228,112996,,227224,,111079,,111079,,,,,,,,,48034,47802,,95836,,,,,,,,,,,,,31077,26056,,57133,,,,,,,,,,,,,,144185,,144185,,,,,,,,,,,,,,,,,1006732,726699,,726121,2459552
2018,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,477,492,969,,,,,,,,,149558,,,149558,154353,150674,,305027,,,,,,,,,95707,100636,,196343,,,,,,,,,,,,,,,,,381111,,,381111,37655,39565,,77220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108698,112328,,221026,,117413,,117413,,,,,,,,,43883,46645,,90528,,,,,,,,,,,,,26056,28139,,54195,,,,,,,,,,,,,,127417,,127417,,,,,,,,,,,,,,,,,997021,722817,,830600,2550438
2019,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,499,538,1037,,,,,,,,,130195,,,130195,154688,149457,,304145,,,,,,,,,82582,80168,,162750,,,,,,,,,,,,,,,,,343448,,,343448,38356,46678,,85034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103032,83316,,186348,,86354,,86354,,,,,,,,,40803,42527,,83330,,,,,,,,,,,,,23822,25967,,49789,,,,,,,,,,,,,,113139,,113139,,,,,,,,,,,,,,,,,916926,627606,,924004,2468536
2020,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,536,593,1129,,,,,,,,,129794,,,129794,101496,113548,,215044,,,,,,,,,83861,85845,,169706,,,,,,,,,,,,,,,,,252474,,,252474,36521,33396,,69917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113145,101822,,214967,,95326,,95326,,,,,,,,,33259,36769,,70028,,,,,,,,,,,,,12318,13855,,26173,,,,,,,,,,,,,,96944,,96944,,,,,,,,,,,,,,,,,762868,577505,,810416,2150789
2021,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,511,555,1066,,,,,,,,,215268,,,215268,182194,178399,,360593,,,,,,,,,109184,106449,,215633,,,,,,,,,,,,,,,,,438125,,,438125,55768,50997,,106765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145106,147169,,292275,,153051,,153051,,,,,,,,,49220,58504,,107724,,,,,,,,,,,,,33478,32136,,65614,,,,,,,,,,,,,,159179,,159179,,,,,,,,,,,,,,,,,1228343,885884,,856664,2970891
2022,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,,,,,,,,,214566,,,214566,197437,200856,,398293,,,,,,,,,106697,99757,,206454,,,,,,,,,,,,,,,,,535309,,,535309,34615,31506,,66121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165788,176367,,342155,,176354,,176354,,,,,,,,,70477,83078,,153555,,,,,,,,,,,,,37496,30101,,67597,,,,,,,,,,,,,,155213,,155213,,,,,,,,,,,,,,,,,1362385,953232,,768400,3084017
