Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Expenses,Archery Women's Team Expenses,Archery Coed Team Expenses,Archery Total Expenses,Badminton Men's Team Expenses,Badminton Women's Team Expenses,Badminton Coed Team Expenses,Badminton Total Expenses,Baseball Men's Team Expenses,Baseball Women's Team Expenses,Baseball Coed Team Expenses,Baseball Total Expenses,Basketball Men's Team Expenses,Basketball Women's Team Expenses,Basketball Coed Team Expenses,Basketball Total Expenses,Beach Volleyball Men's Team Expenses,Beach Volleyball Women's Team Expenses,Beach Volleyball Coed Team Expenses Expenses,Beach Volleyball Total Expenses,Bowling Men's Team Expenses,Bowling Women's Team Expenses,Bowling Coed Team Expenses,Bowling Total Expenses,All Track Combined Men's Team Expenses,All Track Combined Women's Team Expenses,All Track Combined Coed Team Expenses,All Track Combined Total Expenses,Diving Men's Team Expenses,Diving Women's Team Expenses,Diving Coed Team Expenses,Diving Total Expenses,Equestrian Men's Team Expenses,Equestrian Women's Team Expenses,Equestrian Coed Team Expenses,Equestrian Total Expenses,Fencing Men's Team Expenses,Fencing Women's Team Expenses,Fencing Coed Team Expenses,Fencing Total Expenses,Field Hockey Men's Team Expenses,Field Hockey Women's Team Expenses,Field Hockey Coed Team Expenses,Field Hockey Total Expenses,Football Men's Team Expenses,Football Women's Team Expenses,Football Coed Team Expenses,Football Total Expenses,Golf Men's Team Expenses,Golf Women's Team Expenses,Golf Coed Team Expenses,Golf Total Expenses,Gymnastics Men's Team Expenses,Gymnastics Women's Team Expenses,Gymnastics Coed Team Expenses,Gymnastics Total Expenses,Ice Hockey Men's Team Expenses,Ice Hockey Women's Team Expenses,Ice Hockey Coed Team Expenses,Ice Hockey Total Expenses,Lacrosse Men's Team Expenses,Lacrosse Women's Team Expenses,Lacrosse Coed Team Expenses,Lacrosse Total Expenses,Rifle Men's Team Expenses,Rifle Women's Team Expenses,Rifle Coed Team Expenses,Rifle Total Expenses,Rodeo Men's Team Expenses,Rodeo Women's Team Expenses,Rodeo Coed Team Expenses,Rodeo Total Expenses,Rowing Men's Team Expenses,Rowing Women's Team Expenses,Rowing Coed Team Expenses,Rowing Total Expenses,Sailing Men's Team Expenses,Sailing Women's Team Expenses,Sailing Coed Team Expenses,Sailing Total Expenses,Skiing Men's Team Expenses,Skiing Women's Team Expenses,Skiing Coed Team Expenses,Skiing Total Expenses,Soccer Men's Team Expenses,Soccer Women's Team Expenses,Soccer Coed Team Expenses,Soccer Total Expenses,Softball Men's Team Expenses,Softball Women's Team Expenses,Softball Coed Team Expenses,Softball Total Expenses,Squash Men's Team Expenses,Squash Women's Team Expenses,Squash Coed Team Expenses,Squash Total Expenses,Swimming and Diving Men's Team Expenses,Swimming and Diving Women's Team Expenses,Swimming and Diving Coed Team Expenses,Swimming and Diving Total Expenses,Swimming Men's Team Expenses,Swimming Women's Team Expenses,Swimming Coed Team Expenses,Swimming Total Expenses,Synchronized Swimming Men's Team Expenses,Synchronized Swimming Women's Team Expenses,Synchronized Swimming Coed Team Expenses,Synchronized Swimming Total Expenses,Table Tennis Men's Team Expenses,Table Tennis Women's Team Expenses,Table Tennis Coed Team Expenses,Table Tennis Total Expenses,Team Handball Men's Team Expenses,Team Handball Women's Team Expenses,Team Handball Coed Team Expenses,Team Handball Total Expenses,Tennis Men's Team Expenses,Tennis Women's Team Expenses,Tennis Coed Team Expenses,Tennis Total Expenses,Track and Field Indoor Men's Team Expenses,Track and Field Indoor Women's Team Expenses,Track and Field Indoor Coed Team Expenses,Track and Field Indoor Total Expenses,Track and Field Outdoor Men's Team Expenses,Track and Field Outdoor Women's Team Expenses,Track and Field Outdoor Coed Team Expenses,Track and Field Outdoor Total Expenses,Track and Field X Country Men's Team Expenses,Track and Field X Country Women's Team Expenses,Track and Field X Country Coed Team Expenses,Track and Field X Country Total Expenses,Volleyball Men's Team Expenses,Volleyball Women's Team Expenses,Volleyball Coed Team Expenses,Volleyball Total Expenses,Water Polo Men's Team Expenses,Water Polo Women's Team Expenses,Water Polo Coed Team Expenses,Water Polo Total Expenses,Weight Lifting Men's Team Expenses,Weight Lifting Women's Team Expenses,Weight Lifting Coed Team Expenses,Weight Lifting Total Expenses,Wrestling Men's Team Expenses,Wrestling Women's Team Expenses,Wrestling Coed Team Expenses,Wrestling Total Expenses,Other Sports Men's Team Expenses,Other Sports Women's Team Expenses,Other Sports Coed Team Expenses,Other Sports Total Expenses,Total Men's Team Expenses,Total Women's Team Expenses,Total Coed Team Expenses,Not Allocated by Gender/Sport Expenses,Grand Total Expenses
2013,153384,00186800,Grinnell College,IA,NCAA Division III (with football),,1,NCAA,750,909,1659,,,,,,,,,118281,,,118281,105060,86529,,191589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191553,,,191553,56307,60346,,116653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70627,54540,,125167,,67022,,67022,,,,,96097,98709,,194806,,,,,,,,,,,,,,,,,67375,67323,,134698,43973,44059,,88032,63929,63481,,127410,65963,68455,,134418,,66191,,66191,,,,,,,,,,,,,,,,,879165,676655,,954173,2509993
2014,153384,00186800,Grinnell College,IA,NCAA Division III (with football),,1,NCAA,746,920,1666,,,,,,,,,117523,,,117523,105712,107577,,213289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215679,,,215679,60143,71430,,131573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73531,65368,,138899,,67602,,67602,,,,,99985,101173,,201158,,,,,,,,,,,,,,,,,80877,73327,,154204,45549,42847,,88396,65370,62321,,127691,67909,66163,,134072,,96157,,96157,,,,,,,,,,,,,,,,,932278,753965,,862496,2548739
2015,153384,00186800,Grinnell College,IA,NCAA Division III (with football),,1,NCAA,744,916,1660,,,,,,,,,161582,,,161582,118157,118945,,237102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226499,,,226499,58804,84120,,142924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80359,71278,,151637,,73730,,73730,,,,,120105,122712,,242817,,,,,,,,,,,,,,,,,78698,76152,,154850,52051,46869,,98920,77472,69518,,146990,85251,71169,,156420,,75219,,75219,,,,,,,,,,,,,,,,,1058978,809712,,907901,2776591
2016,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,743,910,1653,,,,,,,,,234970,,,234970,157008,130850,,287858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269786,,,269786,84938,97277,,182215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102228,80122,,182350,,116610,,116610,,,,,150814,149415,,300229,,,,,,,,,,,,,,,,,68291,67586,,135877,75977,71565,,147542,86576,82404,,168980,107835,93916,,201751,,80685,,80685,,,,,,,,,,,,,,,,,1338423,970430,,976704,3285557
2017,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,768,888,1656,,,,,,,,,205592,,,205592,164664,151432,,316096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295901,,,295901,83343,98572,,181915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106485,101678,,208163,,146350,,146350,,,,,152772,153640,,306412,,,,,,,,,,,,,,,,,72099,68515,,140614,86971,81818,,168789,90720,85853,,176573,111272,97571,,208843,,85771,,85771,,,,,,,,,,,,,,,,,1369819,1071200,,1108861,3549880
2018,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,763,916,1679,,,,,,,,,203034,,,203034,125755,138202,,263957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332888,,,332888,82075,66355,,148430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105196,87011,,192207,,147873,,147873,,,,,161114,164872,,325986,,,,,,,,,,,,,,,,,77004,74514,,151518,91383,85713,,177096,101091,98365,,199456,115004,96923,,211927,,122868,,122868,,,,,,,,,,,,,,,,,1394544,1082696,,1075580,3552820
2019,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,795,899,1694,,,,,,,,,155223,,,155223,117672,151888,,269560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372562,,,372562,58620,66249,,124869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118306,90249,,208555,,111295,,111295,,,,,163634,161267,,324901,,,,,,,,,,,,,,,,,60712,61487,,122199,74165,76655,,150820,78127,81079,,159206,112939,100639,,213578,,131001,,131001,,,,,,,,,,,,,,,,,1311960,1031809,,1192030,3535799
2020,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,681,776,1457,,,,,,,,,145590,,,145590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64300,55752,,120052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95227,,95227,,,,,,,,,,,,,,,,,,,,,,,,,33026,31305,,64331,,,,,49822,61426,,111248,,,,,,,,,,,,,,,,,,,,,,,,,292738,243710,,2063493,2599941
2021,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,809,900,1709,,,,,,,,,257680,,,257680,130999,150627,,281626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468784,,,468784,81045,74673,,155718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133338,84580,,217918,,155180,,155180,,,,,153318,158099,,311417,,,,,,,,,,,,,,,,,84396,90754,,175150,71547,79658,,151205,81141,80634,,161775,37920,38520,,76440,,142055,,142055,,,,,,,,,,,,,,,,,1500168,1054780,,1088577,3643525
2022,153384,00186800,Grinnell College,IA,NCAA Division III with football,,1,NCAA,805,898,1703,,,,,,,,,325050,,,325050,140454,194253,,334707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500148,,,500148,128794,117587,,246381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134072,113952,,248024,,195682,,195682,,,,,169843,170753,,340596,,,,,,,,,,,,,,,,,86944,88699,,175643,77386,76193,,153579,92300,90744,,183044,48740,51805,,100545,,184544,,184544,,,,,,,,,,,,,,,,,1703731,1284212,,1283639,4271582
